species,decimalLongitude,decimalLatitude
Gentianella campestris,13.78092,58.45741
Gentianella campestris,15.11903,58.10992
Gentianella campestris,16.27587,58.59317
Gentianella campestris,15.21468,58.07089
Gentianella campestris,17.25254,60.64352
Gentianella campestris,16.51691,60.431
Gentianella campestris,16.5663,60.47763
Gentianella campestris,11.41332,58.42662
Gentianella campestris,13.75658,58.10364
Gentianella campestris,13.24084,63.33386
Gentianella campestris,17.08147,60.29528
Gentianella campestris,15.88197,61.15277
Gentianella campestris,13.124817,68.07167
Gentianella campestris,14.842244,67.101019
Gentianella campestris,14.151816,66.879363
Gentianella campestris,9.106132,62.052108
Gentianella campestris,9.77058,59.62493
Gentianella campestris,14.133922,66.882138
Gentianella campestris,14.090605,66.984977
Gentianella campestris,14.581777,67.020845
Gentianella campestris,15.502191,67.135068
Gentianella campestris,9.114927,62.049413
Gentianella campestris,18.15989,59.57595
Gentianella campestris,14.78675,58.04349
Gentianella campestris,14.52456,57.84627
Gentianella campestris,14.74707,58.06831
Gentianella campestris,16.29716,57.80331
Gentianella campestris,14.04438,57.85039
Gentianella campestris,14.72327,57.95857
Gentianella campestris,14.42603,57.82458
Gentianella campestris,14.72375,57.88674
Gentianella campestris,14.07849,57.55989
Gentianella campestris,14.37934,57.47205
Gentianella campestris,13.88247,57.47443
Gentianella campestris,14.094657,66.990705
Gentianella campestris,14.055535,66.896225
Gentianella campestris,15.136639,67.031967
Gentianella campestris,6.985936,62.883935
Gentianella campestris,17.60057,60.6343
Gentianella campestris,13.44526,58.20873
Gentianella campestris,18.36932,59.93123
Gentianella campestris,18.3352,59.85915
Gentianella campestris,17.51047,60.55468
Gentianella campestris,17.64835,60.38229
Gentianella campestris,17.31376,60.40176
Gentianella campestris,17.61285,60.55962
Gentianella campestris,17.54465,60.54616
Gentianella campestris,11.7074859072933,59.3876472946702
Gentianella campestris,12.2882,60.0614
Gentianella campestris,11.8202,60.1099
Gentianella campestris,11.8622,60.0547
Gentianella campestris,11.763989266081,59.3460462174901
Gentianella campestris,11.3745391264944,62.7039763884594
Gentianella campestris,11.4361391502756,62.7518789480416
Gentianella campestris,9.04599730682252,61.8304177451374
Gentianella campestris,5.1439,61.8584
Gentianella campestris,11.1997,60.6269
Gentianella campestris,12.3237651804806,60.4928963552525
Gentianella campestris,10.9591,60.8193
Gentianella campestris,8.5842,60.9878
Gentianella campestris,8.5657,60.9877
Gentianella campestris,12.6262,66.1822
Gentianella campestris,7.0809,62.9641
Gentianella campestris,12.7199,65.6585
Gentianella campestris,13.2699,65.6299
Gentianella campestris,6.99,62.8891
Gentianella campestris,8.9355,62.49974
Gentianella campestris,12.41709,60.93252
Gentianella campestris,14.55952,57.74784
