species,decimalLongitude,decimalLatitude
Gentianella campestris,17.33478,60.581
Gentianella campestris,17.25184,60.64386
Gentianella campestris,16.5516,60.47906
Gentianella campestris,17.27706,60.87607
Gentianella campestris,17.08935,60.51088
Gentianella campestris,16.26017,60.96501
Gentianella campestris,11.21711,58.82657
Gentianella campestris,14.99402,57.63824
Gentianella campestris,14.45008,57.90117
Gentianella campestris,14.94045,57.84889
Gentianella campestris,14.39836,57.62762
Gentianella campestris,14.92563,57.83532
Gentianella campestris,16.37331,57.83352
Gentianella campestris,14.30273,57.79445
Gentianella campestris,14.73352,57.61474
Gentianella campestris,16.3022,57.80329
Gentianella campestris,14.53072,57.71972
Gentianella campestris,14.72375,57.88674
Gentianella campestris,16.33656,57.62267
Gentianella campestris,14.88606,57.86827
Gentianella campestris,16.38179,57.83707
Gentianella campestris,15.38763,57.18759
Gentianella campestris,14.17869,56.65771
Gentianella campestris,14.91973,57.25071
Gentianella campestris,18.61176,59.89935
Gentianella campestris,18.27943,59.80543
Gentianella campestris,18.36926,59.83784
Gentianella campestris,8.83256723685754,60.0388444465018
Gentianella campestris,10.1864177239209,59.8768516478989
Gentianella campestris,10.1858184002824,59.8589509436215
Gentianella campestris,10.1861180641446,59.8678512937807
Gentianella campestris,10.1504168817079,59.8682509582601
Gentianella campestris,11.4092422757053,62.6624750232501
Gentianella campestris,11.3173355991815,62.7358771427643
Gentianella campestris,11.7551574707076,62.6022758844737
Gentianella campestris,10.835234657113,62.3793578728881
Gentianella campestris,8.19600891950581,60.9302730192167
Gentianella campestris,11.752488491288,59.357046534774
Gentianella campestris,10.1824,59.7216
Gentianella campestris,9.54370382406381,62.0627321768841
Gentianella campestris,10.0918208690687,59.7160444520311
Gentianella campestris,9.05055246270907,60.5704675306066
Gentianella campestris,9.08995062419926,60.6453708869988
Gentianella campestris,9.89631445967849,59.7175425810531
Gentianella campestris,8.40543082596539,60.5812613750754
Gentianella campestris,8.48723011285118,60.6610653643002
Gentianella campestris,8.58783340438302,60.6613664073429
Gentianella campestris,9.58009566850304,59.9348479071911
Gentianella campestris,9.27867244031039,60.2680579313069
Gentianella campestris,8.49216986991627,59.701627849333
Gentianella campestris,10.1632228682599,59.7244454812795
Gentianella campestris,10.168617134132,59.8770514806626
Gentianella campestris,10.4831,62.4618
Gentianella campestris,10.5621,62.4878
Gentianella campestris,11.7568567245198,62.6201766336931
Gentianella campestris,8.28881313089044,60.9038729309388
Gentianella campestris,7.96099531097963,61.0633758664894
Gentianella campestris,9.71630902350544,62.079934610487
Gentianella campestris,9.47249286735977,59.9172461457727
Gentianella campestris,22.9536653941573,70.0464893714202
Gentianella campestris,12.1353,65.9081
Gentianella campestris,12.151,65.9057
Gentianella campestris,9.20844,62.584
Gentianella campestris,9.11723,62.5009
Gentianella campestris,8.94612,62.48614
Gentianella campestris,8.96309,62.53686
Gentianella campestris,9.12297,62.58088
Gentianella campestris,8.8698,62.49769
Gentianella campestris,16.71324,62.37568
Gentianella campestris,16.67279,62.31312
Gentianella campestris,14.73792,57.88794
Gentianella campestris,16.35604,60.25967
Gentianella campestris,14.63705,60.84806
Gentianella campestris,14.91879,59.29469
Gentianella campestris,14.8654790802133,68.2370450377826
Gentianella campestris,14.8671,68.2299
Gentianella campestris,19.6677155960518,69.7118506825775
Gentianella campestris,15.4321,59.3444
Gentianella campestris,7.5422,60.3295
Gentianella campestris,14.65473,61.07512
Gentianella campestris,17.40521,58.83512
Gentianella campestris,18.60744,59.89046
Gentianella campestris,18.6712,59.86304
Gentianella campestris,18.68478,59.87748
Gentianella campestris,16.02032,61.11058
Gentianella campestris,15.22291,58.06638
Gentianella campestris,17.37952,58.83917
Gentianella campestris,18.62536,59.9058
Gentianella campestris,12.5752,57.75772
Gentianella campestris,14.08239,58.84861
Gentianella campestris,15.74604,59.98598
Gentianella campestris,16.35172,60.26556
Gentianella campestris,16.34794,60.2557
Gentianella campestris,16.72931,58.17096
Gentianella campestris,15.81666,57.8791
Gentianella campestris,15.27513,58.18566
Gentianella campestris,16.6667,58.38899
Gentianella campestris,15.66283,58.91968
Gentianella campestris,14.73031,58.13569
Gentianella campestris,15.28483,58.15898
Gentianella campestris,15.26202,58.13551
Gentianella campestris,15.43107,57.71392
Gentianella campestris,16.63781,58.49429
Gentianella campestris,18.63302,60.14376
Gentianella campestris,18.66832,60.13133
Gentianella campestris,18.76414,60.05461
Gentianella campestris,18.00939,59.49416
Gentianella campestris,13.93239,61.33609
Gentianella campestris,15.96514,57.62822
Gentianella campestris,14.78057,58.06791
Gentianella campestris,14.55936,57.90457
Gentianella campestris,13.9277,57.90952
Gentianella campestris,14.78032,62.98456
Gentianella campestris,15.80613,57.48376
Gentianella campestris,10.165047,59.735228
Gentianella campestris,9.995745,59.7132
Gentianella campestris,9.97792,59.711538
Gentianella campestris,9.988901,59.722232
Gentianella campestris,10.520285,60.503937
Gentianella campestris,23.845484,60.620649
Gentianella campestris,16.18647,57.82618
Gentianella campestris,15.44461,58.31698
Gentianella campestris,15.9523,58.82272
Gentianella campestris,15.47558,58.28641
Gentianella campestris,15.9588,57.71443
Gentianella campestris,15.67947,56.50219
Gentianella campestris,15.11832,57.70635
Gentianella campestris,16.77134,58.52024
Gentianella campestris,15.49521,56.59527
Gentianella campestris,15.43756,58.34467
Gentianella campestris,16.68671,57.91079
Gentianella campestris,15.56691,58.68433
Gentianella campestris,15.65966,56.98706
Gentianella campestris,16.30765,57.82576
Gentianella campestris,15.77318,56.9611
Gentianella campestris,15.66277,58.93404
Gentianella campestris,15.36563,58.28436
Gentianella campestris,14.61456,57.973
Gentianella campestris,15.19569,57.90783
Gentianella campestris,14.90007,57.86277
Gentianella campestris,15.49194,57.97655
Gentianella campestris,12.50209,56.27788
Gentianella campestris,16.14444,57.82989
Gentianella campestris,14.59902,57.87028
Gentianella campestris,16.08463,57.49512
Gentianella campestris,14.90438,58.17951
Gentianella campestris,15.08573,57.91714
Gentianella campestris,15.05699,57.87062
Gentianella campestris,16.1574,57.77778
