"","iteration","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"1",1,250,5,0.005,20,0.707335138213475,"0.834259506041222, 0.768143656716418, 0.599860074626866, 0.764987695608279, 0.673247412922766, 0.566090358404846, 0.739105523237631, 0.737067408936428, 0.584851858801943, 0.697619047619048, 0.645102040816326, 0.877687074829932"
"2",2,750,4,0.01,20,0.724317960774951,"0.868303571428571, 0.777477567519545, 0.556560945273632, 0.813142036850076, 0.685280477031802, 0.501147621150934, 0.734791184504076, 0.733904630845896, 0.601139467483997, 0.80265306122449, 0.767006802721088, 0.850408163265306"
"3",3,100,5,0.005,5,0.698815741595677,"0.827213819296375, 0.771981054548685, 0.554575337597726, 0.756244478798587, 0.670870141342756, 0.494678350580515, 0.736990471424699, 0.737634744896895, 0.553661725151686, 0.737074829931973, 0.680850340136054, 0.864013605442177"
"4",4,100,3,0.01,20,0.700991121781263,"0.821413579424307, 0.762332311656006, 0.550181014570007, 0.744508770822817, 0.672980817768804, 0.519840831650682, 0.733205312649861, 0.737332207418528, 0.625234669835908, 0.677142857142857, 0.716972789115646, 0.850748299319728"
"5",5,100,3,0.005,10,0.696825548927131,"0.817144745024876, 0.764977567519545, 0.601450892857143, 0.743277542907622, 0.672722110045432, 0.498551867743564, 0.730796480473718, 0.735065157106816, 0.647103896916244, 0.621122448979592, 0.690136054421769, 0.839557823129252"
"6",6,500,6,0.005,15,0.716455948580436,"0.85397565742715, 0.777412046908316, 0.492602834044065, 0.791345911155982, 0.68233373296315, 0.558731385663806, 0.738866579095515, 0.741060861950335, 0.658081149267113, 0.734897959183673, 0.696054421768707, 0.872108843537415"
"7",7,50,6,0.01,5,0.70001697312212,"0.8318924351457, 0.771584599324804, 0.530864649964463, 0.763313194093892, 0.677868658505805, 0.587232616102978, 0.739125539500844, 0.743069785867684, 0.612156960864035, 0.595102040816327, 0.715748299319728, 0.832244897959184"
"8",8,500,6,0.01,20,0.731451247976191,"0.87037802061123, 0.777157738095238, 0.571054326581379, 0.813553760726906, 0.686372097425543, 0.501340863200404, 0.738040074226976, 0.739840286899773, 0.629745835157732, 0.810068027210884, 0.765918367346939, 0.873945578231292"
"9",9,50,6,0.01,20,0.694603103590876,"0.830422663468372, 0.764261282871358, 0.60601012793177, 0.758312563099445, 0.67472315118627, 0.5247649545684, 0.73451762890682, 0.746113717395384, 0.591315235295344, 0.567721088435374, 0.698537414965986, 0.838537414965986"
"10",10,250,4,0.005,20,0.704337419999096,"0.829012859808102, 0.767446806147832, 0.582449360341151, 0.755602441948511, 0.678304044674407, 0.539718734225139, 0.731906132065637, 0.738878463751798, 0.590294822876921, 0.672380952380952, 0.708979591836735, 0.857074829931973"
