"","iteration","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"1",1,250,5,0.005,20,0.707147474782628,"0.834376110518834, 0.767981520966596, 0.596609585998578, 0.766013061585058, 0.677541330136295, 0.477065718071681, 0.736875377911219, 0.740822960321928, 0.621749338003795, 0.663197278911565, 0.725850340136054, 0.877687074829932"
"2",2,750,4,0.01,20,0.737069904292824,"0.868557880241649, 0.775240982587065, 0.604458733120114, 0.812645128722867, 0.684494888944977, 0.523321554770318, 0.736728174975501, 0.736560121765601, 0.616776964617085, 0.825102040816327, 0.791224489795918, 0.869727891156463"
"3",3,100,5,0.005,5,0.709444622057721,"0.827830157249467, 0.771074315920398, 0.623970549040512, 0.754334143109541, 0.676354271832408, 0.499914815749621, 0.734992806655408, 0.743240132607744, 0.590297741915306, 0.780034013605442, 0.681632653061224, 0.829659863945578"
"4",4,100,3,0.01,20,0.703387814768517,"0.821697316986496, 0.762551083866382, 0.619083710909737, 0.744622349823322, 0.67322769434629, 0.578273283695104, 0.732997435416276, 0.734292445945664, 0.581255395008444, 0.624659863945578, 0.723503401360544, 0.844489795918367"
"5",5,100,3,0.005,10,0.716003105012552,"0.81963230721393, 0.767458466595593, 0.718202514214641, 0.740855312973246, 0.673909168349318, 0.479378312720848, 0.72679718938304, 0.737881820645942, 0.596765705469027, 0.719251700680272, 0.774761904761905, 0.837142857142857"
"6",6,500,6,0.005,15,0.723997495783068,"0.852781849680171, 0.776976723525231, 0.589028629175551, 0.789579126703685, 0.684419169611307, 0.555648977788995, 0.736337857842831, 0.735348303830195, 0.651930943891912, 0.701768707482993, 0.757959183673469, 0.856190476190476"
"7",7,50,6,0.01,5,0.708173429711671,"0.82854533137882, 0.77392723880597, 0.551289312366738, 0.765460152700656, 0.686637115093387, 0.519739872539122, 0.742492024770126, 0.738990221221409, 0.599061112153625, 0.723061224489796, 0.698367346938775, 0.870510204081633"
"8",8,500,6,0.01,20,0.734355087041193,"0.86943407960199, 0.778620291400142, 0.591438455046198, 0.816005174154467, 0.686619762746088, 0.535289941948511, 0.736270719959968, 0.740369049853006, 0.609982277266946, 0.789251700680272, 0.79265306122449, 0.866326530612245"
"9",9,50,6,0.01,20,0.697117534910175,"0.829440964818763, 0.761272876687989, 0.560378909026297, 0.760006783190308, 0.663183051489147, 0.552223466683493, 0.739310272930089, 0.738784012009758, 0.589211442630471, 0.608333333333333, 0.708843537414966, 0.854421768707483"
"10",10,250,4,0.005,20,0.70728508638355,"0.829113361762616, 0.768224724591329, 0.60934335021322, 0.756231858909642, 0.678238579000505, 0.542575561585058, 0.735161068368049, 0.739298805279289, 0.606444611246638, 0.680544217687075, 0.712585034013605, 0.829659863945578"
