"","iteration","n.trees","interaction.depth","shrinkage","n.minobsinnode","ROC_AUC_valid"
"1",1,250,5,0.005,20,0.724611760111522
"2",2,750,4,0.01,20,0.74960107681252
"3",3,100,5,0.005,5,0.705591486651078
"4",4,100,3,0.01,20,0.703339591265783
"5",5,100,3,0.005,10,0.704171848266745
"6",6,500,6,0.005,15,0.737594169079412
"7",7,50,6,0.01,5,0.731973233334454
"8",8,500,6,0.01,20,0.754191294271671
"9",9,50,6,0.01,20,0.745585836906437
"10",10,250,4,0.005,20,0.715304085901726
"11",11,1000,5,0.01,10,0.753115762147351
"12",12,50,6,0.01,10,0.718883591252979
"13",13,50,5,0.01,20,0.709661543484628
"14",14,100,6,0.01,10,0.722041766497494
"15",15,750,5,0.01,15,0.760269171120042
"16",16,250,3,0.005,15,0.711858621942456
"17",17,1000,6,0.005,10,0.757035372523035
"18",18,100,3,0.01,5,0.710828303780207
"19",19,50,4,0.005,5,0.718392639647123
"20",20,250,6,0.01,20,0.740875582379839
"21",21,500,4,0.01,20,0.748974483320449
"22",22,100,6,0.005,20,0.725075903438982
"23",23,1000,3,0.01,10,0.749377007619953
"24",24,250,4,0.01,10,0.727182553972667
"25",25,1000,5,0.01,20,0.75087827121015
"26",26,50,4,0.005,15,0.711204820048431
"27",27,250,6,0.005,15,0.732858306645092
"28",28,500,3,0.01,10,0.742181985797214
"29",29,750,6,0.01,15,0.757251439244439
"30",30,100,4,0.01,5,0.715718613907975
"31",31,50,5,0.005,15,0.712989771241359
"32",32,1000,3,0.01,20,0.750621391885814
"33",33,500,3,0.01,20,0.744870816108014
"34",34,100,3,0.01,10,0.710873517742279
"35",35,750,6,0.005,5,0.751014313219922
"36",36,750,4,0.005,20,0.743259118415767
"37",37,750,3,0.005,10,0.739830859769497
"38",38,250,5,0.01,15,0.739317501244384
"39",39,1000,4,0.005,20,0.749138533979293
"40",40,500,4,0.01,5,0.74856235605555
"41",41,250,6,0.005,10,0.733833807879873
"42",42,100,4,0.01,20,0.717253487877056
"43",43,250,6,0.005,20,0.73180918267561
"44",44,250,5,0.005,10,0.725758514229194
"45",45,250,6,0.01,15,0.74047425845101
"46",46,50,3,0.005,15,0.695033426322048
"47",47,1000,4,0.01,20,0.752256296744435
"48",48,100,5,0.01,5,0.728821860190427
"49",49,250,6,0.005,5,0.728898683913592
"50",50,750,5,0.01,5,0.756775292210235
"51",51,100,5,0.01,20,0.722225823334246
"52",52,1000,4,0.005,10,0.746214431016298
"53",53,500,5,0.005,5,0.733002751249586
"54",54,100,6,0.005,15,0.717364722226223
"55",55,500,6,0.01,10,0.750725424010935
"56",56,1000,3,0.005,5,0.739774042224239
"57",57,100,5,0.01,10,0.72272357704059
"58",58,500,5,0.01,15,0.744890822285922
"59",59,250,5,0.01,5,0.734981362244661
"60",60,500,5,0.01,20,0.74821104757149
"61",61,100,6,0.01,20,0.72400077143822
"62",62,250,5,0.01,20,0.738960190906952
"63",63,500,3,0.005,5,0.720296027413265
"64",64,50,5,0.005,5,0.715905071486075
"65",65,100,4,0.005,20,0.703952980680434
"66",66,50,5,0.01,15,0.713360685779769
"67",67,50,6,0.005,15,0.72523035113243
"68",68,50,3,0.01,5,0.703584066759815
"69",69,500,3,0.005,10,0.726378305620776
"70",70,500,6,0.005,5,0.746564939253241
"71",71,750,5,0.01,10,0.750619791391582
"72",72,50,6,0.005,20,0.750327701194129
"73",73,100,5,0.005,15,0.706520973676671
"74",74,750,3,0.01,15,0.749646690898149
"75",75,250,5,0.01,10,0.739349511129037
"76",76,750,4,0.01,5,0.755098774501566
"77",77,500,5,0.01,5,0.752566792625563
"78",78,500,5,0.005,15,0.737949478799053
"79",79,1000,3,0.01,5,0.750286088344081
"80",80,1000,4,0.005,5,0.745302149303705
"81",81,50,4,0.01,5,0.710236120914138
"82",82,1000,6,0.005,15,0.750457341226971
"83",83,1000,5,0.005,15,0.74959227409424
"84",84,500,5,0.005,10,0.739940493624431
"85",85,250,4,0.01,20,0.736372191732807
"86",86,750,5,0.01,20,0.755638141057959
"87",87,250,6,0.01,10,0.74019657270165
"88",88,1000,6,0.01,10,0.7482262522667
"89",89,750,6,0.005,10,0.749820344522389
"90",90,50,6,0.005,10,0.710661052132899
"91",91,100,5,0.005,20,0.712349173424754
"92",92,50,4,0.01,10,0.715731417861836
"93",93,50,5,0.01,10,0.71138727639095
"94",94,50,5,0.01,5,0.708826885742317
"95",95,100,4,0.005,5,0.702368491390141
"96",96,250,3,0.005,10,0.715894268150005
"97",97,1000,6,0.01,20,0.761738424825586
"98",98,1000,4,0.01,15,0.751362420715517
"99",99,250,4,0.005,15,0.722464296974906
"100",100,50,5,0.005,20,0.708445567991396
"101",101,1000,3,0.005,20,0.743228709025347
"102",102,1000,4,0.01,10,0.752896494437482
"103",103,500,6,0.01,5,0.758212536031126
"104",104,750,5,0.005,5,0.742394851530152
"105",105,100,5,0.005,10,0.715781033183047
"106",106,500,6,0.01,15,0.749335394769905
"107",107,1000,3,0.005,10,0.742234802106891
"108",108,500,6,0.005,20,0.736216943792243
"109",109,750,3,0.005,15,0.73616332723545
"110",110,1000,6,0.005,5,0.75250677409184
"111",111,750,5,0.005,20,0.746460106881005
"112",112,100,3,0.005,20,0.701580648104135
"113",113,1000,3,0.005,15,0.7455374219559
