"","iteration","n.trees","interaction.depth","shrinkage","n.minobsinnode","ROC_AUC_valid"
"1",1,250,5,0.005,20,0.702896254363347
"2",2,750,4,0.01,20,0.753123764618514
"3",3,100,5,0.005,5,0.686927323157391
"4",4,100,3,0.01,20,0.702051193408525
"5",5,100,3,0.005,10,0.685514486873547
"6",6,500,6,0.005,15,0.722852816949874
"7",7,50,6,0.01,5,0.689463706392534
"8",8,500,6,0.01,20,0.738826549638528
"9",9,50,6,0.01,20,0.691508337774705
"10",10,250,4,0.005,20,0.706331315110106
"11",11,1000,5,0.01,10,0.750254878706545
"12",12,50,6,0.01,10,0.686841696715946
"13",13,50,5,0.01,20,0.694553678175821
"14",14,100,6,0.01,10,0.696357035052424
"15",15,750,5,0.01,15,0.745346963142218
"16",16,250,3,0.005,15,0.702595761571173
"17",17,1000,6,0.005,10,0.738876965206856
"18",18,100,3,0.01,5,0.692487840245068
"19",19,50,4,0.005,5,0.657447819886781
"20",20,250,6,0.01,20,0.723517822303527
"21",21,500,4,0.01,20,0.738480842884283
"22",22,100,6,0.005,20,0.692350997988179
"23",23,1000,3,0.01,10,0.74697066454121
"24",24,250,4,0.01,10,0.725235952862244
"25",25,1000,5,0.01,20,0.743344744857212
"26",26,50,4,0.005,15,0.662360536933805
"27",27,250,6,0.005,15,0.70205439439699
"28",28,500,3,0.01,10,0.738181550462783
"29",29,750,6,0.01,15,0.738686506393174
"30",30,100,4,0.01,5,0.694251985012972
"31",31,50,5,0.005,15,0.688561827892453
"32",32,1000,3,0.01,20,0.750443737025994
"33",33,500,3,0.01,20,0.743804086701974
"34",34,100,3,0.01,10,0.694856971832902
"35",35,750,6,0.005,5,0.729614104835573
"36",36,750,4,0.005,20,0.732679051291039
"37",37,750,3,0.005,10,0.733530514222792
"38",38,250,5,0.01,15,0.726979691328682
"39",39,1000,4,0.005,20,0.738616084646939
"40",40,500,4,0.01,5,0.735135009690993
"41",41,250,6,0.005,10,0.702608965648592
"42",42,100,4,0.01,20,0.694489658406516
"43",43,250,6,0.005,20,0.701933957205985
"44",44,250,5,0.005,10,0.69885820741445
"45",45,250,6,0.01,15,0.718578296978107
