"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","mean_ROC_AUC","fold_ROC_AUC"
"1",500,40,0.05,0.8,0.8,0.750022579786045,"0.918507906894101, 0.773694029850746, 0.679002865138593, 0.88424091367996, 0.679831839979808, 0.600368343008582, 0.731778319884906, 0.749785033673193, 0.648639936615167, 0.79047619047619, 0.723469387755102, 0.82047619047619"
"2",500,10,0.1,0.6,0.7,0.739326243487165,"0.918047041577825, 0.771688432835821, 0.681120069296375, 0.88357679202423, 0.676779404341242, 0.605609540636042, 0.738468338858656, 0.73316486311795, 0.670739350722462, 0.671972789115646, 0.690612244897959, 0.830136054421769"
"3",100,40,0.01,0.6,0.6,0.742949062685154,"0.892265236318408, 0.784534914712154, 0.656042332977967, 0.847054833417466, 0.694634969712267, 0.577617049469965, 0.7409993536415, 0.743798711453056, 0.653169241675528, 0.708809523809524, 0.716258503401361, 0.900204081632653"
"4",500,10,0.01,0.7,0.7,0.751293211154968,"0.880123933901919, 0.779040067519545, 0.676292643923241, 0.825373864209995, 0.686342125189298, 0.591052498738011, 0.740681803965722, 0.736764662955318, 0.663724484476971, 0.800340136054422, 0.790748299319728, 0.845034013605442"
"5",100,30,0.1,0.8,0.8,0.762436144347894,"0.917294109808102, 0.779926261549396, 0.687720993248045, 0.882196491670873, 0.687641973750631, 0.604950151438667, 0.722829382206376, 0.741656345780947, 0.651956798231897, 0.819795918367347, 0.798095238095238, 0.855170068027211"
"6",100,10,0.05,0.6,0.8,0.756040881299527,"0.880695851101635, 0.776340951492537, 0.681294976012793, 0.827614683240787, 0.682553792276628, 0.598469049722362, 0.745188173724484, 0.736263422364004, 0.665974437563854, 0.835340136054422, 0.817448979591837, 0.82530612244898"
"7",100,20,0.05,0.8,0.6,0.752248569748762,"0.904241071428571, 0.781536513859275, 0.645452980632552, 0.862725580514891, 0.689809439676931, 0.58156944093892, 0.726803444465295, 0.742781009570276, 0.651791247054899, 0.875238095238095, 0.684965986394558, 0.880068027210884"
"8",500,30,0.01,0.6,0.8,0.761833058585231,"0.911554948471926, 0.781188921464108, 0.669057613717129, 0.874145002523978, 0.689437152953054, 0.594989904088844, 0.736716081816476, 0.738160171806259, 0.665250307541544, 0.849455782312925, 0.742517006802721, 0.889523809523809"
"9",50,20,0.1,0.7,0.7,0.757168869071514,"0.903029495380242, 0.772499111584932, 0.683537668798863, 0.862048838970217, 0.677626514386673, 0.597002776375568, 0.736681053355852, 0.741338379099685, 0.676208169137424, 0.858775510204082, 0.759047619047619, 0.818231292517007"
"10",1000,10,0.01,0.8,0.7,0.748024717798945,"0.9007296108742, 0.775736273987207, 0.687321761727079, 0.858084616355376, 0.681556032306916, 0.598718292529026, 0.739047142469924, 0.729585705052021, 0.652455953795792, 0.750204081632653, 0.778775510204082, 0.824081632653061"
