"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"1",1000,4,5,0.744131641859874,"0.903171086531628, 0.78203513681592, 0.697615716062544, 0.863036345280161, 0.693201034830893, 0.586594522968198, 0.746335981318154, 0.745602260169721, 0.626137278205208, 0.743503401360544, 0.709897959183673, 0.832448979591837"
"2",50,6,10,0.738484083147482,"0.899388104122246, 0.77517657249467, 0.726057769189766, 0.856652258960121, 0.692251388187784, 0.580655287733468, 0.737791955964221, 0.732350451408436, 0.612199495423365, 0.685102040816327, 0.736904761904762, 0.827278911564626"
"3",900,3,20,0.743292975940091,"0.902897898898365, 0.782581512082445, 0.697932769189765, 0.863006373043917, 0.694208259717314, 0.575001577486118, 0.744927753799962, 0.745592252038114, 0.622346906861825, 0.706462585034013, 0.744625850340136, 0.839931972789116"
"4",50,5,10,0.713423729699296,"0.900092728322672, 0.762513326226013, 0.644722259239517, 0.854508455325593, 0.673330230943968, 0.468755521201413, 0.733503471570651, 0.740768958111799, 0.526019057150601, 0.698537414965986, 0.729455782312925, 0.828877551020408"
"5",1000,6,20,0.748584126157152,"0.903128331556503, 0.782609830312722, 0.703697472459133, 0.86196207723372, 0.695113736749117, 0.575155382382635, 0.744097912887554, 0.746898313212819, 0.622489314234482, 0.755238095238095, 0.742108843537415, 0.850510204081633"
"6",750,6,20,0.749539930135305,"0.902628042821606, 0.780633106787491, 0.706672552416489, 0.861839033316507, 0.692581871529531, 0.570810196870268, 0.748448531098184, 0.744625424824336, 0.642498905360605, 0.783401360544218, 0.731530612244898, 0.828809523809524"
"7",900,3,17,0.750554389830591,"0.903122778962331, 0.782745868869936, 0.700137704335466, 0.863084458606764, 0.686504606259465, 0.577709332407875, 0.743273493046434, 0.7451139467484, 0.631627155397093, 0.77187074829932, 0.746836734693878, 0.854625850340136"
"8",1000,3,17,0.745796275949627,"0.903493136993603, 0.783458266702203, 0.712442253020611, 0.862302814235235, 0.690266121908127, 0.578634528016153, 0.7433087300098, 0.746266549905131, 0.624927128291737, 0.751700680272109, 0.724625850340136, 0.82812925170068"
"9",1000,5,20,0.741967719191878,"0.903369314143568, 0.783585976368159, 0.705246090973703, 0.862690087077234, 0.690677057041898, 0.566074583543665, 0.744944851024791, 0.743678196868289, 0.631033548091157, 0.765850340136054, 0.68234693877551, 0.824115646258503"
"10",50,4,17,0.731384832204645,"0.898283693141436, 0.777647476901208, 0.68296130952381, 0.859812752397779, 0.690241670873296, 0.578207029278142, 0.736476720668877, 0.744959029211234, 0.675579324868122, 0.815442176870748, 0.551836734693878, 0.765170068027211"
"11",50,5,17,0.730071464560203,"0.899138237384506, 0.780933502132196, 0.676302083333333, 0.858273125946492, 0.672733941191317, 0.535663806158506, 0.749988949354684, 0.728856362461166, 0.522981172202414, 0.798775510204082, 0.702312925170068, 0.834897959183673"
"12",100,5,15,0.737165747059468,"0.901038335110164, 0.785237317874911, 0.702811278429282, 0.858828401060071, 0.6897849886421, 0.551807010348309, 0.739045682950731, 0.738459164738016, 0.657038010049832, 0.695986394557823, 0.70343537414966, 0.822517006802721"
"13",750,6,5,0.746308980940823,"0.902826825692964, 0.783069585110163, 0.709779784115139, 0.863425195608279, 0.690729114083796, 0.566286755426552, 0.740592356289485, 0.74808886386856, 0.64679364483643, 0.709557823129252, 0.754897959183674, 0.839659863945578"
"14",1000,3,5,0.748062981711184,"0.902679126687989, 0.782302771855011, 0.708754775230988, 0.862937752397779, 0.692000567895003, 0.569252429328622, 0.742289777110569, 0.744277850753737, 0.606444402743896, 0.757619047619048, 0.767210884353742, 0.840986394557823"
"15",1000,4,10,0.745038516730744,"0.903172752309879, 0.786257329424307, 0.694486273987207, 0.862965358404846, 0.693175795053004, 0.567753817516406, 0.750591105273034, 0.744958612205751, 0.626624966118304, 0.762789115646259, 0.703333333333333, 0.844353741496599"
"16",100,4,5,0.729997914841304,"0.902347081556503, 0.779041733297797, 0.713019722814499, 0.856662512619889, 0.686846132004038, 0.604518708985361, 0.746164175058902, 0.738828214591022, 0.639927649548592, 0.592517006802721, 0.698095238095238, 0.802006802721088"
"17",900,6,15,0.740430693872159,"0.902988406183369, 0.782047907782516, 0.698276474769012, 0.862870709237759, 0.694702801615346, 0.566127429328622, 0.746824503242218, 0.74764454452576, 0.646950855903755, 0.702448979591837, 0.698197278911565, 0.83608843537415"
"18",50,4,10,0.724687726915403,"0.901762393390192, 0.780061744847193, 0.621457444918266, 0.856567863452802, 0.693294895254922, 0.499676615345785, 0.737024457371614, 0.739039010862993, 0.645293467609099, 0.754557823129252, 0.683673469387755, 0.783843537414966"
"19",50,6,15,0.73703264726564,"0.899928371535181, 0.78280861318408, 0.666990382906894, 0.857628722867239, 0.683225012619889, 0.586586635537607, 0.740631763307688, 0.736337649340089, 0.591751214528471, 0.832278911564626, 0.615340136054422, 0.850884353741497"
"20",500,6,15,0.741538070499372,"0.902654140014215, 0.784600435323383, 0.703017279673063, 0.862496056284705, 0.691192895002524, 0.579333354366482, 0.749400763120035, 0.742842726381852, 0.600674297867017, 0.75921768707483, 0.708979591836735, 0.814047619047619"
"21",500,6,20,0.740952630012757,"0.902957311656006, 0.78050650764037, 0.701571939410092, 0.862966147147905, 0.689848088086825, 0.571830830388693, 0.744452576051375, 0.750890515210275, 0.601611726194199, 0.728877551020408, 0.707312925170068, 0.848605442176871"
"22",750,5,17,0.751258881684783,"0.903209954690832, 0.781188921464108, 0.711108519900498, 0.862559944472489, 0.691476053760727, 0.606702738515901, 0.744292445945664, 0.746316382060424, 0.614510122808115, 0.742585034013605, 0.750510204081633, 0.860646258503401"
"23",750,3,20,0.745717709454758,"0.9034026297086, 0.779596992714996, 0.695989916488984, 0.862154530540131, 0.694500883392226, 0.567383108278647, 0.74742686766331, 0.746140822751819, 0.618275265319739, 0.772142857142857, 0.732959183673469, 0.828639455782313"
"24",900,5,15,0.746267709514787,"0.903617515103056, 0.783851945628998, 0.701052216595593, 0.863213023725391, 0.693132414184755, 0.573077044422009, 0.74413314985092, 0.746123934029733, 0.624766372677801, 0.735544217687075, 0.757551020408163, 0.829149659863946"
"25",50,5,5,0.727011085327964,"0.898296464108031, 0.780430437100213, 0.707476568052594, 0.858318873043917, 0.682788048965169, 0.566084837203433, 0.736328266716707, 0.727096599320281, 0.591020412418423, 0.743673469387755, 0.621530612244898, 0.81108843537415"
"26",500,3,10,0.746341712875058,"0.903353211620469, 0.787094660625444, 0.701382595948827, 0.862951161029783, 0.692835846794548, 0.597671630489652, 0.746720877379538, 0.748882425303893, 0.64116052626092, 0.751530612244898, 0.677993197278911, 0.844523809523809"
"27",50,6,17,0.731284057856992,"0.899661847014925, 0.778586420575693, 0.725403118336887, 0.855668696365472, 0.671848182735992, 0.581774514134276, 0.739777944579971, 0.747028835929192, 0.534434644815579, 0.70078231292517, 0.65156462585034, 0.888877551020408"
"28",500,6,17,0.754600741212678,"0.902536980277186, 0.784200648542999, 0.709817541755508, 0.862834427057042, 0.696098876829884, 0.596444346289753, 0.744771793749088, 0.74682137570109, 0.643893788703321, 0.783163265306122, 0.739047619047619, 0.845578231292517"
