"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"1",1000,4,5,0.749092010211694,"0.903669154228856, 0.782328313788202, 0.700372579068941, 0.86268456587582, 0.691852284199899, 0.580236465169107, 0.740602572923834, 0.743151101936991, 0.614309126165009, 0.764251700680272, 0.768979591836735, 0.836666666666667"
"2",50,6,10,0.725809192069255,"0.900229877398721, 0.766522854477612, 0.688376199360341, 0.856731922009086, 0.677134338717819, 0.573213496971227, 0.742913408811326, 0.736477971685328, 0.633110235399596, 0.808741496598639, 0.493605442176871, 0.83265306122449"
"3",900,3,20,0.744856752713276,"0.903219394100924, 0.784296708422175, 0.699375888415067, 0.86307972614841, 0.697016973750631, 0.567484856133266, 0.746628302162173, 0.74689497716895, 0.617699172244115, 0.759183673469388, 0.717925170068027, 0.83547619047619"
"4",50,5,10,0.718676924480094,"0.898930015103056, 0.784637082444918, 0.618571761727079, 0.857020601968703, 0.67661297955578, 0.512026754164563, 0.748698108880132, 0.747070953483038, 0.579772523508684, 0.571122448979592, 0.80530612244898, 0.824353741496599"
"5",1000,6,20,0.748730199773188,"0.903018390191898, 0.78229888503909, 0.706269989339019, 0.862705073195356, 0.693619068652196, 0.585495803886926, 0.746336815329122, 0.751265194637309, 0.614365421905298, 0.775884353741497, 0.73469387755102, 0.828809523809524"
"6",750,6,20,0.741178654794825,"0.904165000888415, 0.784027407604833, 0.694137015813788, 0.862302025492176, 0.694854240282685, 0.575380174154467, 0.742020391568149, 0.748226475678155, 0.611548132857947, 0.755034013605442, 0.687619047619048, 0.834829931972789"
"7",900,3,17,0.747532573765997,"0.902931214463397, 0.785940831556503, 0.6998611851457, 0.862096163553761, 0.690391532054518, 0.583856795810197, 0.741885698796939, 0.743546006129981, 0.636173974687767, 0.744659863945578, 0.727551020408163, 0.851496598639456"
"8",1000,3,17,0.746675391502768,"0.903127221037669, 0.782546530739161, 0.696162602167733, 0.862696397021706, 0.68769324204947, 0.5830475454316, 0.746307624945268, 0.746693980525844, 0.621387377244011, 0.768095238095238, 0.732244897959184, 0.830102040816327"
"9",1000,5,20,0.750629854735388,"0.903530894633973, 0.784575448649609, 0.702197716773276, 0.862070923775871, 0.691569914184755, 0.585848372034326, 0.744223640040866, 0.74610871332958, 0.630085694626884, 0.758537414965986, 0.757108843537415, 0.841700680272109"
"10",50,4,17,0.716825197060049,"0.898032160625444, 0.776920087064677, 0.63296908315565, 0.856949615093387, 0.681874684502776, 0.5794524545684, 0.731961176789475, 0.744857488375972, 0.653681532912158, 0.725816326530612, 0.50874149659864, 0.810646258503401"
