"","n.trees","max_depth","min_samples_split","ROC_AUC_valid"
"1",1000,4,5,0.724105603810457
"2",50,6,10,0.726515548001223
"3",900,3,20,0.723159311595421
"4",50,5,10,0.732726265870901
"5",1000,6,20,0.731051348656465
"6",750,6,20,0.724830227574275
"7",900,3,17,0.725964977985202
"8",1000,3,17,0.727148543470224
"9",1000,5,20,0.724205234576437
"10",50,4,17,0.73507259041592
"11",50,5,17,0.723188520615166
"12",100,5,15,0.718446656327474
"13",750,6,5,0.727536263198076
"14",1000,3,5,0.730863690707691
"15",1000,4,10,0.727269380784786
"16",100,4,5,0.731802380575122
"17",900,6,15,0.729004316532945
"18",50,4,10,0.713477121735192
"19",50,6,15,0.716601286477264
"20",500,6,15,0.734777299230002
"21",500,6,20,0.731537098656065
"22",750,5,17,0.722394275352229
"23",750,3,20,0.731959229009918
"24",900,5,15,0.727495450595144
"25",50,5,5,0.72919837645865
"26",500,3,10,0.723247738901773
"27",50,6,17,0.707149967910091
"28",500,6,17,0.726827244253025
"29",50,5,20,0.725980182680412
"30",900,4,20,0.729895391696956
"31",900,4,10,0.728993513196875
"32",500,5,15,0.730891299233203
"33",100,6,5,0.723564236636273
"34",900,6,5,0.731770770814027
"35",500,3,15,0.724943062417675
"36",500,6,10,0.736211342062429
"37",1000,6,17,0.729407641079565
"38",1000,5,17,0.732444979009518
"39",100,6,17,0.722193813449593
"40",750,4,17,0.723384581158662
"41",250,4,10,0.72393795203959
"42",750,3,17,0.726682799648531
"43",900,3,10,0.727792342275295
"44",100,4,17,0.694484856923818
"45",900,4,15,0.724505727368611
"46",250,5,20,0.722587134907259
"47",100,6,20,0.731190591654703
"48",1000,3,15,0.728635002488769
"49",900,4,5,0.724581750844661
"50",750,6,15,0.728790250429333
"51",500,6,5,0.723997170326197
"52",100,5,17,0.724079995902735
"53",1000,5,5,0.725995387375622
"54",100,6,15,0.718809168271162
"55",750,6,17,0.72282120718878
"56",750,5,10,0.732815493424369
"57",100,3,20,0.741290910633204
"58",100,5,5,0.713119011150643
"59",900,3,5,0.729768152405463
"60",500,4,17,0.72178688779095
"61",500,4,10,0.727747928560339
"62",250,3,10,0.734191518340864
"63",900,6,20,0.730193083624223
"64",1000,4,17,0.725241954715616
"65",500,3,5,0.724981074155699
"66",750,5,20,0.732986346183702
"67",250,5,17,0.714627476964887
"68",50,6,20,0.735795613685506
"69",250,6,10,0.723949955746334
"70",50,6,5,0.728147251871378
"71",250,3,20,0.72333296521966
"72",250,5,15,0.738852957793367
"73",1000,3,10,0.730463567149536
"74",750,4,10,0.721966543268561
"75",100,3,10,0.720488886968296
"76",750,4,5,0.724750202862644
"77",250,3,17,0.735439503718748
"78",50,3,15,0.731950026168081
"79",500,5,10,0.724691384699595
"80",250,4,15,0.726838447712654
"81",750,4,15,0.729093944209972
"82",250,6,20,0.730061843097148
"83",50,3,10,0.731132173615212
"84",1000,4,15,0.726222257433095
"85",900,5,17,0.727244973247739
"86",250,3,5,0.731109766695956
"87",250,6,17,0.720186793681889
"88",500,3,20,0.728195666821915
"89",500,3,17,0.729106748163833
"90",100,4,10,0.717229880587125
"91",50,4,5,0.737524547580293
"92",250,4,5,0.722082979223984
"93",1000,4,20,0.726501143553129
"94",100,5,10,0.720527698953437
"95",1000,5,15,0.724492523291192
"96",1000,5,10,0.726396311180893
"97",50,5,15,0.741657823936031
"98",100,4,15,0.725099110605355
"99",900,5,5,0.728577384696394
"100",250,5,5,0.729537681235966
"101",1000,6,15,0.728312502900896
"102",750,3,15,0.723692276174883
"103",1000,3,20,0.725313176708968
"104",250,6,5,0.730568799645331
"105",750,6,10,0.72514792567945
"106",1000,6,10,0.729406440708891
"107",100,3,15,0.731067753722349
"108",500,5,20,0.723316560153775
"109",500,4,20,0.732581021019291
"110",100,5,20,0.719267709868808
"111",900,5,20,0.725540847013558
"112",250,3,15,0.727941188238928
"113",500,4,15,0.731763168466422
"114",500,5,17,0.728981509490131
"115",250,5,10,0.73161832373837
"116",750,3,5,0.724895447714254
"117",250,6,15,0.72451693082824
"118",750,4,20,0.728931494045361
"119",100,4,20,0.725220748167034
"120",500,4,5,0.731526695443553
