"","n.trees","max_depth","min_samples_split","ROC_AUC_valid"
"1",1000,4,5,0.731437467890084
"2",50,6,10,0.737292075793005
"3",900,3,20,0.728602992604116
"4",50,5,10,0.721883317568465
"5",1000,6,20,0.732414569619098
"6",750,6,20,0.731696747955769
"7",900,3,17,0.739950896836943
"8",1000,3,17,0.731203395608564
"9",1000,5,20,0.729000315297364
"10",50,4,17,0.717956104845176
"11",50,5,17,0.727093326419198
"12",100,5,15,0.721237918269162
"13",750,6,5,0.727775136962294
"14",1000,3,5,0.733514909404024
"15",1000,4,10,0.730797270197037
"16",100,4,5,0.734560432261482
"17",900,6,15,0.733432884074602
"18",50,4,10,0.737022392514809
"19",50,6,15,0.74174265013036
"20",500,6,15,0.725276765465176
"21",500,6,20,0.730537189884236
"22",750,5,17,0.729430047998822
"23",750,3,20,0.732351750220468
"24",900,5,15,0.730569199768889
"25",50,5,5,0.735848830118741
"26",500,3,10,0.72455374219559
"27",50,6,17,0.716041113495848
"28",500,6,17,0.732777081562787
"29",50,5,20,0.718550688452594
"30",900,4,20,0.729758949563625
"31",900,4,10,0.73280669070609
"32",500,5,15,0.728528969745858
"33",100,6,5,0.731695147461536
"34",900,6,5,0.72644032477229
"35",500,3,15,0.738624087118102
"36",500,6,10,0.729945407141725
"37",1000,6,17,0.728864673411149
"38",1000,5,17,0.730780064884036
"39",100,6,17,0.729436049852194
"40",750,4,17,0.739330705321803
"41",250,4,10,0.725584060357839
"42",750,3,17,0.725383198331645
"43",900,3,10,0.730693638195475
"44",100,4,17,0.728275691533546
"45",900,4,15,0.729888189472909
"46",250,5,20,0.73541749692305
"47",100,6,20,0.71403689459305
"48",1000,3,15,0.732837900343626
"49",900,4,5,0.731769970566911
"50",750,6,15,0.733240824766688
"51",500,6,5,0.732635037699642
"52",100,5,17,0.746026773067523
"53",1000,5,5,0.725720502491169
"54",100,6,15,0.717489960899926
"55",750,6,17,0.729167566944673
"56",750,5,10,0.73474969070449
"57",100,3,20,0.735674376247385
"58",100,5,5,0.730879295526459
"59",900,3,5,0.733887424436666
"60",500,4,17,0.724735398290992
"61",500,4,10,0.737470130776384
"62",250,3,10,0.734228729831772
"63",900,6,20,0.729234787702443
"64",1000,4,17,0.723981165383871
"65",500,3,5,0.732812292435904
"66",750,5,20,0.730549593714539
"67",250,5,17,0.726225858545119
"68",50,6,20,0.734853322706052
"69",250,6,10,0.735324268134
"70",50,6,5,0.735282655283952
"71",250,3,20,0.731287021432218
"72",250,5,15,0.719445764852186
"73",1000,3,10,0.73219530190923
"74",750,4,10,0.731960029257035
"75",100,3,10,0.726635184945111
"76",750,4,5,0.726350296971705
"77",250,3,17,0.727352606484883
"78",50,3,15,0.728693420528259
"79",500,5,10,0.730856488483644
"80",250,4,15,0.729328816738609
"81",750,4,15,0.735097398076526
"82",250,6,20,0.729742944621299
"83",50,3,10,0.712710885121326
"84",1000,4,15,0.729416443797845
"85",900,5,17,0.73196763160464
"86",250,3,5,0.72847415281839
"87",250,6,17,0.736221745274941
"88",500,3,20,0.738427626451048
"89",500,3,17,0.73612211450896
"90",100,4,10,0.735156216239575
"91",50,4,5,0.743467982913124
"92",250,4,5,0.746307659805348
"93",1000,4,20,0.728040418881351
"94",100,5,10,0.723375778440382
"95",1000,5,15,0.729813366367534
"96",1000,5,10,0.728909887373221
"97",50,5,15,0.746192824344157
"98",100,4,15,0.725548049237605
"99",900,5,5,0.734650059938509
"100",250,5,5,0.736097306848355
"101",1000,6,15,0.731974433705128
"102",750,3,15,0.72838092402934
"103",1000,3,20,0.727519458008633
"104",250,6,5,0.721630039356153
"105",750,6,10,0.730930111218344
"106",1000,6,10,0.727803545734923
"107",100,3,15,0.730185481276618
"108",500,5,20,0.731525895196437
"109",500,4,20,0.73384541146306
"110",100,5,20,0.722203016291431
"111",900,5,20,0.729883387990211
"112",250,3,15,0.732228912288115
"113",500,4,15,0.726441125019406
"114",500,5,17,0.729253193386118
"115",250,5,10,0.739484352768135
"116",750,3,5,0.739035814259443
"117",250,6,15,0.730451163319233
"118",750,4,20,0.728148452242052
"119",100,4,20,0.727814749194551
"120",500,4,5,0.728448544910668
