"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"1",500,5,0.05,0.6,5,1,0.6,0.74808911056859,"0.913383972992182, 0.755941275764037, 0.699884506041222, 0.876804644119132, 0.676601148409894, 0.559905824078748, 0.73593252851275, 0.73842622130481, 0.625971518525469, 0.811972789115646, 0.747619047619048, 0.834625850340136"
"2",500,5,0.05,0.8,5,1,0.6,0.758883118777397,"0.914196872778962, 0.775426439232409, 0.675322050461976, 0.877634401817264, 0.685597551741545, 0.574520444220091, 0.733273284543692, 0.738044661287296, 0.605098726048248, 0.83421768707483, 0.80843537414966, 0.884829931972789"
"3",500,3,0.1,0.8,1,0.1,0.6,0.718600467454812,"0.914568896588486, 0.762589952025586, 0.612288446162047, 0.878784389197375, 0.656306789500252, 0.516294642857143, 0.72961781447426, 0.732925918975834, 0.57887637872438, 0.706802721088435, 0.698707482993197, 0.835442176870748"
"4",100,5,0.1,0.6,5,1,0.6,0.749519438325098,"0.897623489694385, 0.76468105899076, 0.691491204690832, 0.853306410903584, 0.687370646138314, 0.56207959994952, 0.735116031775818, 0.746395196096829, 0.565625403974062, 0.839659863945578, 0.809795918367347, 0.84108843537415"
"5",500,3,0.1,0.7,10,0.1,0.6,0.73633134149657,"0.909220637882018, 0.76039223525231, 0.711236229566453, 0.870215484603735, 0.669450403836446, 0.573231638061585, 0.725305560768124, 0.740630095285753, 0.614048914743229, 0.742244897959184, 0.704965986394558, 0.815034013605442"
"6",100,3,0.05,0.7,10,0.1,0.7,0.741097552335512,"0.851176594705046, 0.777713552771855, 0.689259061833689, 0.780777542907622, 0.68844964664311, 0.570938761988894, 0.74015199849878, 0.74344926085778, 0.606560330268343, 0.813265306122449, 0.774081632653061, 0.85734693877551"
"7",100,3,0.1,0.7,5,1,0.8,0.751987747675726,"0.877939543354655, 0.772219260838664, 0.596024897832267, 0.822217314487632, 0.687801299848561, 0.558467156739021, 0.740262296449198, 0.74418485853089, 0.620382602531223, 0.865918367346939, 0.840884353741497, 0.897551020408163"
"8",100,5,0.05,0.8,1,1,0.7,0.735793330420707,"0.890884861407249, 0.778314898720682, 0.616047552416489, 0.83767667844523, 0.695358247097426, 0.522743406108026, 0.735809511895081, 0.747649548591564, 0.572314171931361, 0.784625850340136, 0.805510204081633, 0.842585034013605"
"9",500,3,0.05,0.8,5,0,0.8,0.746475305468913,"0.903469260838664, 0.766035891968728, 0.661033004619758, 0.861659199899041, 0.674105565371025, 0.56465878975265, 0.727192093576031, 0.733289547757553, 0.637008611163237, 0.838639455782313, 0.729795918367347, 0.860816326530612"
"10",50,5,0.1,0.6,10,0,0.8,0.738556971834221,"0.868723347547974, 0.77168065920398, 0.68638559434968, 0.81236591367996, 0.685396422261484, 0.57731022841999, 0.737070119472071, 0.737635995913346, 0.618428306332228, 0.799795918367347, 0.721156462585034, 0.846734693877551"
"11",1000,3,0.05,0.7,10,0,0.8,0.744708244711531,"0.91026341506752, 0.774287046908316, 0.699096592928216, 0.872829379101464, 0.68003218071681, 0.552801615345785, 0.731878818206459, 0.734665248848022, 0.621733074789933, 0.809455782312925, 0.70891156462585, 0.840544217687075"
"12",100,5,0.1,0.6,10,1,0.7,0.746870714803667,"0.889129131130064, 0.77956645344705, 0.688510572139303, 0.841281234225139, 0.688350265017668, 0.561096037354871, 0.742196993390463, 0.744704238860741, 0.579450386772586, 0.849387755102041, 0.761020408163265, 0.837755102040816"
"13",100,5,0.05,0.8,10,0,0.8,0.750877577457078,"0.874633528784648, 0.776574715707178, 0.680985141257996, 0.821015270065623, 0.692451728924785, 0.569562405350833, 0.744907112028523, 0.738146619128042, 0.617288421842747, 0.809319727891156, 0.819047619047619, 0.866598639455782"
"14",50,3,0.05,0.6,1,0.1,0.7,0.713498286229569,"0.839268501243781, 0.770359141791045, 0.462468905472637, 0.767693084300858, 0.679823952549218, 0.528775713023725, 0.740537937073872, 0.737268614082275, 0.588436646441901, 0.873231292517007, 0.707040816326531, 0.867074829931973"
"15",100,3,0.01,0.8,1,0.1,0.7,0.703558242259185,"0.826226012793177, 0.768799418088131, 0.550110496624023, 0.751047450782433, 0.673901280918728, 0.521921535840485, 0.733915889993953, 0.742795187756719, 0.586464627509852, 0.716224489795918, 0.73187074829932, 0.839421768707483"
"16",500,3,0.1,0.7,5,0.1,0.8,0.747457122160017,"0.912102434257285, 0.773055481520967, 0.702036691542289, 0.87468923523473, 0.659329252902574, 0.60579647274104, 0.72106378098872, 0.721857342424053, 0.628874502199704, 0.803061224489796, 0.763673469387755, 0.803945578231293"
"17",50,5,0.1,0.6,10,0,0.7,0.742360919584885,"0.869950470859986, 0.780098947228145, 0.691531738628287, 0.814899356385664, 0.684662102473498, 0.570459206208985, 0.742071057734409, 0.742980755196931, 0.61399032547278, 0.764013605442177, 0.81047619047619, 0.823197278911565"
"18",500,3,0.1,0.8,5,1,0.7,0.735979996269885,"0.911942519545132, 0.762301217128643, 0.532575404228856, 0.874952675416456, 0.672789941948511, 0.553558019939425, 0.731577323241801, 0.722864827672484, 0.628517754008465, 0.814897959183673, 0.769659863945578, 0.856122448979592"
"19",500,3,0.01,0.7,1,0,0.8,0.730860784048172,"0.861275097725657, 0.775366471215352, 0.60122545753376, 0.796231385663806, 0.686405224634023, 0.51780114209995, 0.739956631429703, 0.745306394779091, 0.613088134108964, 0.785034013605442, 0.757959183673469, 0.890680272108844"
