"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"1",500,5,0.05,0.6,5,1,0.6,0.750119935942988,"0.913728233830846, 0.769873845060412, 0.690312388948117, 0.876777826855124, 0.672151060070671, 0.543344586067643, 0.741997873272033, 0.730578178103042, 0.628389524822251, 0.778367346938776, 0.801428571428571, 0.854489795918367"
"2",500,5,0.05,0.8,5,1,0.6,0.750537218828022,"0.914048063255153, 0.7695828891258, 0.698690698294243, 0.878042970721858, 0.67386578748107, 0.570780224634023, 0.729895540126353, 0.73405475282, 0.595648964783887, 0.785102040816327, 0.80469387755102, 0.852040816326531"
"3",500,3,0.1,0.8,1,0.1,0.6,0.725873672700777,"0.914106920753376, 0.76801039445629, 0.563267923773987, 0.878382130237254, 0.673149608783443, 0.54105328748107, 0.724447780488313, 0.729939325702133, 0.561596088488564, 0.844965986394558, 0.645374149659864, 0.866190476190476"
"4",100,5,0.1,0.6,5,1,0.6,0.752471028906057,"0.896330845771144, 0.773809523809524, 0.683105676972281, 0.852934124179707, 0.69397715800101, 0.564520759717315, 0.740285857259023, 0.737385792623173, 0.626010091532704, 0.815986394557823, 0.763265306122449, 0.882040816326531"
"5",500,3,0.1,0.7,10,0.1,0.6,0.727048672170075,"0.909278384861407, 0.769903829068941, 0.695668976545842, 0.870641405855628, 0.666325403836446, 0.56227284199899, 0.724266383102938, 0.725507391422197, 0.574937136423344, 0.670952380952381, 0.728979591836735, 0.825850340136054"
"6",100,3,0.05,0.7,10,0.1,0.7,0.736475797867142,"0.850686300639659, 0.775340929282161, 0.678792977078891, 0.782007193336699, 0.68067027385159, 0.586367364967188, 0.744239069243761, 0.742001626321386, 0.576379349888451, 0.794897959183673, 0.765374149659864, 0.860952380952381"
"7",100,3,0.1,0.7,5,1,0.8,0.750179767276795,"0.878146655117271, 0.771601257107321, 0.685630996801706, 0.821428571428571, 0.670444220090863, 0.583515270065623, 0.727243176747774, 0.732870040241029, 0.623657972102333, 0.831224489795918, 0.818843537414966, 0.857551020408163"
"8",100,5,0.05,0.8,1,1,0.7,0.750418899448508,"0.89124355899076, 0.772853367093106, 0.652840707178394, 0.83915478293791, 0.688910272589601, 0.520289626451287, 0.74019223952795, 0.743713850837138, 0.57235900002085, 0.850408163265306, 0.82421768707483, 0.908843537414966"
"9",500,3,0.05,0.8,5,0,0.8,0.748195423494706,"0.903498134328358, 0.768671153162758, 0.644894944918266, 0.861801173649672, 0.680715232205957, 0.591926426047451, 0.739594253664436, 0.734677342007047, 0.633382748483143, 0.801428571428571, 0.794965986394558, 0.822789115646258"
"10",50,5,0.1,0.6,10,0,0.8,0.738181885326945,"0.870373578535892, 0.769226412579957, 0.694922152629709, 0.816825466935891, 0.683756625441696, 0.571972804139324, 0.729584662538312, 0.732415087258397, 0.583595629782532, 0.815238095238095, 0.728639455782313, 0.861632653061224"
