"","iteration","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"1",1,500,5,0.05,0.6,5,1,0.6,0.746917047984418
"2",2,500,5,0.05,0.8,5,1,0.6,0.764633718892394
"3",3,500,3,0.1,0.8,1,0.1,0.6,0.731226602774937
"4",4,100,5,0.1,0.6,5,1,0.6,0.746116800868108
"5",5,500,3,0.1,0.7,10,0.1,0.6,0.755625337104098
"6",6,100,3,0.05,0.7,10,0.1,0.7,0.736791121098195
"7",7,100,3,0.1,0.7,5,1,0.8,0.772461736184134
"8",8,100,5,0.05,0.8,1,1,0.7,0.746404889829979
"9",9,500,3,0.05,0.8,5,0,0.8,0.751320807865469
"10",10,50,5,0.1,0.6,10,0,0.8,0.72385112522747
"11",11,1000,3,0.05,0.7,10,0,0.8,0.749224960667854
"12",12,100,5,0.1,0.6,10,1,0.7,0.746598549632126
"13",13,100,5,0.05,0.8,10,0,0.8,0.742308824965149
"14",14,50,3,0.05,0.6,1,0.1,0.7,0.740187369859813
"15",15,100,3,0.01,0.8,1,0.1,0.7,0.711038768771797
"16",16,500,3,0.1,0.7,5,0.1,0.8,0.765041044674596
"17",17,50,5,0.1,0.6,10,0,0.7,0.74519051483098
"18",18,500,3,0.1,0.8,5,1,0.7,0.777363249771529
"19",19,500,3,0.01,0.7,1,0,0.8,0.740914794488538
"20",20,50,3,0.1,0.6,5,0.1,0.7,0.73677711677366
"21",21,1000,3,0.01,0.8,5,1,0.6,0.73823196603111
"22",22,50,3,0.05,0.6,10,0.1,0.7,0.738289583823485
"23",23,50,5,0.1,0.8,1,0,0.6,0.723616652822392
"24",24,500,3,0.01,0.6,5,0.1,0.8,0.747084299631726
"25",25,1000,5,0.01,0.6,5,0.1,0.7,0.75315497425605
"26",26,100,3,0.01,0.8,5,0.1,0.6,0.704893671165656
"27",27,500,5,0.1,0.7,10,1,0.6,0.73945074238925
"28",28,100,3,0.05,0.6,10,0,0.8,0.752887291595645
"29",29,50,3,0.05,0.6,10,1,0.8,0.750949093079943
"30",30,100,5,0.05,0.8,1,1,0.8,0.745013260094717
"31",31,500,3,0.05,0.8,10,0.1,0.6,0.749990797158162
"32",32,1000,3,0.01,0.7,10,0.1,0.7,0.745955150950614
"33",33,100,5,0.01,0.7,5,0.1,0.8,0.73583602616488
"34",34,50,3,0.1,0.7,1,0.1,0.7,0.727897174647531
"35",35,500,3,0.01,0.8,5,1,0.6,0.735656370687268
"36",36,500,5,0.05,0.6,10,0,0.6,0.754296926891024
"37",37,50,5,0.01,0.6,10,1,0.6,0.708391951434603
"38",38,1000,3,0.01,0.6,5,1,0.7,0.747003474672979
"39",39,500,5,0.05,0.6,5,1,0.7,0.762986010079913
"40",40,1000,5,0.1,0.8,10,1,0.6,0.734500413727759
