"","iteration","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"1",1,500,5,0.05,0.6,5,1,0.6,0.736322576411596
"2",2,500,5,0.05,0.8,5,1,0.6,0.730194283994898
"3",3,500,3,0.1,0.8,1,0.1,0.6,0.713853237879857
"4",4,100,5,0.1,0.6,5,1,0.6,0.747797719935916
"5",5,500,3,0.1,0.7,10,0.1,0.6,0.734490810762363
"6",6,100,3,0.05,0.7,10,0.1,0.7,0.721582824776291
"7",7,100,3,0.1,0.7,5,1,0.8,0.723164913325235
"8",8,100,5,0.05,0.8,1,1,0.7,0.738449633246747
"9",9,500,3,0.05,0.8,5,0,0.8,0.735856032342787
"10",10,50,5,0.1,0.6,10,0,0.8,0.714951176923434
"11",11,1000,3,0.05,0.7,10,0,0.8,0.723639459865206
"12",12,100,5,0.1,0.6,10,1,0.7,0.761929683886384
"13",13,100,5,0.05,0.8,10,0,0.8,0.723477409824154
"14",14,50,3,0.05,0.6,1,0.1,0.7,0.712271149330913
"15",15,100,3,0.01,0.8,1,0.1,0.7,0.684454959691553
"16",16,500,3,0.1,0.7,5,0.1,0.8,0.740423042635566
"17",17,50,5,0.1,0.6,10,0,0.7,0.714136125235473
"18",18,500,3,0.1,0.8,5,1,0.7,0.74499965589374
"19",19,500,3,0.01,0.7,1,0,0.8,0.730565598656865
"20",20,50,3,0.1,0.6,5,0.1,0.7,0.733989055820437
"21",21,1000,3,0.01,0.8,5,1,0.6,0.734186716858166
"22",22,50,3,0.05,0.6,10,0.1,0.7,0.722077777617728
"23",23,50,5,0.1,0.8,1,0,0.6,0.725700496313262
"24",24,500,3,0.01,0.6,5,0.1,0.8,0.739096232916725
"25",25,1000,5,0.01,0.6,5,0.1,0.7,0.731193792643168
"26",26,100,3,0.01,0.8,5,0.1,0.6,0.688180110017974
"27",27,500,5,0.1,0.7,10,1,0.6,0.733419279873625
"28",28,100,3,0.05,0.6,10,0,0.8,0.708740859177314
"29",29,50,3,0.05,0.6,10,1,0.8,0.707747352382416
"30",30,100,5,0.05,0.8,1,1,0.8,0.726830045117932
"31",31,500,3,0.05,0.8,10,0.1,0.6,0.749611480025032
