"","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"1",250,5,0.005,20,0.854142905873813,"0.843762661804534, 0.858156066189214, 0.85104787028525, 0.861187550663424, 0.856560380426643"
"2",750,4,0.01,20,0.857978093960301,"0.851033203249952, 0.861129034838393, 0.85564970622327, 0.866336554460514, 0.855741971029377"
"3",100,5,0.005,5,0.851692368660304,"0.841975348132984, 0.855876345834911, 0.849354490587154, 0.854923951533768, 0.856331707212701"
"4",100,3,0.01,20,0.847896195314752,"0.839730876676689, 0.847965316254539, 0.847737053172922, 0.852721425828747, 0.851326304640863"
"5",100,3,0.005,10,0.847096234553813,"0.836867976030538, 0.850231704910864, 0.844452882475985, 0.850982870429626, 0.852945738922053"
"6",500,6,0.005,15,0.857577069797065,"0.84777578743096, 0.86005183364174, 0.856326525174201, 0.86551260719314, 0.858218595545285"
"7",50,6,0.01,5,0.852327282438161,"0.841726110506899, 0.858300048527381, 0.850644177092077, 0.856053212594394, 0.854912863470056"
"8",500,6,0.01,20,0.858920597640292,"0.851374405561598, 0.862643515728737, 0.856608977177345, 0.86678719228636, 0.857188897447419"
"9",50,6,0.01,20,0.853899785015759,"0.844453063357004, 0.856273630434667, 0.852705277322568, 0.862083493323094, 0.853983460641462"
"10",250,4,0.005,20,0.852173774793067,"0.842073976926194, 0.856286962132645, 0.850864010019052, 0.857431791032041, 0.854212133855404"
"11",1000,5,0.01,10,0.856954138280614,"0.849916298807924, 0.85987318888883, 0.855519138787855, 0.865701928409915, 0.853760136508548"
"12",50,6,0.01,10,0.853596267213527,"0.843506760070799, 0.857168187369016, 0.849792824120335, 0.862631458253338, 0.854882106254146"
"13",50,5,0.01,20,0.850317986954359,"0.841379576909134, 0.855285751614469, 0.848319277349215, 0.853806689705192, 0.852798639193787"
"14",100,6,0.01,10,0.854344393028465,"0.842751050263365, 0.858710664825115, 0.851447566516114, 0.861979499978668, 0.856833183559065"
"15",750,5,0.01,15,0.858434563086428,"0.851027871963833, 0.861731627587016, 0.857107265145156, 0.865387281880626, 0.856918768855511"
"16",250,3,0.005,15,0.84867704394134,"0.838507346512273, 0.852179465985506, 0.847715736040609, 0.853545373096122, 0.851437298072191"
"17",1000,6,0.005,10,0.859011790250028,"0.8509505683151, 0.862504866069762, 0.856798166726621, 0.866736528862153, 0.858068821276505"
"18",100,3,0.01,5,0.848368072427469,"0.837161196767108, 0.851792846744133, 0.848034160704531, 0.852480107939758, 0.852372049981813"
"19",50,4,0.005,5,0.847848369033833,"0.838912524257352, 0.854165888984285, 0.846524641272633, 0.852708093348692, 0.846930697306203"
"20",250,6,0.01,20,0.856940089709749,"0.847192011600879, 0.860769078992977, 0.854096220205977, 0.864026035667051, 0.858617102081862"
"21",500,4,0.01,20,0.857291017806774,"0.850766638943979, 0.861094372423649, 0.855447193466299, 0.862904774094458, 0.856242110105484"
"22",100,6,0.005,20,0.853845094781375,"0.845018179685667, 0.857133524954272, 0.852036452296255, 0.859403664832117, 0.855633652138563"
"23",1000,3,0.01,10,0.857062050801401,"0.849617746785234, 0.861107704121628, 0.85414684839522, 0.864920645078715, 0.855517309626206"
"24",250,4,0.01,10,0.855270111096859,"0.847659831957862, 0.857624131439877, 0.853292830781939, 0.861934169546482, 0.855839591758136"
"25",1000,5,0.01,20,0.857297012711405,"0.850086899963747, 0.860755747294998, 0.855822907923312, 0.865128631767567, 0.854690876607399"
"26",50,4,0.005,15,0.847335755403427,"0.841546179600367, 0.851927496893714, 0.845517406770854, 0.850941539741457, 0.846746154010741"
"27",250,6,0.005,15,0.855813680300732,"0.845030175079436, 0.860442452392506, 0.853344791291951, 0.863066097103119, 0.857184885636648"
"28",500,3,0.01,10,0.855596482591312,"0.84757053291536, 0.858854647163281, 0.853232876347309, 0.862496800204787, 0.855827556325823"
"29",750,6,0.01,15,0.857665455174516,"0.850137547181882, 0.86164897105955, 0.855988115698736, 0.865912581594778, 0.854640060337634"
