"","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"1",250,5,0.005,20,0.854142905873813,"0.843762661804534, 0.858156066189214, 0.85104787028525, 0.861187550663424, 0.856560380426643"
"2",750,4,0.01,20,0.85863215038879,"0.8529364723946, 0.861838281170843, 0.856246585928028, 0.866544541149366, 0.85559487130111"
"3",100,5,0.005,5,0.851454203781651,"0.842653754291685, 0.856041658889843, 0.849092023395553, 0.855874557361662, 0.85360902496951"
"4",100,3,0.01,20,0.848355655386486,"0.839285714285714, 0.850429014040944, 0.845874468737093, 0.853925348777678, 0.852263731090999"
"5",100,3,0.005,10,0.846228898403128,"0.838499349583093, 0.849262490467836, 0.843914624885087, 0.849913605529246, 0.849554421550378"
"6",500,6,0.005,15,0.857770307712995,"0.847447913334613, 0.860918394010335, 0.856449098684999, 0.865501941209096, 0.85853419132593"
"7",50,6,0.01,5,0.853447075671912,"0.841999338920521, 0.859041290934979, 0.851885900049296, 0.859732977089466, 0.854575871365299"
"8",500,6,0.01,20,0.85884803901832,"0.850401445844796, 0.862318222298065, 0.856790172802004, 0.867659136481932, 0.857071217664805"
"9",50,6,0.01,20,0.852384094174191,"0.844373094065212, 0.855352410104361, 0.850035306500393, 0.859354334655915, 0.852805325545071"
"10",250,4,0.005,20,0.851907109738165,"0.84092241912439, 0.85624696703871, 0.851114486323727, 0.858017086906438, 0.853234589297559"
"11",1000,5,0.01,10,0.857668808691227,"0.851001215533235, 0.860729083899042, 0.856454427968078, 0.864195358163744, 0.855963957892034"
"12",50,6,0.01,10,0.853277624622413,"0.843349487130275, 0.857634796798259, 0.850001998481154, 0.859586319808866, 0.85581552089351"
"13",50,5,0.01,20,0.85171925238418,"0.842041989209477, 0.856334956245367, 0.849223923151738, 0.856530515380349, 0.854464877933971"
"14",100,6,0.01,10,0.854595896250557,"0.843512091356919, 0.858029415058419, 0.852862491173375, 0.863032765902982, 0.855542717761089"
"15",750,5,0.01,15,0.857964229644232,"0.850513402853304, 0.861518320419362, 0.85644643404346, 0.865461943768932, 0.855881047136102"
"16",250,3,0.005,15,0.849327440702667,"0.839191083957094, 0.85160353663284, 0.847137508826625, 0.855059942830325, 0.853645131266448"
"17",1000,6,0.005,10,0.858898679406268,"0.850332139125243, 0.862112914149198, 0.85656634291272, 0.866739195358164, 0.858742805486017"
"18",100,3,0.01,5,0.848311469460438,"0.838203463203463, 0.851567541048298, 0.846315466911814, 0.850852212125091, 0.854618664013522"
"19",50,4,0.005,5,0.846984217121727,"0.839285714285714, 0.852804722620692, 0.847116191694312, 0.854297324971202, 0.841417132036716"
"20",250,6,0.01,20,0.857531751633844,"0.847114707952146, 0.860806407747316, 0.855724316186365, 0.866412549596826, 0.857600776686565"
"21",500,4,0.01,20,0.857725826082313,"0.849913633164865, 0.860499778693814, 0.855042167952356, 0.866845855198601, 0.85632769540193"
"22",100,6,0.005,20,0.853169067317771,"0.844357100206854, 0.856496269790906, 0.850942616944455, 0.859755642305559, 0.854293707341079"
"23",1000,3,0.01,10,0.856827089220583,"0.849292538331947, 0.860993051519014, 0.854741063458438, 0.864006036946969, 0.855102755846546"
"24",250,4,0.01,10,0.854649075722655,"0.844423741283347, 0.857868101512881, 0.853693859333573, 0.861680852425445, 0.855578824058027"
"25",1000,5,0.01,20,0.857269183104973,"0.850222847759794, 0.860534441108557, 0.855050161876973, 0.86617923119587, 0.85435923358367"
"26",50,4,0.005,15,0.848797022143355,"0.838375397180816, 0.855029783013284, 0.848720305900849, 0.852388113827382, 0.849471510794445"
"27",250,6,0.005,15,0.854931583633115,"0.844121190796068, 0.859315923913333, 0.851555484498448, 0.862159488459405, 0.85750583049832"
"28",500,3,0.01,10,0.855848173443221,"0.848940673448063, 0.858838649125707, 0.853065003930346, 0.863392742864457, 0.85500379784753"
"29",750,6,0.01,15,0.858190355217282,"0.850102893822106, 0.861193026988689, 0.857464327111395, 0.865227292119971, 0.856964236044248"
"30",100,4,0.01,5,0.851899279281025,"0.840942411447338, 0.854936461127435, 0.848551101163116, 0.861280878023806, 0.85378554464343"
"31",50,5,0.005,15,0.85061747070468,"0.841660802251935, 0.856480271753332, 0.847900928627576, 0.854673300908742, 0.852372049981813"
"32",1000,3,0.01,20,0.857476675402422,"0.850995884247116, 0.860894396953974, 0.854471934662989, 0.865755258330134, 0.855265902817896"
"33",500,3,0.01,20,0.855462612278511,"0.84787175058111, 0.858068076982557, 0.852745246945655, 0.863803383250139, 0.854824603633096"
"34",100,3,0.01,10,0.848281896353688,"0.837353123067409, 0.853108685334599, 0.84889217528012, 0.850405574043261, 0.851649924043049"
"35",750,6,0.005,5,0.858699879563878,"0.849596421640757, 0.861614308644806, 0.857379058582144, 0.866752527838218, 0.858157081113465"
"36",750,4,0.005,20,0.856212344235595,"0.847991704518798, 0.859571892514518, 0.854330708661417, 0.864078032339264, 0.855089383143976"
"37",750,3,0.005,10,0.854264633383305,"0.845054165866974, 0.857476149592317, 0.853355449858108, 0.861096889799053, 0.854340511800073"
"38",250,5,0.01,15,0.856124534343492,"0.845493996971829, 0.859030625576596, 0.855896185565637, 0.863390076368446, 0.856811787234953"
"39",1000,4,0.005,20,0.857425907694481,"0.850324142196063, 0.860377127072412, 0.855383242069361, 0.864936644054781, 0.856108383079787"
"40",500,4,0.01,5,0.857205370980013,"0.850118887680464, 0.859385248742821, 0.854557203192241, 0.865675263449806, 0.856290251834735"
"41",250,6,0.005,10,0.855421252116499,"0.846410978184377, 0.859383915573023, 0.85193253127623, 0.861818176970007, 0.857560658578856"
"42",100,4,0.01,20,0.852770298361835,"0.842997622246391, 0.856154978322659, 0.851879238445448, 0.857786435001493, 0.855033217793183"
"43",250,6,0.005,20,0.854768528169213,"0.843833301345617, 0.858711997994913, 0.852554725075609, 0.862598127053202, 0.856144489376725"
"44",250,5,0.005,10,0.854188909301128,"0.84310424796878, 0.857690789929769, 0.851975165540856, 0.862132823499296, 0.856041519566938"
"45",250,6,0.01,15,0.857495184406035,"0.84807433945365, 0.860566437183706, 0.855584422505562, 0.864315350484236, 0.858935372403021"
"46",50,3,0.005,15,0.84529280406701,"0.836777344166507, 0.850883624942007, 0.842830115778675, 0.850180255130338, 0.845792680317522"
"47",1000,4,0.01,20,0.858003299012069,"0.851038534536071, 0.860918394010335, 0.855572431618636, 0.866533875165323, 0.855953259729978"
"48",100,5,0.01,5,0.853039502862559,"0.842697737402171, 0.857540141742613, 0.849946041008833, 0.858845033917829, 0.856168560241351"
"49",250,6,0.005,5,0.85468925342204,"0.8436986863711, 0.858737328221072, 0.852101736013963, 0.86212882375528, 0.856779692748786"
"50",750,5,0.01,5,0.858089061469698,"0.85085727080801, 0.860350463676456, 0.856262573777263, 0.867056508383463, 0.855918490703297"
"51",100,5,0.01,20,0.853393165099717,"0.844350436099205, 0.856390949376876, 0.850009992405772, 0.86283944494219, 0.85337500267454"
