"","n.trees","interaction.depth","shrinkage","n.minobsinnode","ROC_AUC_valid"
"1",250,5,0.005,20,0.717965307687014
"2",750,4,0.01,20,0.746618555810034
"3",100,5,0.005,5,0.715402116173474
"4",100,3,0.01,20,0.707898999210956
"5",100,3,0.005,10,0.707288010537654
"6",500,6,0.005,15,0.742609317757323
"7",50,6,0.01,5,0.730587605452564
"8",500,6,0.01,20,0.750245275741149
"9",50,6,0.01,20,0.717682820454956
"10",250,4,0.005,20,0.715753424657534
"11",1000,5,0.01,10,0.75403764682534
"12",50,6,0.01,10,0.707908602176352
"13",50,5,0.01,20,0.712390786274802
"14",100,6,0.01,10,0.722427085483997
"15",750,5,0.01,15,0.749374606878604
"16",250,3,0.005,15,0.715695006618044
"17",1000,6,0.005,10,0.756596837103298
"18",100,3,0.01,5,0.702065597856618
"19",50,4,0.005,5,0.698023549672139
"20",250,6,0.01,20,0.741725044693801
"21",500,4,0.01,20,0.746650565694687
"22",100,6,0.005,20,0.723735089395605
"23",1000,3,0.01,10,0.746550534805148
"24",250,4,0.01,10,0.739577581557185
"25",1000,5,0.01,20,0.7614839462426
"26",50,4,0.005,15,0.691109014463666
"27",250,6,0.005,15,0.722574731076957
"28",500,3,0.01,10,0.745905535629402
"29",750,6,0.01,15,0.755470089163534
"30",100,4,0.01,5,0.717039821897002
"31",50,5,0.005,15,0.722305848045877
"32",1000,3,0.01,20,0.746019970967035
"33",500,3,0.01,20,0.743430371298657
"34",100,3,0.01,10,0.708256309548388
"35",750,6,0.005,5,0.750489351111623
"36",750,4,0.005,20,0.745422186371151
"37",750,3,0.005,10,0.736668283165842
"38",250,5,0.01,15,0.739031012776745
"39",1000,4,0.005,20,0.744879618826293
"40",500,4,0.01,5,0.748863248971282
"41",250,6,0.005,10,0.726444326007871
"42",100,4,0.01,20,0.718082944013111
"43",250,6,0.005,20,0.732422572090262
"44",250,5,0.005,10,0.717861675685452
"45",250,6,0.01,15,0.740958407956377
"46",50,3,0.005,15,0.702105610212434
"47",1000,4,0.01,20,0.750598184719441
"48",100,5,0.01,5,0.730400347627347
"49",250,6,0.005,5,0.727393419087814
"50",750,5,0.01,5,0.759408105222893
"51",100,5,0.01,20,0.718047333016436
"52",1000,4,0.005,10,0.743323938432188
"53",500,5,0.005,5,0.738084720561709
"54",100,6,0.005,15,0.72639030932752
"55",500,6,0.01,10,0.756893728783448
"56",1000,3,0.005,5,0.73893458299923
"57",100,5,0.01,10,0.717101841048516
"58",500,5,0.01,15,0.758607858106583
"59",250,5,0.01,5,0.740017717471155
"60",500,5,0.01,20,0.75430652985642
"61",100,6,0.01,20,0.727341403025254
"62",250,5,0.01,20,0.740995219323727
"63",500,3,0.005,5,0.724908651791673
"64",50,5,0.005,5,0.724097601339294
"65",100,4,0.005,20,0.714448221610833
"66",50,5,0.01,15,0.711306051308644
"67",50,6,0.005,15,0.707576899746642
"68",50,3,0.01,5,0.694561680646984
"69",500,3,0.005,10,0.725276765465176
"70",500,6,0.005,5,0.742582909602485
"71",750,5,0.01,10,0.747177128297218
"72",50,6,0.005,20,0.748390302925543
"73",100,5,0.005,15,0.719681037504381
"74",750,3,0.01,15,0.751699324751483
"75",250,5,0.01,10,0.739748434316517
"76",750,4,0.01,5,0.748395904655358
"77",500,5,0.01,5,0.74887685317226
"78",500,5,0.005,15,0.735797614303297
"79",1000,3,0.01,5,0.744497100704698
"80",1000,4,0.005,5,0.748193442134931
"81",50,4,0.01,5,0.699443188056472
"82",1000,6,0.005,15,0.7474804219543
"83",1000,5,0.005,15,0.747961370471201
"84",500,5,0.005,10,0.743205501858974
"85",250,4,0.01,20,0.734747690086699
"86",750,5,0.01,20,0.742874199552822
"87",250,6,0.01,10,0.741280507420692
"88",1000,6,0.01,10,0.7572250310896
"89",750,6,0.005,10,0.752991723844323
"90",50,6,0.005,10,0.723659866166672
"91",100,5,0.005,20,0.725788123372497
"92",50,4,0.01,10,0.719589009086006
"93",50,5,0.01,10,0.719085253526289
"94",50,5,0.01,5,0.698650143164209
"95",100,4,0.005,5,0.705350612269069
"96",250,3,0.005,10,0.715362103817659
"97",1000,6,0.01,20,0.755261224666177
"98",1000,4,0.01,15,0.751882581341118
"99",250,4,0.005,15,0.723700678769604
"100",50,5,0.005,20,0.709278225115916
"101",1000,3,0.005,20,0.747213939664568
"102",1000,4,0.01,10,0.755432477549067
"103",500,6,0.01,5,0.751122346580624
"104",750,5,0.005,5,0.748425513798661
"105",100,5,0.005,10,0.738028703263568
"106",500,6,0.01,15,0.750307695016221
"107",1000,3,0.005,10,0.739573980445161
"108",500,6,0.005,20,0.743239112237859
"109",750,3,0.005,15,0.734410786050733
"110",1000,6,0.005,5,0.754607422772152
"111",750,5,0.005,20,0.743456779453495
"112",100,3,0.005,20,0.701346575822614
"113",1000,3,0.005,15,0.743193498152229
"114",50,4,0.01,20,0.69668313575232
"115",50,3,0.01,15,0.700485109801907
"116",500,4,0.01,10,0.747737301278635
"117",250,3,0.01,5,0.727906777612927
"118",1000,5,0.01,5,0.755249220959432
"119",750,3,0.005,5,0.734615649312508
"120",500,6,0.005,10,0.742709348646862
