"","n.trees","interaction.depth","shrinkage","n.minobsinnode","ROC_AUC_valid"
"1",250,5,0.005,20,0.71112039397766
"2",750,4,0.01,20,0.745300548809472
"3",100,5,0.005,5,0.709998847644153
"4",100,3,0.01,20,0.704948488093123
"5",100,3,0.005,10,0.699201913550905
"6",500,6,0.005,15,0.731557104833973
"7",50,6,0.01,5,0.733800197500988
"8",500,6,0.01,20,0.729179570651417
"9",50,6,0.01,20,0.718216585281535
"10",250,4,0.005,20,0.714489434337323
"11",1000,5,0.01,10,0.751427240731938
"12",50,6,0.01,10,0.709337843526081
"13",50,5,0.01,20,0.70311912318524
"14",100,6,0.01,10,0.714043296569981
"15",750,5,0.01,15,0.746924250208464
"16",250,3,0.005,15,0.709363051310245
"17",1000,6,0.005,10,0.738965792636766
"18",100,3,0.01,5,0.715540959048154
"19",50,4,0.005,5,0.699672058731736
"20",250,6,0.01,20,0.726509146024292
"21",500,4,0.01,20,0.733464093712138
"22",100,6,0.005,20,0.720766572717655
"23",1000,3,0.01,10,0.742444466851364
"24",250,4,0.01,10,0.724191230251902
"25",1000,5,0.01,20,0.750044413714955
"26",50,4,0.005,15,0.698526905108298
"27",250,6,0.005,15,0.718447856698148
"28",500,3,0.01,10,0.736192136131637
"29",750,6,0.01,15,0.746846626238182
"30",100,4,0.01,5,0.71058062729771
"31",50,5,0.005,15,0.707252399540978
"32",1000,3,0.01,20,0.736903555818037
"33",500,3,0.01,20,0.739589185140371
"34",100,3,0.01,10,0.707205985208232
"35",750,6,0.005,5,0.735527130777984
"36",750,4,0.005,20,0.729866982924327
"37",750,3,0.005,10,0.729708934118856
"38",250,5,0.01,15,0.729301608336654
"39",1000,4,0.005,20,0.742157178136609
"40",500,4,0.01,5,0.740477459439475
"41",250,6,0.005,10,0.722763989519964
"42",100,4,0.01,20,0.703135928374682
"43",250,6,0.005,20,0.718234190718094
"44",250,5,0.005,10,0.714888357524804
"45",250,6,0.01,15,0.729893791202723
"46",50,3,0.005,15,0.696764360834626
"47",1000,4,0.01,20,0.741177675666246
"48",100,5,0.01,5,0.717220677745288
"49",250,6,0.005,5,0.71820458157479
"50",750,5,0.01,5,0.745978358116987
"51",100,5,0.01,20,0.706625005801792
"52",1000,4,0.005,10,0.737959081764449
"53",500,5,0.005,5,0.729121152611927
"54",100,6,0.005,15,0.715660595992042
"55",500,6,0.01,10,0.741112055402708
"56",1000,3,0.005,5,0.735749599476318
"57",100,5,0.01,10,0.717925295331198
"58",500,5,0.01,15,0.744415475498834
"59",250,5,0.01,5,0.732043655080689
"60",500,5,0.01,20,0.744479495268139
"61",100,6,0.01,20,0.717555981287021
"62",250,5,0.01,20,0.726468333421361
"63",500,3,0.005,5,0.718892393971258
"64",50,5,0.005,5,0.701697084059558
"65",100,4,0.005,20,0.713946466668907
"66",50,5,0.01,15,0.706298504978337
"67",50,6,0.005,15,0.705695518776198
"68",50,3,0.01,5,0.707010324788295
"69",500,3,0.005,10,0.721280331366326
"70",500,6,0.005,5,0.736231348240337
"71",750,5,0.01,10,0.737885459029748
"72",50,6,0.005,20,0.699249528254325
"73",100,5,0.005,15,0.71148250579779
"74",750,3,0.01,15,0.73896499238965
"75",250,5,0.01,10,0.719785069629502
"76",750,4,0.01,5,0.739578781927859
"77",500,5,0.01,5,0.743892914131884
"78",500,5,0.005,15,0.725428012170158
"79",1000,3,0.01,5,0.739067424020537
"80",1000,4,0.005,5,0.733942641487691
"81",50,4,0.01,5,0.697000833857495
"82",1000,6,0.005,15,0.738460036459259
"83",1000,5,0.005,15,0.737714206146858
"84",500,5,0.005,10,0.731919216654103
"85",250,4,0.01,20,0.725998988487645
"86",750,5,0.01,20,0.734450798406548
"87",250,6,0.01,10,0.733991456561786
"88",1000,6,0.01,10,0.757533926476496
"89",750,6,0.005,10,0.737226855653026
"90",50,6,0.005,10,0.714262964403408
"91",100,5,0.005,20,0.709641937430278
"92",50,4,0.01,10,0.706407738709714
"93",50,5,0.01,10,0.71035935897005
"94",50,5,0.01,5,0.702534942790334
"95",100,4,0.005,5,0.704468339823337
"96",250,3,0.005,10,0.712928552336962
"97",1000,6,0.01,20,0.743813689667369
"98",1000,4,0.01,15,0.740282199143095
"99",250,4,0.005,15,0.709339444020313
"100",50,5,0.005,20,0.709469884300272
"101",1000,3,0.005,20,0.733135992394451
"102",1000,4,0.01,10,0.741201683079735
"103",500,6,0.01,5,0.74229562088773
"104",750,5,0.005,5,0.735070189674571
"105",100,5,0.005,10,0.718053334869808
"106",500,6,0.01,15,0.740315009274864
"107",1000,3,0.005,10,0.735623960679058
"108",500,6,0.005,20,0.728350514638921
"109",750,3,0.005,15,0.730755257223431
"110",1000,6,0.005,5,0.747215540158801
"111",750,5,0.005,20,0.731340237865453
"112",100,3,0.005,20,0.700480708442767
"113",1000,3,0.005,15,0.736776316526543
"114",50,4,0.01,20,0.702740606299225
"115",50,3,0.01,15,0.702643776398152
"116",500,4,0.01,10,0.740807961498511
"117",250,3,0.01,5,0.722946045738924
"118",1000,5,0.01,5,0.750598984966558
"119",750,3,0.005,5,0.732926327649978
"120",500,6,0.005,10,0.729615705329806
