"","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"1",250,5,0.005,20,0.705999406109926,"0.660256786500367, 0.498794351605003, 0.858252041021351, 0.59023703975087, 0.922456811672037"
"2",750,4,0.01,20,0.728535550636256,"0.739325018341893, 0.505524308039101, 0.869765718222189, 0.60736252060817, 0.920700187969925"
"3",100,5,0.005,5,0.70915272193569,"0.659442406456346, 0.494752042828966, 0.856154125302924, 0.61367429932222, 0.921740735767991"
"4",100,3,0.01,20,0.71414622296747,"0.660748349229641, 0.499888917788326, 0.856778425655977, 0.631261403187397, 0.922054018976011"
"5",100,3,0.005,10,0.71788554446699,"0.672846661775495, 0.514969005353621, 0.854913725586678, 0.621063931122916, 0.925634398496241"
"6",500,6,0.005,15,0.719457039797077,"0.717556859867938, 0.508439538764983, 0.862608304322332, 0.587767723026195, 0.920912773003938"
"7",50,6,0.01,5,0.714279136527845,"0.687057960381511, 0.492852807941565, 0.857791760465488, 0.605334310313244, 0.928358843537415"
"8",500,6,0.01,20,0.72859431476201,"0.738253851797506, 0.513354249300995, 0.868783649686517, 0.601040483605056, 0.921539339419978"
"9",50,6,0.01,20,0.709313785249325,"0.663771093176816, 0.498837700760778, 0.85862211068876, 0.594808572998718, 0.930529448621554"
"10",250,4,0.005,20,0.704787147352093,"0.651746148202494, 0.495936016646076, 0.857448856576989, 0.595257006777798, 0.923547708557107"
"11",1000,5,0.01,10,0.730776329920976,"0.743242846661776, 0.509154799835273, 0.870896429699065, 0.609853819380839, 0.920733754027927"
"12",50,6,0.01,10,0.702843870631636,"0.657828319882612, 0.489506794980168, 0.859365325394775, 0.588670452463821, 0.918848460436806"
"13",50,5,0.01,20,0.710329446221427,"0.677681584739545, 0.490725989986345, 0.854445244040956, 0.604502656164133, 0.924291756176155"
"14",100,6,0.01,10,0.709329378992413,"0.68017608217168, 0.497875891367016, 0.858853276090424, 0.584112841179703, 0.92562880415324"
"15",750,5,0.01,15,0.730909723964526,"0.743462949376376, 0.513495134057264, 0.868617579641863, 0.609257373145265, 0.919715583601862"
