"","n.trees","interaction.depth","shrinkage","n.minobsinnode","ROC_AUC_valid"
"1",250,5,0.005,20,0.721748075805809
"2",750,4,0.01,20,0.750995107289131
"3",100,5,0.005,5,0.71380282231153
"4",100,3,0.01,20,0.713997682484351
"5",100,3,0.005,10,0.701161718738747
"6",500,6,0.005,15,0.746058382828617
"7",50,6,0.01,5,0.717030619055164
"8",500,6,0.01,20,0.747449212316763
"9",50,6,0.01,20,0.728205669910868
"10",250,4,0.005,20,0.716238774533576
"11",1000,5,0.01,10,0.755446081750044
"12",50,6,0.01,10,0.722699969750659
"13",50,5,0.01,20,0.722360264849786
"14",100,6,0.01,10,0.723719084453279
"15",750,5,0.01,15,0.754869103579185
"16",250,3,0.005,15,0.714244958843291
"17",1000,6,0.005,10,0.754356945424747
"18",100,3,0.01,5,0.714940373587364
"19",50,4,0.005,5,0.705871173018228
"20",250,6,0.01,20,0.736335780489015
"21",500,4,0.01,20,0.746112799632527
"22",100,6,0.005,20,0.731148578681097
"23",1000,3,0.01,10,0.745607043455019
"24",250,4,0.01,10,0.729398838361286
"25",1000,5,0.01,20,0.757744391468085
"26",50,4,0.005,15,0.703211551727173
"27",250,6,0.005,15,0.730505580123142
"28",500,3,0.01,10,0.741724244446685
"29",750,6,0.01,15,0.754908315687884
"30",100,4,0.01,5,0.714552653859512
"31",50,5,0.005,15,0.726179444212373
"32",1000,3,0.01,20,0.746484114294494
"33",500,3,0.01,20,0.739497956969112
"34",100,3,0.01,10,0.711359667865437
"35",750,6,0.005,5,0.75246756198314
"36",750,4,0.005,20,0.738554465618983
"37",750,3,0.005,10,0.737116421550975
"38",250,5,0.01,15,0.733614540170004
"39",1000,4,0.005,20,0.754803483315648
"40",500,4,0.01,5,0.747246749796337
"41",250,6,0.005,10,0.731543500632995
"42",100,4,0.01,20,0.707548490974013
"43",250,6,0.005,20,0.722068974899449
"44",250,5,0.005,10,0.720923421152452
"45",250,6,0.01,15,0.741028029455496
"46",50,3,0.005,15,0.702844638424345
"47",1000,4,0.01,20,0.754717856874203
"48",100,5,0.01,5,0.724036382434896
"49",250,6,0.005,5,0.727409424030141
"50",750,5,0.01,5,0.755554115110746
"51",100,5,0.01,20,0.717065429804724
"52",1000,4,0.005,10,0.74796377121255
"53",500,5,0.005,5,0.733171203267569
"54",100,6,0.005,15,0.716027909418428
"55",500,6,0.01,10,0.746498518742588
"56",1000,3,0.005,5,0.736292167021176
"57",100,5,0.01,10,0.711354066135623
"58",500,5,0.01,15,0.753427858522712
"59",250,5,0.01,5,0.74151057846663
"60",500,5,0.01,20,0.749158540157201
"61",100,6,0.01,20,0.730404748986487
"62",250,5,0.01,20,0.739515562405671
"63",500,3,0.005,5,0.72432167053186
"64",50,5,0.005,5,0.716324801098579
"65",100,4,0.005,20,0.71454865262393
"66",50,5,0.01,15,0.708159479647315
"67",50,6,0.005,15,0.728758640668238
"68",50,3,0.01,5,0.697001233981053
"69",500,3,0.005,10,0.723149308506467
"70",500,6,0.005,5,0.743919322286722
"71",750,5,0.01,10,0.764388843274803
"72",50,6,0.005,20,0.720235608755984
"73",100,5,0.005,15,0.716642899327312
"74",750,3,0.01,15,0.745711075580139
"75",250,5,0.01,10,0.734148304996583
"76",750,4,0.01,5,0.74567826544837
"77",500,5,0.01,5,0.754667441305875
"78",500,5,0.005,15,0.739900481268616
"79",1000,3,0.01,5,0.746056782334385
"80",1000,4,0.005,5,0.752205080928991
"81",50,4,0.01,5,0.724483320449355
"82",1000,6,0.005,15,0.752024225080705
"83",1000,5,0.005,15,0.749220159185156
"84",500,5,0.005,10,0.738047108947243
"85",250,4,0.01,20,0.730838482923527
"86",750,5,0.01,20,0.746383283157839
"87",250,6,0.01,10,0.745080480852487
"88",1000,6,0.01,10,0.759247255552515
"89",750,6,0.005,10,0.747818926484498
"90",50,6,0.005,10,0.713636370911337
"91",100,5,0.005,20,0.717982112876456
"92",50,4,0.01,10,0.715177246733791
"93",50,5,0.01,10,0.711759791423592
"94",50,5,0.01,5,0.730740052528221
"95",100,4,0.005,5,0.704496748595966
"96",250,3,0.005,10,0.708648030511822
"97",1000,6,0.01,20,0.757209826394391
"98",1000,4,0.01,15,0.758492622521835
"99",250,4,0.005,15,0.711536922601699
"100",50,5,0.005,20,0.713577952871847
"101",1000,3,0.005,20,0.74360322467578
"102",1000,4,0.01,10,0.756185510085514
"103",500,6,0.01,5,0.76355898701519
"104",750,5,0.005,5,0.745166107293932
"105",100,5,0.005,10,0.715299684542587
"106",500,6,0.01,15,0.754765071454065
"107",1000,3,0.005,10,0.740704729620507
"108",500,6,0.005,20,0.737398908783032
"109",750,3,0.005,15,0.734960955943195
"110",1000,6,0.005,5,0.756407978783848
"111",750,5,0.005,20,0.744803595350244
"112",100,3,0.005,20,0.711526519389187
"113",1000,3,0.005,15,0.742074752683629
"114",50,4,0.01,20,0.702866645220044
"115",50,3,0.01,15,0.710764684134461
"116",500,4,0.01,10,0.756296744434681
"117",250,3,0.01,5,0.721155492816182
"118",1000,5,0.01,5,0.755506900530884
"119",750,3,0.005,5,0.734730884897256
"120",500,6,0.005,10,0.740626305403108
