"","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"1",250,5,0.005,20,0.733476971051859,"0.706197183098592, 0.859029359588568, 0.529069562146893, 0.819953931963983, 0.753134818461259"
"2",750,4,0.01,20,0.741876744717921,"0.707605633802817, 0.870679411867362, 0.582638888888889, 0.817962726770859, 0.730497062259678"
"3",100,5,0.005,5,0.723706737684289,"0.705915492957746, 0.861629641545024, 0.491796139359699, 0.799392739525233, 0.759799675033744"
"4",100,3,0.01,20,0.746223979035905,"0.736056338028169, 0.857451890610607, 0.558954213747646, 0.812261331404314, 0.766396121388791"
"5",100,3,0.005,10,0.707466908041565,"0.677746478873239, 0.857309243103221, 0.436820268361582, 0.805038929394072, 0.76041962047571"
"6",500,6,0.005,15,0.74449506553394,"0.708732394366197, 0.858161334330854, 0.594194326741996, 0.81657687841465, 0.744810393816"
"7",50,6,0.01,5,0.72132483331088,"0.711267605633803, 0.860909575138057, 0.462258709981168, 0.815893472425806, 0.756294803375566"
"8",500,6,0.01,20,0.734482044399466,"0.651830985915493, 0.870561044786765, 0.599799905838041, 0.822006053568369, 0.728212231888661"
"9",50,6,0.01,20,0.711001156527498,"0.709295774647887, 0.861291991859987, 0.428333921845574, 0.810302488054673, 0.745781606229371"
"10",250,4,0.005,20,0.727143317359255,"0.706197183098592, 0.857372979223542, 0.497392890772128, 0.819002113038016, 0.755751420663997"
"11",1000,5,0.01,10,0.724605193385317,"0.624225352112676, 0.869240796580102, 0.583068502824859, 0.823441396508728, 0.723049918900219"
"12",50,6,0.01,10,0.724067891887475,"0.706760563380282, 0.857481482380757, 0.489124293785311, 0.812702975385963, 0.754270144505064"
"13",50,5,0.01,20,0.747063795369067,"0.712394366197183, 0.864499284486173, 0.595783309792844, 0.800759551502922, 0.761882464866214"
"14",100,6,0.01,10,0.743358000637152,"0.705915492957746, 0.858363165378539, 0.59547434086629, 0.808855723287202, 0.748181280695984"
"15",750,5,0.01,15,0.732018087140318,"0.651830985915493, 0.870673341760665, 0.591437146892655, 0.819938702861168, 0.726210258271611"
"16",250,3,0.005,15,0.731768075209666,"0.677183098591549, 0.85540019454692, 0.544415018832392, 0.822969294321448, 0.75887276975602"
"17",1000,6,0.005,10,0.734076499736507,"0.652112676056338, 0.867410659410866, 0.588194444444444, 0.822725628676401, 0.739939090094484"
"18",100,3,0.01,5,0.738346193126442,"0.707605633802817, 0.853242271616029, 0.548955390772128, 0.821513011364718, 0.760414658076517"
"19",50,4,0.005,5,0.726006523801943,"0.705633802816901, 0.857953433176472, 0.494638653483992, 0.805324475071862, 0.766482254460488"
"20",250,6,0.01,20,0.744695795638905,"0.67830985915493, 0.864809618691073, 0.609007179849341, 0.821069463745217, 0.750282856753967"
"21",500,4,0.01,20,0.729013246723654,"0.649577464788732, 0.864975029098574, 0.573128531073446, 0.821602482343759, 0.73578272631376"
"22",100,6,0.005,20,0.740286445036141,"0.708169014084507, 0.861213839236259, 0.573102048022599, 0.804856180160286, 0.754091143677053"
"23",1000,3,0.01,10,0.738570701569085,"0.709295774647887, 0.870389564272566, 0.571586629001883, 0.822919799737298, 0.718661740185792"
"24",250,4,0.01,10,0.740496792630447,"0.676056338028169, 0.857979231129935, 0.596919138418079, 0.821640555100798, 0.749888700475256"
"25",1000,5,0.01,20,0.733417043118069,"0.657746478873239, 0.872260674662009, 0.590701506591337, 0.820113837543546, 0.726262717920216"
"26",50,4,0.005,15,0.711908998853896,"0.681971830985916, 0.862952166041699, 0.436561322975518, 0.805847975481145, 0.772211698785205"
"27",250,6,0.005,15,0.741986467825117,"0.707605633802817, 0.862400545095581, 0.572095692090395, 0.818825074717786, 0.749005393419008"
"28",500,3,0.01,10,0.741678468466644,"0.712957746478873, 0.863475712744341, 0.562223399246704, 0.819325731472845, 0.750409752390459"
"29",750,6,0.01,15,0.733991092916955,"0.654084507042254, 0.873245549473646, 0.588959510357815, 0.823528963849917, 0.730136933861144"
"30",100,4,0.01,5,0.737422924543231,"0.705070422535211, 0.857465548350676, 0.557374058380414, 0.810966857664998, 0.756237735784853"
"31",50,5,0.005,15,0.725509062914943,"0.713802816901408, 0.857457201953967, 0.494888771186441, 0.807823951571453, 0.753572572961446"
"32",1000,3,0.01,20,0.746999980214448,"0.73943661971831, 0.87252775935669, 0.569050141242938, 0.817258380765643, 0.736726999988657"
"33",500,3,0.01,20,0.742233105347981,"0.706478873239437, 0.864589577323295, 0.575523775894539, 0.819276236888694, 0.745297063393941"
"34",100,3,0.01,10,0.716596422279452,"0.676338028169014, 0.854165686597356, 0.463341572504708, 0.824541699187147, 0.764595124939033"
"35",750,6,0.005,5,0.729936891689011,"0.648450704225352, 0.864677593870406, 0.575394303201507, 0.821606289619463, 0.739555567528328"
"36",750,4,0.005,20,0.73875840883404,"0.678028169014085, 0.865645775888626, 0.58459274952919, 0.822851268774628, 0.74267408096367"
"37",750,3,0.005,10,0.734487842302822,"0.649014084507042, 0.860014234400205, 0.593043785310734, 0.820209019436142, 0.750158087859987"
"38",250,5,0.01,15,0.746430230730107,"0.705915492957746, 0.860279801568212, 0.601218220338983, 0.822443890274314, 0.74229374851128"
"39",1000,4,0.005,20,0.73659471556687,"0.67943661971831, 0.867154197402905, 0.574823446327684, 0.820719194380461, 0.740840120004991"
"40",500,4,0.01,5,0.728527639265865,"0.652394366197183, 0.869738545329281, 0.563529896421846, 0.82050217966534, 0.736473208715674"
"41",250,6,0.005,10,0.743441384998779,"0.705633802816901, 0.855935881462956, 0.589933498116761, 0.817191753440825, 0.748511989156449"
"42",100,4,0.01,20,0.738367966847918,"0.67830985915493, 0.859502827910958, 0.581479519774011, 0.814793169747387, 0.757754457652303"
"43",250,6,0.005,20,0.744354369970712,"0.707605633802817, 0.861025665928643, 0.58631120527307, 0.817646722887438, 0.749182621961594"
"44",250,5,0.005,10,0.742858397660477,"0.708169014084507, 0.859067297755426, 0.579266713747646, 0.818274923378576, 0.74951403933623"
"45",250,6,0.01,15,0.742214558046444,"0.706478873239437, 0.858932237881411, 0.584433851224105, 0.818545239953551, 0.742682587933714"
"46",50,3,0.005,15,0.711007792282572,"0.677746478873239, 0.860549921316242, 0.434875235404896, 0.80640383773391, 0.775463488084571"
"47",1000,4,0.01,20,0.737218813472862,"0.681408450704225, 0.871623313458792, 0.584551553672316, 0.817201271630085, 0.731309477898892"
"48",100,5,0.01,5,0.738514136387788,"0.710985915492958, 0.859122687479039, 0.552268714689266, 0.819689326302564, 0.750504037975114"
"49",250,6,0.005,5,0.744196813699421,"0.708169014084507, 0.861243431006409, 0.576715513182674, 0.824048656983495, 0.750807453240021"
"50",750,5,0.01,5,0.723447574229019,"0.627042253521127, 0.87246098818302, 0.571710216572505, 0.821606289619463, 0.724418123248982"
"51",100,5,0.01,20,0.742126704229656,"0.707605633802817, 0.858661359370044, 0.572113347457627, 0.817620071957511, 0.75463310856028"
"52",1000,4,0.005,10,0.743065901675176,"0.707605633802817, 0.866987269468729, 0.582556497175141, 0.820814376273058, 0.737365731656137"
"53",500,5,0.005,5,0.736953346050233,"0.67830985915493, 0.858297911731543, 0.581973870056497, 0.820155717576288, 0.746029371731906"
"54",100,6,0.005,15,0.714375245549579,"0.706760563380282, 0.866470551636121, 0.429137241054614, 0.809657154822866, 0.759850716854009"
"55",500,6,0.01,10,0.728283860682856,"0.621408450704225, 0.870022322817379, 0.596627824858757, 0.822352515657421, 0.731008189376496"
"56",1000,3,0.005,5,0.724836462144403,"0.649859154929577, 0.863729139698953, 0.542590630885122, 0.822497192134168, 0.745506193074192"
"57",100,5,0.01,10,0.742622141005569,"0.706197183098592, 0.856099015580446, 0.578675258945386, 0.814633264167825, 0.757505983235598"
"58",500,5,0.01,15,0.730605528135056,"0.68, 0.870441160179493, 0.553439854048964, 0.818084559593383, 0.731062066853442"
"59",250,5,0.01,5,0.740425045666861,"0.678028169014085, 0.860593929589797, 0.5999440913371, 0.819900630104129, 0.743658408289192"
"60",500,5,0.01,20,0.732761361271922,"0.649859154929577, 0.869016202632302, 0.591743173258004, 0.818035065009233, 0.735153210530495"
"61",100,6,0.01,20,0.742232619421395,"0.706478873239437, 0.85777208873889, 0.5796315913371, 0.810742228398469, 0.756538315393079"
"62",250,5,0.01,20,0.737091377068562,"0.676056338028169, 0.858734959413749, 0.578684086629002, 0.82158344596524, 0.750398055306648"
"63",500,3,0.005,5,0.734471698970084,"0.676338028169014, 0.854455534192152, 0.564795197740113, 0.822382973863052, 0.754386760886086"
"64",50,5,0.005,5,0.716031487683585,"0.705352112676056, 0.862645625653485, 0.443561676082863, 0.806647503378957, 0.761950520626567"
"65",100,4,0.005,20,0.74041601577798,"0.67887323943662, 0.859275957673146, 0.600797434086629, 0.80170185223963, 0.761431595453875"
"66",50,5,0.01,15,0.727987011560939,"0.708169014084507, 0.862807242244301, 0.504269656308851, 0.797150254135653, 0.767538891031385"
"67",50,6,0.005,15,0.715671357406182,"0.712394366197183, 0.862641073073462, 0.436040489642185, 0.812457406103063, 0.754823452015018"
"68",50,3,0.01,5,0.742397371614487,"0.67943661971831, 0.860350366558568, 0.587123352165725, 0.807230016561649, 0.777846503068181"
"69",500,3,0.005,10,0.738098155321019,"0.677183098591549, 0.854455534192152, 0.58518420433145, 0.82150539681331, 0.752162542676633"
"70",500,6,0.005,5,0.742219467829964,"0.678028169014085, 0.864812653744421, 0.598043196798493, 0.821442576764196, 0.748770742828624"
"71",750,5,0.01,10,0.72544914296557,"0.623943661971831, 0.871140739976357, 0.577724811676083, 0.824587386495593, 0.729849114707984"
"72",50,6,0.005,20,0.723406478227151,"0.712112676056338, 0.860937649381532, 0.476038724105461, 0.805948868287297, 0.761994473305128"
"73",100,5,0.005,15,0.741378530391558,"0.708169014084507, 0.861779876685782, 0.578272128060264, 0.803418933582075, 0.755252699545161"
"74",750,3,0.01,15,0.735694445400948,"0.680845070422535, 0.86988574541669, 0.568084981167608, 0.819299080542918, 0.740357349454987"
"75",250,5,0.01,10,0.733656280033086,"0.678028169014085, 0.857329729713324, 0.564236111111111, 0.820625916125716, 0.748061474201196"
"76",750,4,0.01,5,0.737267207978888,"0.68056338028169, 0.872637021277242, 0.57866643126177, 0.821568216862424, 0.732900990211313"
"77",500,5,0.01,5,0.730229043115317,"0.650704225352113, 0.872961771985547, 0.57063029661017, 0.820734423483277, 0.736114498145481"
"78",500,5,0.005,15,0.735802038285373,"0.676619718309859, 0.86086860191785, 0.582206332391714, 0.819074451276389, 0.74024108753105"
