"","n.trees","interaction.depth","shrinkage","n.minobsinnode","ROC_AUC_valid"
"1",500,3,0.005,5,0.724568146643684
"2",750,3,0.005,5,0.735481916815913
"3",1000,3,0.005,5,0.740757745991962
"4",50,4,0.005,5,0.702123115618103
"5",100,4,0.005,5,0.708091958796876
"6",1000,4,0.005,5,0.74838670181352
"7",50,5,0.005,5,0.707231993239512
"8",100,5,0.005,5,0.713843634914462
"9",500,5,0.005,5,0.735282355191283
"10",750,5,0.005,5,0.746412292115805
"11",250,6,0.005,5,0.731819485857233
"12",500,6,0.005,5,0.741463764010326
"13",750,6,0.005,5,0.749880162994333
"14",1000,6,0.005,5,0.751038120571633
"15",50,3,0.01,5,0.702575755393265
"16",100,3,0.01,5,0.707503176981052
"17",250,3,0.01,5,0.725643178613556
"18",1000,3,0.01,5,0.747917156818025
"19",50,4,0.01,5,0.702836335860514
"20",100,4,0.01,5,0.706000012803954
"21",500,4,0.01,5,0.751520869644546
"22",750,4,0.01,5,0.752418746909046
"23",50,5,0.01,5,0.715365204775235
"24",100,5,0.01,5,0.71869263228485
"25",250,5,0.01,5,0.736456417741799
"26",500,5,0.01,5,0.74862957681332
"27",750,5,0.01,5,0.753933814761998
"28",1000,5,0.01,5,0.755706162062845
"29",50,6,0.01,5,0.719183383828926
"30",500,6,0.01,5,0.758572647233466
"31",100,3,0.005,10,0.702557549771369
"32",250,3,0.005,10,0.713508331372728
"33",500,3,0.005,10,0.72503299018737
"34",750,3,0.005,10,0.734862125424331
"35",1000,3,0.005,10,0.742070551386268
"36",1000,4,0.005,10,0.747319572283921
"37",100,5,0.005,10,0.72279079779836
"38",250,5,0.005,10,0.723771600670287
"39",500,5,0.005,10,0.738706512571082
"40",50,6,0.005,10,0.727167549339236
"41",250,6,0.005,10,0.728343412445763
"42",500,6,0.005,10,0.741189279249432
"43",750,6,0.005,10,0.753248002983321
"44",1000,6,0.005,10,0.753970826191128
"45",100,3,0.01,10,0.707592004410962
"46",500,3,0.01,10,0.740798558594894
"47",1000,3,0.01,10,0.746523926588531
"48",50,4,0.01,10,0.70608103782448
"49",250,4,0.01,10,0.732278927732884
"50",500,4,0.01,10,0.74592334112774
"51",1000,4,0.01,10,0.75436934925505
"52",50,5,0.01,10,0.713836332659525
"53",100,5,0.01,10,0.713521835542816
"54",250,5,0.01,10,0.738460436582817
"55",750,5,0.01,10,0.754358946042538
"56",1000,5,0.01,10,0.756838711794202
"57",50,6,0.01,10,0.722820907096111
"58",100,6,0.01,10,0.720072558406036
"59",250,6,0.01,10,0.741961517716671
"60",500,6,0.01,10,0.755876614698619
"61",1000,6,0.01,10,0.758449409177554
"62",50,3,0.005,15,0.718371733191209
"63",250,3,0.005,15,0.714392104281802
"64",750,3,0.005,15,0.736685788571511
"65",1000,3,0.005,15,0.740560485077792
"66",50,4,0.005,15,0.696792469514586
"67",250,4,0.005,15,0.719418256357563
"68",50,5,0.005,15,0.716368314535529
"69",100,5,0.005,15,0.713876044922672
"70",500,5,0.005,15,0.737012689518523
"71",1000,5,0.005,15,0.74966169553158
"72",50,6,0.005,15,0.726125727624691
"73",100,6,0.005,15,0.723148008104903
"74",250,6,0.005,15,0.723701378985831
"75",500,6,0.005,15,0.741885094117063
"76",1000,6,0.005,15,0.751786351625382
"77",50,3,0.01,15,0.702013481763168
"78",750,3,0.01,15,0.745979358425882
"79",1000,4,0.01,15,0.754316532945373
"80",50,5,0.01,15,0.717453149532576
"81",250,5,0.01,15,0.736926262829962
"82",500,5,0.01,15,0.752711237230057
"83",750,5,0.01,15,0.754043248555154
"84",250,6,0.01,15,0.739733429683086
"85",500,6,0.01,15,0.748847844214293
"86",750,6,0.01,15,0.752304111509634
"87",100,3,0.005,20,0.701490420241771
"88",1000,3,0.005,20,0.741460162898303
"89",100,4,0.005,20,0.708240104544283
"90",250,4,0.005,20,0.713876745138899
"91",750,4,0.005,20,0.742998437917629
"92",1000,4,0.005,20,0.746205028112681
"93",50,5,0.005,20,0.705279590337496
"94",100,5,0.005,20,0.715692705907584
"95",250,5,0.005,20,0.723623755015549
"96",750,5,0.005,20,0.746509122016879
"97",50,6,0.005,20,0.720035446946017
"98",100,6,0.005,20,0.722519013871484
"99",250,6,0.005,20,0.727532562055163
"100",500,6,0.005,20,0.739665608739979
"101",100,3,0.01,20,0.708152877608606
"102",500,3,0.01,20,0.742433163360846
"103",1000,3,0.01,20,0.748207846583025
"104",50,4,0.01,20,0.705969503382645
"105",100,4,0.01,20,0.711894933155358
"106",250,4,0.01,20,0.729468259798626
"107",500,4,0.01,20,0.747694287996133
"108",750,4,0.01,20,0.751027317235562
"109",1000,4,0.01,20,0.755086770794821
"110",50,5,0.01,20,0.716077724801419
"111",100,5,0.01,20,0.715443528961743
"112",250,5,0.01,20,0.739627296909286
"113",500,5,0.01,20,0.748483531714593
"114",750,5,0.01,20,0.751154356465277
"115",1000,5,0.01,20,0.756194512865573
"116",50,6,0.01,20,0.723839821736952
"117",100,6,0.01,20,0.722557525763956
"118",250,6,0.01,20,0.738798340927678
"119",500,6,0.01,20,0.75013664219511
"120",1000,6,0.01,20,0.755077567952984
