"","n.trees","interaction.depth","shrinkage","n.minobsinnode","ROC_AUC_valid"
"1",500,3,0.005,5,0.722578465563499
"2",750,3,0.005,5,0.728063759422243
"3",1000,3,0.005,5,0.7235671708757
"4",50,4,0.005,5,0.700704644260814
"5",100,4,0.005,5,0.708883436538536
"6",1000,4,0.005,5,0.725200475240087
"7",50,5,0.005,5,0.720142379966934
"8",100,5,0.005,5,0.71577809894362
"9",500,5,0.005,5,0.726029798001623
"10",750,5,0.005,5,0.72611489094499
"11",250,6,0.005,5,0.728554977777138
"12",500,6,0.005,5,0.720084228676482
"13",750,6,0.005,5,0.723499683368891
"14",1000,6,0.005,5,0.725637676914631
"15",50,3,0.01,5,0.714445554120446
"16",100,3,0.01,5,0.718253129899846
"17",250,3,0.01,5,0.721271128524488
"18",1000,3,0.01,5,0.724374353467017
"19",50,4,0.01,5,0.71311100867948
"20",100,4,0.01,5,0.722370801436817
"21",500,4,0.01,5,0.72915289574754
"22",750,4,0.01,5,0.725946305552488
"23",50,5,0.01,5,0.712896142328751
"24",100,5,0.01,5,0.726350963844302
"25",250,5,0.01,5,0.721326612324553
"26",500,5,0.01,5,0.730737918535911
"27",750,5,0.01,5,0.72610635497575
"28",1000,5,0.01,5,0.722610342073632
"29",50,6,0.01,5,0.711237896929238
"30",500,6,0.01,5,0.722850949706603
"31",100,3,0.005,10,0.710861914159092
"32",250,3,0.005,10,0.721356488216895
"33",500,3,0.005,10,0.724834095435337
"34",750,3,0.005,10,0.726369102778938
"35",1000,3,0.005,10,0.728149119114649
"36",1000,4,0.005,10,0.727314994870416
"37",100,5,0.005,10,0.715500279819742
"38",250,5,0.005,10,0.720947161816902
"39",500,5,0.005,10,0.72452346617969
"40",50,6,0.005,10,0.711357533873127
"41",250,6,0.005,10,0.722612342691423
"42",500,6,0.005,10,0.72738141538107
"43",750,6,0.005,10,0.729658651925048
"44",1000,6,0.005,10,0.72738141538107
"45",100,3,0.01,10,0.723926348456403
"46",500,3,0.01,10,0.73157070903495
"47",1000,3,0.01,10,0.727272048275174
"48",50,4,0.01,10,0.719092722499375
"49",250,4,0.01,10,0.723977430897328
"50",500,4,0.01,10,0.73302342430009
"51",1000,4,0.01,10,0.732865508869139
"52",50,5,0.01,10,0.714650817505779
"53",100,5,0.01,10,0.724050120010392
"54",250,5,0.01,10,0.725814931650894
"55",750,5,0.01,10,0.728358250361045
"56",1000,5,0.01,10,0.721882917444907
"57",50,6,0.01,10,0.71961848485479
"58",100,6,0.01,10,0.710364560576306
"59",250,6,0.01,10,0.725610201763638
"60",500,6,0.01,10,0.725531244048162
"61",1000,6,0.01,10,0.720497156188498
"62",50,3,0.005,15,0.702315008207868
"63",250,3,0.005,15,0.72398770073532
"64",750,3,0.005,15,0.725063099485121
"65",1000,3,0.005,15,0.730431423890364
"66",50,4,0.005,15,0.717700159142477
"67",250,4,0.005,15,0.721550681517119
"68",50,5,0.005,15,0.704395117212195
"69",100,5,0.005,15,0.712944423904768
"70",500,5,0.005,15,0.73038447605954
"71",1000,5,0.005,15,0.723343368432172
"72",50,6,0.005,15,0.713858839609671
"73",100,6,0.005,15,0.703688098884936
"74",250,6,0.005,15,0.722770658245933
"75",500,6,0.005,15,0.727130137786549
"76",1000,6,0.005,15,0.726615045392684
"77",50,3,0.01,15,0.715024532909096
"78",750,3,0.01,15,0.723036340288548
"79",1000,4,0.01,15,0.723236402067625
"80",50,5,0.01,15,0.712324632513187
"81",250,5,0.01,15,0.727528127352393
"82",500,5,0.01,15,0.729500469745057
"83",750,5,0.01,15,0.724788081226149
"84",250,6,0.01,15,0.726103687485362
"85",500,6,0.01,15,0.727256310081887
"86",750,6,0.01,15,0.723446867059215
"87",100,3,0.005,20,0.715386111231148
"88",1000,3,0.005,20,0.725284234438261
"89",100,4,0.005,20,0.716584481287822
"90",250,4,0.005,20,0.717812860611357
"91",750,4,0.005,20,0.724577349485521
"92",1000,4,0.005,20,0.730114792781344
"93",50,5,0.005,20,0.706767183039456
"94",100,5,0.005,20,0.722190479086609
"95",250,5,0.005,20,0.717803657769519
"96",750,5,0.005,20,0.728614862936341
"97",50,6,0.005,20,0.709332641919825
"98",100,6,0.005,20,0.715143102856829
"99",250,6,0.005,20,0.721673786198511
"100",500,6,0.005,20,0.723358306378343
"101",100,3,0.01,20,0.720485019107234
"102",500,3,0.01,20,0.732140484981762
"103",1000,3,0.01,20,0.728248883255149
"104",50,4,0.01,20,0.713173161205514
"105",100,4,0.01,20,0.713856572242842
"106",250,4,0.01,20,0.726298014160106
"107",500,4,0.01,20,0.72591109467937
"108",750,4,0.01,20,0.727802612113287
"109",1000,4,0.01,20,0.722147799240405
"110",50,5,0.01,20,0.713736135051837
"111",100,5,0.01,20,0.720512360883708
"112",250,5,0.01,20,0.724105470435937
"113",500,5,0.01,20,0.725541113762597
"114",750,5,0.01,20,0.734863192420486
"115",1000,5,0.01,20,0.723062748443386
"116",50,6,0.01,20,0.71360969600746
"117",100,6,0.01,20,0.713519134708798
"118",250,6,0.01,20,0.726926608269967
"119",500,6,0.01,20,0.720923687901491
"120",1000,6,0.01,20,0.724000104565623
