"","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"1",500,3,0.005,5,0.720288361175859,NA
"2",750,3,0.005,5,0.719462317167903,NA
"3",1000,3,0.005,5,0.715208448359515,NA
"4",50,4,0.005,5,0.70708630875872,NA
"5",100,4,0.005,5,0.711754991273242,NA
"6",1000,4,0.005,5,0.713640749226387,NA
"7",50,5,0.005,5,0.700437847993054,NA
"8",100,5,0.005,5,0.710723249757254,NA
"9",500,5,0.005,5,0.721630667319281,NA
"10",750,5,0.005,5,0.717171035173126,NA
"11",250,6,0.005,5,0.720976488677254,NA
"12",500,6,0.005,5,0.721534305546275,NA
"13",750,6,0.005,5,0.715728404342487,NA
"14",1000,6,0.005,5,0.715497525404869,NA
"15",50,3,0.01,5,0.710585301943985,NA
"16",100,3,0.01,5,0.711673824365236,NA
"17",250,3,0.01,5,0.715347777745401,NA
"18",1000,3,0.01,5,0.717289056301121,NA
"19",50,4,0.01,5,0.715556847756565,NA
"20",100,4,0.01,5,0.710646345410862,NA
"21",500,4,0.01,5,0.711493111806315,NA
"22",750,4,0.01,5,0.712132443132641,NA
"23",50,5,0.01,5,0.703307255469355,NA
"24",100,5,0.01,5,0.714913929619621,NA
"25",250,5,0.01,5,0.717105867680332,NA
"26",500,5,0.01,5,0.714683022449579,NA
"27",750,5,0.01,5,0.712098061530978,NA
"28",1000,5,0.01,5,0.718697567656389,NA
"29",50,6,0.01,5,0.704015813581925,NA
"30",500,6,0.01,5,0.720892741396526,NA
"31",100,3,0.005,10,0.720396426549629,NA
"32",250,3,0.005,10,0.726264165488948,NA
"33",500,3,0.005,10,0.715808131313771,NA
"34",750,3,0.005,10,0.713987299493869,NA
"35",1000,3,0.005,10,0.71521998957572,NA
"36",1000,4,0.005,10,0.718188205063448,NA
"37",100,5,0.005,10,0.709068310121141,NA
"38",250,5,0.005,10,0.722260067531491,NA
"39",500,5,0.005,10,0.718104255182477,NA
"40",50,6,0.005,10,0.702959950387642,NA
"41",250,6,0.005,10,0.719136125558346,NA
"42",500,6,0.005,10,0.718052786519976,NA
"43",750,6,0.005,10,0.719228109628275,NA
"44",1000,6,0.005,10,0.71605739305146,NA
"45",100,3,0.01,10,0.722542069173351,NA
"46",500,3,0.01,10,0.714234395484096,NA
"47",1000,3,0.01,10,0.719916319929914,NA
"48",50,4,0.01,10,0.702824004289446,NA
"49",250,4,0.01,10,0.716443616640131,NA
"50",500,4,0.01,10,0.722805172187997,NA
"51",1000,4,0.01,10,0.720061926378987,NA
"52",50,5,0.01,10,0.7084162006486,NA
"53",100,5,0.01,10,0.713133837948697,NA
"54",250,5,0.01,10,0.720806777850378,NA
"55",750,5,0.01,10,0.718792927925325,NA
"56",1000,5,0.01,10,0.724633381188795,NA
"57",50,6,0.01,10,0.705137115052109,NA
"58",100,6,0.01,10,0.709660361743319,NA
"59",250,6,0.01,10,0.717326340410144,NA
"60",500,6,0.01,10,0.717271645167757,NA
"61",1000,6,0.01,10,0.719985536594889,NA
"62",50,3,0.005,15,0.699428403261228,NA
"63",250,3,0.005,15,0.717159126807966,NA
"64",750,3,0.005,15,0.717847852173462,NA
"65",1000,3,0.005,15,0.715515354897187,NA
"66",50,4,0.005,15,0.70259271496527,NA
"67",250,4,0.005,15,0.721227474858606,NA
"68",50,5,0.005,15,0.704227086187828,NA
"69",100,5,0.005,15,0.70207847313264,NA
"70",500,5,0.005,15,0.717064096063313,NA
"71",1000,5,0.005,15,0.717584884121061,NA
"72",50,6,0.005,15,0.707843947957031,NA
"73",100,6,0.005,15,0.712481463496588,NA
"74",250,6,0.005,15,0.715204033230729,NA
"75",500,6,0.005,15,0.721845339819904,NA
"76",1000,6,0.005,15,0.72117671773504,NA
"77",50,3,0.01,15,0.706632780786622,NA
"78",750,3,0.01,15,0.719840017291037,NA
"79",1000,4,0.01,15,0.72493124930763,NA
"80",50,5,0.01,15,0.703289336388251,NA
"81",250,5,0.01,15,0.715932052746606,NA
"82",500,5,0.01,15,0.714146959095718,NA
"83",750,5,0.01,15,0.721420148050254,NA
"84",250,6,0.01,15,0.721409424384014,NA
"85",500,6,0.01,15,0.714812141816846,NA
"86",750,6,0.01,15,0.720260357409392,NA
"87",100,3,0.005,20,0.707616169191744,NA
"88",1000,3,0.005,20,0.716882202000142,NA
"89",100,4,0.005,20,0.70475268064264,NA
"90",250,4,0.005,20,0.71546355082422,NA
"91",750,4,0.005,20,0.720062052300375,NA
"92",1000,4,0.005,20,0.718631272310554,NA
