"","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"1",500,3,0.005,5,0.718837856864049,NA
"2",750,3,0.005,5,0.716576845839796,NA
"3",1000,3,0.005,5,0.713133886521847,NA
"4",50,4,0.005,5,0.706258734143057,NA
"5",100,4,0.005,5,0.70786118545844,NA
"6",1000,4,0.005,5,0.719005744956187,NA
"7",50,5,0.005,5,0.699811315782716,NA
"8",100,5,0.005,5,0.711989352528115,NA
"9",500,5,0.005,5,0.716469380500119,NA
"10",750,5,0.005,5,0.713241433012594,NA
"11",250,6,0.005,5,0.719696971466516,NA
"12",500,6,0.005,5,0.71778264344065,NA
"13",750,6,0.005,5,0.71650957287595,NA
"14",1000,6,0.005,5,0.715591555628506,NA
"15",50,3,0.01,5,0.702222091647805,NA
"16",100,3,0.01,5,0.714947944270845,NA
"17",250,3,0.01,5,0.718100952494166,NA
"18",1000,3,0.01,5,0.719541352343029,NA
"19",50,4,0.01,5,0.700713302521418,NA
"20",100,4,0.01,5,0.71293191890457,NA
"21",500,4,0.01,5,0.719704315776243,NA
"22",750,4,0.01,5,0.710604646885326,NA
"23",50,5,0.01,5,0.710300011998799,NA
"24",100,5,0.01,5,0.720106632392823,NA
"25",250,5,0.01,5,0.722232186609654,NA
"26",500,5,0.01,5,0.716965712357059,NA
"27",750,5,0.01,5,0.71361638675072,NA
"28",1000,5,0.01,5,0.709770971885436,NA
"29",50,6,0.01,5,0.711734832563829,NA
"30",500,6,0.01,5,0.71424075517593,NA
"31",100,3,0.005,10,0.717849314246598,NA
"32",250,3,0.005,10,0.72126894078343,NA
"33",500,3,0.005,10,0.716260537006348,NA
"34",750,3,0.005,10,0.714303600765404,NA
"35",1000,3,0.005,10,0.719018692104117,NA
"36",1000,4,0.005,10,0.719714301048761,NA
"37",100,5,0.005,10,0.713393087055748,NA
"38",250,5,0.005,10,0.718509322901049,NA
"39",500,5,0.005,10,0.720519855935063,NA
"40",50,6,0.005,10,0.701034489602121,NA
"41",250,6,0.005,10,0.71940892955567,NA
"42",500,6,0.005,10,0.718474040912068,NA
"43",750,6,0.005,10,0.716424411778267,NA
"44",1000,6,0.005,10,0.714534457722857,NA
"45",100,3,0.01,10,0.719091881644809,NA
"46",500,3,0.01,10,0.71247755785994,NA
"47",1000,3,0.01,10,0.717163790343699,NA
"48",50,4,0.01,10,0.706111755623691,NA
"49",250,4,0.01,10,0.715286016193796,NA
"50",500,4,0.01,10,0.71816588498259,NA
"51",1000,4,0.01,10,0.719287215202705,NA
"52",50,5,0.01,10,0.706217868511342,NA
"53",100,5,0.01,10,0.708192860719257,NA
"54",250,5,0.01,10,0.721564954845561,NA
"55",750,5,0.01,10,0.715149306539029,NA
"56",1000,5,0.01,10,0.718031903614197,NA
"57",50,6,0.01,10,0.707350834740302,NA
"58",100,6,0.01,10,0.710693253842676,NA
"59",250,6,0.01,10,0.717622914059547,NA
"60",500,6,0.01,10,0.720403784864226,NA
"61",1000,6,0.01,10,0.723204989874176,NA
"62",50,3,0.005,15,0.702610632084335,NA
"63",250,3,0.005,15,0.718791293422757,NA
"64",750,3,0.005,15,0.719752763844851,NA
"65",1000,3,0.005,15,0.715775859797631,NA
"66",50,4,0.005,15,0.705137816771949,NA
"67",250,4,0.005,15,0.712268123795721,NA
"68",50,5,0.005,15,0.704879501529166,NA
"69",100,5,0.005,15,0.706513628199323,NA
"70",500,5,0.005,15,0.719785195297012,NA
"71",1000,5,0.005,15,0.717156863162606,NA
"72",50,6,0.005,15,0.704161248947932,NA
"73",100,6,0.005,15,0.708354199674614,NA
"74",250,6,0.005,15,0.712442965410413,NA
"75",500,6,0.005,15,0.716783783472128,NA
"76",1000,6,0.005,15,0.717795553196423,NA
"77",50,3,0.01,15,0.70760086978183,NA
"78",750,3,0.01,15,0.721791915432604,NA
"79",1000,4,0.01,15,0.726720585765761,NA
"80",50,5,0.01,15,0.711558133658007,NA
"81",250,5,0.01,15,0.712758721498713,NA
"82",500,5,0.01,15,0.717044690344674,NA
"83",750,5,0.01,15,0.718565136797416,NA
"84",250,6,0.01,15,0.720559096508262,NA
"85",500,6,0.01,15,0.718885517331555,NA
"86",750,6,0.01,15,0.725467707499255,NA
"87",100,3,0.005,20,0.715333721304372,NA
"88",1000,3,0.005,20,0.715532947549852,NA
