"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","mean_ROC_AUC","fold_ROC_AUC"
"1",500,40,0.05,0.8,0.8,0.816985194481866,"0.798264133239503, 0.810972520704127, 0.824286875308099, 0.831322795341098, 0.820079647816505"
"2",500,10,0.1,0.6,0.7,0.829855624034319,"0.814228669524236, 0.823930931139114, 0.837186404998868, 0.839519604078672, 0.834412510430708"
"3",100,40,0.01,0.6,0.6,0.859169664773489,"0.849417823555755, 0.861742292945399, 0.858811303409409, 0.866160565723794, 0.859716338233092"
"4",500,10,0.01,0.7,0.7,0.860886433749934,"0.854887723114324, 0.86341275470209, 0.858692726860919, 0.86700451171125, 0.860434452361084"
"5",100,30,0.1,0.8,0.8,0.8370740495465,"0.822249589490969, 0.833452429835274, 0.843600197183474, 0.84610584922565, 0.839962181997133"
"6",100,10,0.05,0.6,0.8,0.860491436441728,"0.855550135414667, 0.863291436250487, 0.858033228079992, 0.867153835487862, 0.85842854697563"
"7",100,20,0.05,0.8,0.6,0.855990044704194,"0.848287590898428, 0.856446942508386, 0.85662496502658, 0.861083557318998, 0.857507167768577"
"8",500,30,0.01,0.6,0.8,0.850352778766168,"0.839021815622801, 0.850285031702778, 0.853864396392075, 0.857750437305346, 0.85084221280784"
"9",50,20,0.1,0.7,0.7,0.856421935196966,"0.845015514042608, 0.859658548551378, 0.857484311922939, 0.863110094287299, 0.856841207180606"
"10",1000,10,0.01,0.8,0.7,0.856903379574943,"0.850110890751285, 0.857716120155928, 0.856020091397205, 0.863427407312599, 0.857242388257697"
"11",100,40,0.1,0.8,0.8,0.832091097729021,"0.816195914102318, 0.826045338438485, 0.838982373396219, 0.841687465335552, 0.837544397372531"
"12",100,20,0.1,0.7,0.8,0.843780213850688,"0.833885121446698, 0.84084885587368, 0.84927854830329, 0.851465506207603, 0.843423037422171"
"13",50,30,0.01,0.6,0.7,0.859459986246227,"0.851666293476638, 0.863642059907318, 0.85659432164888, 0.866460546525022, 0.858936709673278"
"14",100,30,0.1,0.7,0.6,0.838188069385822,"0.823955601049197, 0.835196215930846, 0.844058515528199, 0.847516425615427, 0.840213588805443"
"15",500,30,0.1,0.7,0.6,0.815145972638787,"0.795742434904997, 0.807407624664708, 0.82339954967558, 0.831205469516618, 0.817974784432035"
"16",1000,40,0.01,0.8,0.7,0.832147906909342,"0.81667839549613, 0.827402505292684, 0.838966385546984, 0.842268761465933, 0.835423486744977"
"17",50,20,0.01,0.7,0.7,0.859370592744651,"0.851736933017721, 0.864221988769378, 0.855838895772546, 0.866827189726524, 0.858227956437084"
"18",100,10,0.1,0.8,0.8,0.855935527465463,"0.84956443392404, 0.85443385611365, 0.855303302823188, 0.863722055121806, 0.856653989344631"
"19",1000,30,0.01,0.7,0.8,0.837732120607938,"0.823811656323972, 0.834724273822411, 0.84313921419721, 0.846972460429199, 0.840012998266898"
"20",50,30,0.1,0.8,0.6,0.849842367279987,"0.837467745718977, 0.848935863867366, 0.853744487522816, 0.857627778488843, 0.851435960801934"
"21",500,10,0.05,0.7,0.8,0.843042540076521,"0.831272791248161, 0.843021922644156, 0.846699175293444, 0.849169653142199, 0.845049158054646"
"22",1000,20,0.1,0.6,0.8,0.812998766939166,"0.793346021794298, 0.807116993648779, 0.819895546051667, 0.828856286530995, 0.81577898667009"
"23",100,30,0.05,0.6,0.6,0.850151589713619,"0.839464312370716, 0.85053033494558, 0.852497435282519, 0.856139873714749, 0.852125992254531"
