"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","ROC_AUC_valid"
"1",500,40,0.05,0.8,0.8,0.767521010488039
"2",500,10,0.1,0.6,0.7,0.752811668243153
"3",100,40,0.01,0.6,0.6,0.728349714391804
"4",500,10,0.01,0.7,0.7,0.747521234557231
"5",100,30,0.1,0.8,0.8,0.742147575171213
"6",100,10,0.05,0.6,0.8,0.745381773891778
"7",100,20,0.05,0.8,0.6,0.746750596584225
"8",500,30,0.01,0.6,0.8,0.744835605234897
"9",50,20,0.1,0.7,0.7,0.731676741777861
"10",1000,10,0.01,0.8,0.7,0.754301728373722
"11",100,40,0.1,0.8,0.8,0.771870353565181
"12",100,20,0.1,0.7,0.8,0.745779896832142
"13",50,30,0.01,0.6,0.7,0.724954666000861
"14",100,30,0.1,0.7,0.6,0.745996763800662
"15",500,30,0.1,0.7,0.6,0.751484858524312
"16",1000,40,0.01,0.8,0.7,0.751680919067808
"17",50,20,0.01,0.7,0.7,0.718304212340771
"18",100,10,0.1,0.8,0.8,0.746922649714232
"19",1000,30,0.01,0.7,0.8,0.751792153416975
"20",50,30,0.1,0.8,0.6,0.739455543871948
"21",500,10,0.05,0.7,0.8,0.746130805192644
"22",1000,20,0.1,0.6,0.8,0.753632721784487
"23",100,30,0.05,0.6,0.6,0.752471563218722
"24",500,20,0.01,0.6,0.6,0.742033139833581
"25",50,40,0.05,0.8,0.8,0.744888421544573
"26",100,40,0.01,0.8,0.7,0.723917145614566
"27",500,10,0.05,0.7,0.7,0.746095994443084
"28",100,40,0.05,0.7,0.6,0.753828382204425
"29",50,10,0.1,0.7,0.6,0.762732731867601
"30",500,30,0.1,0.6,0.6,0.75148325803008
"31",500,20,0.05,0.7,0.8,0.761233468895195
"32",50,20,0.1,0.7,0.8,0.742227199759286
"33",1000,30,0.1,0.6,0.8,0.74176665754385
"34",500,40,0.1,0.8,0.6,0.765513990720334
"35",1000,40,0.05,0.6,0.6,0.763819067327991
"36",50,40,0.01,0.8,0.6,0.721197505789788
"37",500,20,0.05,0.8,0.7,0.75705377820671
"38",50,30,0.01,0.8,0.8,0.722032963779215
"39",100,30,0.1,0.6,0.8,0.742147575171213
"40",500,20,0.05,0.6,0.6,0.743506394774706
"41",50,20,0.05,0.6,0.8,0.745937945637613
"42",500,20,0.1,0.8,0.6,0.734965357302335
"43",1000,20,0.01,0.8,0.8,0.743419167839029
"44",1000,40,0.05,0.7,0.7,0.762959601925075
"45",100,20,0.05,0.6,0.7,0.748721605231696
"46",50,30,0.05,0.7,0.7,0.736197737861452
"47",100,10,0.01,0.6,0.8,0.727475844540794
"48",50,20,0.05,0.7,0.6,0.738167946261806
"49",1000,20,0.05,0.7,0.6,0.742766966439236
"50",1000,30,0.05,0.7,0.6,0.754262516265023
"51",500,40,0.01,0.7,0.6,0.740299804579654
"52",50,40,0.1,0.8,0.6,0.760091116136663
"53",100,10,0.05,0.7,0.7,0.75074382969461
"54",50,10,0.05,0.7,0.8,0.720632931449231
"55",500,30,0.01,0.7,0.8,0.744835605234897
"56",1000,10,0.1,0.8,0.8,0.745783097820607
"57",100,20,0.01,0.6,0.8,0.712797711933445
"58",50,20,0.1,0.8,0.7,0.731676741777861
"59",50,30,0.1,0.6,0.6,0.739455543871948
"60",500,10,0.1,0.8,0.8,0.741674629125474
"61",1000,30,0.05,0.6,0.8,0.755590926478096
"62",500,40,0.05,0.7,0.7,0.763296505961041
"63",1000,40,0.01,0.6,0.6,0.748155030273348
"64",1000,10,0.05,0.8,0.6,0.758165321451264
"65",100,40,0.1,0.7,0.6,0.771490236184934
"66",100,20,0.05,0.8,0.7,0.748721605231696
"67",500,30,0.1,0.7,0.7,0.747555645183233
"68",100,20,0.1,0.7,0.6,0.741678230237497
"69",100,20,0.01,0.7,0.8,0.712797711933445
"70",500,20,0.1,0.6,0.6,0.734965357302335
"71",500,40,0.01,0.6,0.7,0.741826676077573
"72",1000,40,0.1,0.7,0.7,0.760981391053557
"73",50,10,0.05,0.7,0.7,0.730251901787272
"74",500,30,0.1,0.8,0.8,0.739157851944681
"75",100,10,0.1,0.6,0.6,0.75561173290312
"76",1000,10,0.01,0.6,0.6,0.749738719316525
"77",50,40,0.01,0.6,0.6,0.721197505789788
"78",50,10,0.01,0.8,0.8,0.722569929594259
"79",500,10,0.01,0.8,0.7,0.747521234557231
"80",1000,10,0.05,0.6,0.8,0.745698271626278
"81",100,20,0.1,0.8,0.7,0.730717645608964
"82",50,30,0.1,0.7,0.6,0.739455543871948
"83",50,30,0.05,0.6,0.6,0.741217688022061
"84",500,10,0.01,0.6,0.8,0.751368822692447
"85",100,40,0.1,0.8,0.7,0.743292728794652
"86",100,30,0.05,0.7,0.8,0.748321881797099
"87",50,30,0.05,0.8,0.6,0.741217688022061
"88",100,40,0.01,0.8,0.6,0.728349714391804
"89",100,40,0.01,0.6,0.7,0.723917145614566
"90",1000,40,0.01,0.7,0.6,0.748155030273348
"91",500,20,0.01,0.7,0.7,0.746564139006125
"92",500,10,0.05,0.7,0.6,0.756670459837998
"93",500,20,0.01,0.6,0.7,0.746564139006125
"94",500,40,0.1,0.6,0.8,0.772620185113163
"95",50,20,0.1,0.7,0.6,0.748810032538048
"96",50,20,0.05,0.6,0.7,0.731258212536031
"97",1000,20,0.1,0.8,0.6,0.735302261338301
"98",500,10,0.01,0.7,0.6,0.743321537690839
"99",100,30,0.05,0.7,0.6,0.752471563218722
"100",100,10,0.1,0.6,0.7,0.765525194179963
"101",1000,30,0.1,0.7,0.7,0.748231853996514
"102",100,10,0.01,0.8,0.6,0.715107225111114
"103",100,30,0.01,0.8,0.8,0.723690275557092
"104",100,20,0.05,0.7,0.7,0.748721605231696
"105",500,40,0.05,0.8,0.6,0.760114723426594
"106",1000,10,0.05,0.7,0.7,0.753763962311562
"107",100,40,0.05,0.6,0.7,0.740611900955015
"108",50,10,0.1,0.8,0.7,0.751760143532323
"109",100,40,0.01,0.6,0.8,0.732894717888884
"110",100,20,0.05,0.6,0.8,0.75504795880968
"111",1000,20,0.1,0.7,0.7,0.757391482489793
"112",100,10,0.05,0.7,0.8,0.745381773891778
"113",1000,20,0.1,0.8,0.7,0.757382679771513
