"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","mean_ROC_AUC","fold_ROC_AUC"
"1",500,40,0.05,0.8,0.8,0.804457718306503,"0.765390724740952, 0.797309675727646, 0.767770807234576, 0.888284075032873, 0.803533308796467"
"2",500,10,0.1,0.6,0.7,0.800292859169125,"0.759224414358244, 0.795589546368324, 0.757269319605387, 0.872715575690335, 0.816665439823335"
"3",100,40,0.01,0.6,0.6,0.812880527164833,"0.788139084350227, 0.779178393497072, 0.764000352333229, 0.912138909434583, 0.820945896209054"
"4",500,10,0.01,0.7,0.7,0.811838522820279,"0.776847480775511, 0.790278821781313, 0.753139191199499, 0.915992511094675, 0.822934609250399"
"5",100,30,0.1,0.8,0.8,0.811796218548151,"0.777843962471423, 0.792890481601259, 0.759574166144692, 0.903927052514793, 0.824745430008588"
"6",100,10,0.05,0.6,0.8,0.811640445616238,"0.777663037023841, 0.790616204877196, 0.75341322815534, 0.916201820348455, 0.820307937676359"
"7",100,20,0.05,0.8,0.6,0.812508380432137,"0.777450565600784, 0.789911721003409, 0.75826270357031, 0.913722211949375, 0.823194700036805"
"8",500,30,0.01,0.6,0.8,0.811563444399783,"0.778049939134824, 0.796795734638581, 0.752635158941434, 0.90773057404668, 0.822605815237394"
"9",50,20,0.1,0.7,0.7,0.812929520875163,"0.777579532971111, 0.799751769950179, 0.754350336673974, 0.910987066485865, 0.821978898294688"
"10",1000,10,0.01,0.8,0.7,0.808143319291123,"0.773974941361599, 0.795607027357748, 0.747717174287504, 0.905925121219592, 0.817492332229174"
"11",100,40,0.1,0.8,0.8,0.803222418900977,"0.769202220836673, 0.796491565422603, 0.753051107892264, 0.880076070430638, 0.817291129922709"
"12",100,20,0.1,0.7,0.8,0.808056977854355,"0.775539250616074, 0.798498383008478, 0.753902579862199, 0.894000914283366, 0.818343761501656"
"13",50,30,0.01,0.6,0.7,0.811469156301413,"0.786353025444613, 0.766653264574775, 0.770782766990291, 0.909103283201841, 0.824453441295547"
"14",100,30,0.1,0.7,0.6,0.804850312674104,"0.773945251031739, 0.804634210296303, 0.747761215941121, 0.884069639628534, 0.813841246472825"
"15",500,30,0.1,0.7,0.6,0.800948628193905,"0.760727487307384, 0.804106284415698, 0.752591117287817, 0.883627907215648, 0.803690344742976"
"16",1000,40,0.01,0.8,0.7,0.808173092556987,"0.773512885603159, 0.796344725111441, 0.758453550735985, 0.893859662639711, 0.818694638694639"
"17",50,20,0.01,0.7,0.7,0.811083341433723,"0.78511159852736, 0.762594178830522, 0.766138819292202, 0.911423662475345, 0.830148448043185"
"18",100,10,0.1,0.8,0.8,0.807509751430304,"0.77505492711024, 0.793449873262827, 0.744847126526777, 0.908601197813938, 0.815595632437738"
"19",1000,30,0.01,0.7,0.8,0.808749616446968,"0.775195956177073, 0.802952539113714, 0.753677478077044, 0.89277844551282, 0.81914366335419"
"20",50,30,0.1,0.8,0.6,0.809891220091711,"0.78036578486387, 0.797365614893803, 0.745781788286878, 0.898703309911243, 0.82723960250276"
"21",500,10,0.05,0.7,0.8,0.80514386703494,"0.764416510792435, 0.805385892841535, 0.74942990526151, 0.89024362056213, 0.81624340571709"
"22",1000,20,0.1,0.6,0.8,0.802004859027502,"0.758689988420771, 0.797494974215541, 0.759520337456937, 0.883471246301775, 0.810847748742486"
"23",100,30,0.05,0.6,0.6,0.815815771452316,"0.780029913007333, 0.79952626518661, 0.763953863921077, 0.910452878451677, 0.825115936694884"
"24",500,20,0.01,0.6,0.6,0.81378024750957,"0.778823743356789, 0.797987938117297, 0.752400270122142, 0.914045806623932, 0.82564347932769"
"25",50,40,0.05,0.8,0.8,0.810875370976795,"0.780155169086429, 0.77684642950791, 0.767932293297839, 0.910117726824458, 0.819325236167341"
"26",100,40,0.01,0.8,0.7,0.812493393640495,"0.784781293607672, 0.777526439996504, 0.766867953335421, 0.909726074539776, 0.823565206723101"
"27",500,10,0.05,0.7,0.7,0.803827898396542,"0.766140405569906, 0.796659382921073, 0.748989488725337, 0.892103005834977, 0.815247208931419"
"28",100,40,0.05,0.7,0.6,0.813587086395644,"0.779974243638847, 0.795204964600996, 0.764262155496398, 0.906253852317554, 0.822240215924426"
"29",50,10,0.1,0.7,0.6,0.810197187347831,"0.7782531323298, 0.789030679136439, 0.750697326182274, 0.913206001397107, 0.819798797693534"
"30",500,30,0.1,0.6,0.6,0.800948628193905,"0.760727487307384, 0.804106284415698, 0.752591117287817, 0.883627907215648, 0.803690344742976"
"31",500,20,0.05,0.7,0.8,0.80306153870615,"0.76392290905852, 0.804707630451884, 0.754499588944566, 0.883540588017751, 0.80863697705803"
"32",50,20,0.1,0.7,0.8,0.811112509733072,"0.779297860811734, 0.796617428546456, 0.757061345129972, 0.899355635683761, 0.823230278493436"
"33",1000,30,0.1,0.6,0.8,0.803757127444918,"0.763555491226508, 0.799106721440433, 0.764286623081741, 0.888389371712689, 0.803447429763219"
