"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","mean_ROC_AUC","fold_ROC_AUC"
"1",500,40,0.05,0.8,0.8,0.732097910416208,"0.757652237710932, 0.520658582049115, 0.870099908558963, 0.594779996336325, 0.917298827425707"
"2",500,10,0.1,0.6,0.7,0.732544274173478,"0.76538517975055, 0.510466111797473, 0.873532022815154, 0.600123099468767, 0.913214957035446"
"3",100,40,0.01,0.6,0.6,0.722494431182,"0.678055759354365, 0.521601426187225, 0.865523756217375, 0.621153324784759, 0.926137889366273"
"4",500,10,0.01,0.7,0.7,0.730521468330093,"0.729398385913426, 0.509257754080239, 0.867839510728945, 0.618843744275508, 0.927267946652345"
"5",100,30,0.1,0.8,0.8,0.738102204463374,"0.766925898752751, 0.498507163447992, 0.870184993828755, 0.619983147096538, 0.934909819190834"
"6",100,10,0.05,0.6,0.8,0.729853979919813,"0.728840792369773, 0.501850467087154, 0.869278271887417, 0.620052024180253, 0.929248344074472"
"7",100,20,0.05,0.8,0.6,0.728711408610043,"0.716001467351431, 0.511652794936819, 0.866314126615082, 0.621649386334494, 0.927939267812388"
"8",500,30,0.01,0.6,0.8,0.734480326471943,"0.74070432868672, 0.511408955935583, 0.868958945844763, 0.61946290529401, 0.931866496598639"
"9",50,20,0.1,0.7,0.7,0.71304796944013,"0.645436537050624, 0.506602618289009, 0.87165860919413, 0.613211210844477, 0.928330871822413"
"10",1000,10,0.01,0.8,0.7,0.738554556226906,"0.763052090975789, 0.505545982616989, 0.872092749094816, 0.620752518776333, 0.931329439670605"
"11",100,40,0.1,0.8,0.8,0.737539876408869,"0.768422597212032, 0.512546871274682, 0.871022519918154, 0.602643707638762, 0.933063686000716"
"12",100,20,0.1,0.7,0.8,0.736809594600454,"0.759310344827586, 0.511300583046145, 0.872135804291578, 0.618598278072907, 0.922702962764053"
"13",50,30,0.01,0.6,0.7,0.701862231535241,"0.587101980924431, 0.523920606021198, 0.863944040545694, 0.616480674116138, 0.917863856068743"
"14",100,30,0.1,0.7,0.6,0.740137978151448,"0.780895084372707, 0.512909920454299, 0.868168575447057, 0.606547719362521, 0.932168591120659"
"15",500,30,0.1,0.7,0.6,0.731548335127891,"0.772340425531915, 0.514833539241823, 0.871849794770229, 0.592630152042499, 0.90608776405299"
"16",1000,40,0.01,0.8,0.7,0.739917903256167,"0.771313279530448, 0.513847345947938, 0.870639123642224, 0.611621176039568, 0.932168591120659"
"17",50,20,0.01,0.7,0.7,0.698232455420387,"0.583991195891416, 0.519130524308039, 0.862567811934901, 0.608822861329914, 0.916649883637666"
"18",100,10,0.1,0.8,0.8,0.729363281985227,"0.742780630961115, 0.502132236599692, 0.871945643839211, 0.609280087928192, 0.920677810597923"
"19",1000,30,0.01,0.7,0.8,0.73929331916479,"0.769097578870139, 0.511723237314953, 0.87057044035215, 0.614047994138121, 0.931027345148586"
"20",50,30,0.1,0.8,0.6,0.735046358312017,"0.74995597945708, 0.510281877885428, 0.868387951925797, 0.616742260487269, 0.929863721804511"
