"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","mean_ROC_AUC","fold_ROC_AUC"
"1",1000,10,0.01,0.6,0.6,0.781180565756971,NA
"2",500,20,0.01,0.6,0.6,0.78073735883185,NA
"3",50,40,0.01,0.6,0.6,0.773528870829032,NA
"4",100,40,0.01,0.6,0.6,0.773943116089205,NA
"5",1000,40,0.01,0.6,0.6,0.771435412078328,NA
"6",500,20,0.05,0.6,0.6,0.768145869057033,NA
"7",50,30,0.05,0.6,0.6,0.772036808381016,NA
"8",100,30,0.05,0.6,0.6,0.774140282806725,NA
"9",1000,40,0.05,0.6,0.6,0.761973680488746,NA
"10",100,10,0.1,0.6,0.6,0.77866883187287,NA
"11",500,20,0.1,0.6,0.6,0.76083451955738,NA
"12",50,30,0.1,0.6,0.6,0.768382774145836,NA
"13",500,30,0.1,0.6,0.6,0.75577308600341,NA
"14",500,10,0.01,0.7,0.6,0.785709155481977,NA
"15",500,40,0.01,0.7,0.6,0.775019467597659,NA
"16",1000,40,0.01,0.7,0.6,0.771435412078328,NA
"17",500,10,0.05,0.7,0.6,0.774728132583337,NA
"18",50,20,0.05,0.7,0.6,0.780002015569533,NA
"19",1000,20,0.05,0.7,0.6,0.761130395310676,NA
"20",100,30,0.05,0.7,0.6,0.774140282806725,NA
"21",1000,30,0.05,0.7,0.6,0.761384266177826,NA
"22",100,40,0.05,0.7,0.6,0.775434864011518,NA
"23",50,10,0.1,0.7,0.6,0.784311725824678,NA
"24",50,20,0.1,0.7,0.6,0.773621235773856,NA
"25",100,20,0.1,0.7,0.6,0.769098441412906,NA
"26",50,30,0.1,0.7,0.6,0.768382774145836,NA
"27",100,30,0.1,0.7,0.6,0.766146102508854,NA
"28",500,30,0.1,0.7,0.6,0.75577308600341,NA
"29",100,40,0.1,0.7,0.6,0.766227181343804,NA
"30",100,10,0.01,0.8,0.6,0.779981872009611,NA
"31",100,20,0.01,0.8,0.6,0.777246049650751,NA
"32",500,30,0.01,0.8,0.6,0.776038017799274,NA
"33",50,40,0.01,0.8,0.6,0.773528870829032,NA
"34",100,40,0.01,0.8,0.6,0.773943116089205,NA
"35",50,10,0.05,0.8,0.6,0.785370192350073,NA
"36",1000,10,0.05,0.8,0.6,0.768199563219773,NA
"37",100,20,0.05,0.8,0.6,0.773612112728737,NA
"38",50,30,0.05,0.8,0.6,0.772036808381016,NA
"39",500,40,0.05,0.8,0.6,0.766943206380739,NA
"40",500,20,0.1,0.8,0.6,0.76083451955738,NA
"41",1000,20,0.1,0.8,0.6,0.756705066245162,NA
"42",50,30,0.1,0.8,0.6,0.768382774145836,NA
"43",50,40,0.1,0.8,0.6,0.767696785141255,NA
"44",500,40,0.1,0.8,0.6,0.758863572953804,NA
"45",500,20,0.01,0.6,0.7,0.778418048096563,NA
"46",50,30,0.01,0.6,0.7,0.767650275293036,NA
"47",100,30,0.01,0.6,0.7,0.770114174912349,NA
"48",100,40,0.01,0.6,0.7,0.769403112138303,NA
"49",500,40,0.01,0.6,0.7,0.773583530034762,NA
"50",1000,40,0.01,0.6,0.7,0.770306072344845,NA
"51",50,20,0.05,0.6,0.7,0.778167534839171,NA
"52",100,20,0.05,0.6,0.7,0.779042315986568,NA
"53",100,40,0.05,0.6,0.7,0.769759173671083,NA
