"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","ROC_AUC_valid"
"1",1000,10,0.01,0.6,0.6,0.720661940407198
"2",500,20,0.01,0.6,0.6,0.708289419772826
"3",50,40,0.01,0.6,0.6,0.682014606110367
"4",100,40,0.01,0.6,0.6,0.682447039645843
"5",1000,40,0.01,0.6,0.6,0.706967711629351
"6",500,20,0.05,0.6,0.6,0.709217806458634
"7",50,30,0.05,0.6,0.6,0.702995685067549
"8",100,30,0.05,0.6,0.6,0.705142848111497
"9",1000,40,0.05,0.6,0.6,0.703064306257772
"10",100,10,0.1,0.6,0.6,0.714113518254437
"11",500,20,0.1,0.6,0.6,0.702369891822595
"12",50,30,0.1,0.6,0.6,0.703819639504679
"13",500,30,0.1,0.6,0.6,0.708038042147415
"14",500,10,0.01,0.7,0.6,0.718930305678393
"15",500,40,0.01,0.7,0.6,0.707383840129832
"16",1000,40,0.01,0.7,0.6,0.706967711629351
"17",500,10,0.05,0.7,0.6,0.72134895255655
"18",50,20,0.05,0.7,0.6,0.7048884695594
"19",1000,20,0.05,0.7,0.6,0.704744425078464
"20",100,30,0.05,0.7,0.6,0.705142848111497
"21",1000,30,0.05,0.7,0.6,0.705209768776598
"22",100,40,0.05,0.7,0.6,0.710891023147948
"23",50,10,0.1,0.7,0.6,0.711937446283412
"24",50,20,0.1,0.7,0.6,0.708422160763244
"25",100,20,0.1,0.7,0.6,0.706638109848321
"26",50,30,0.1,0.7,0.6,0.703819639504679
"27",100,30,0.1,0.7,0.6,0.709046353513965
"28",500,30,0.1,0.7,0.6,0.708038042147415
"29",100,40,0.1,0.7,0.6,0.700743389558696
"30",100,10,0.01,0.8,0.6,0.692895566150827
"31",100,20,0.01,0.8,0.6,0.687423376338613
"32",500,30,0.01,0.8,0.6,0.706828268569334
"33",50,40,0.01,0.8,0.6,0.682014606110367
"34",100,40,0.01,0.8,0.6,0.682447039645843
"35",50,10,0.05,0.8,0.6,0.714722406279059
"36",1000,10,0.05,0.8,0.6,0.712183922395236
"37",100,20,0.05,0.8,0.6,0.706416141304435
"38",50,30,0.05,0.8,0.6,0.702995685067549
"39",500,40,0.05,0.8,0.6,0.705050319538673
"40",500,20,0.1,0.8,0.6,0.702369891822595
"41",1000,20,0.1,0.8,0.6,0.695169068208263
"42",50,30,0.1,0.8,0.6,0.703819639504679
"43",50,40,0.1,0.8,0.6,0.705339708902109
"44",500,40,0.1,0.8,0.6,0.701235941658784
"45",500,20,0.01,0.6,0.7,0.705017409376015
"46",50,30,0.01,0.6,0.7,0.681622384992486
"47",100,30,0.01,0.6,0.7,0.681819245783098
"48",100,40,0.01,0.6,0.7,0.678393187816398
"49",500,40,0.01,0.6,0.7,0.70714586664362
"50",1000,40,0.01,0.6,0.7,0.705983807799849
"51",50,20,0.05,0.6,0.7,0.702729502870486
"52",100,20,0.05,0.6,0.7,0.702308272794639
"53",100,40,0.05,0.6,0.7,0.704205058522072
"54",100,10,0.1,0.6,0.7,0.712167417298462
"55",500,10,0.1,0.6,0.7,0.714684294510145
"56",500,10,0.01,0.7,0.7,0.715453832143366
"57",50,20,0.01,0.7,0.7,0.676753781567748
"58",500,20,0.01,0.7,0.7,0.705017409376015
"59",50,10,0.05,0.7,0.7,0.711235729593298
"60",100,10,0.05,0.7,0.7,0.713856138775654
"61",500,10,0.05,0.7,0.7,0.711288445872085
"62",1000,10,0.05,0.7,0.7,0.704594578805935
"63",100,20,0.05,0.7,0.7,0.702308272794639
"64",50,30,0.05,0.7,0.7,0.695441152227808
"65",500,40,0.05,0.7,0.7,0.703370400779761
"66",1000,40,0.05,0.7,0.7,0.700751992215196
"67",50,20,0.1,0.7,0.7,0.700504415763588
"68",1000,20,0.1,0.7,0.7,0.699636247673282
"69",500,30,0.1,0.7,0.7,0.705986408602977
"70",1000,30,0.1,0.7,0.7,0.699511609184916
"71",1000,40,0.1,0.7,0.7,0.694155755297236
"72",500,10,0.01,0.8,0.7,0.715453832143366
"73",1000,10,0.01,0.8,0.7,0.720365048727047
"74",100,40,0.01,0.8,0.7,0.678393187816398
"75",500,40,0.01,0.8,0.7,0.70714586664362
"76",1000,40,0.01,0.8,0.7,0.705983807799849
"77",100,20,0.05,0.8,0.7,0.702308272794639
"78",500,20,0.05,0.8,0.7,0.706034223368176
"79",50,10,0.1,0.8,0.7,0.712438300947333
