"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","ROC_AUC_valid"
"1",1000,10,0.01,0.6,0.6,0.742742959025747
"2",500,20,0.01,0.6,0.6,0.750401323928829
"3",50,40,0.01,0.6,0.6,0.738635690701289
"4",100,40,0.01,0.6,0.6,0.733553321265607
"5",1000,40,0.01,0.6,0.6,0.764871392285938
"6",500,20,0.05,0.6,0.6,0.766771178940057
"7",50,30,0.05,0.6,0.6,0.743805687196206
"8",100,30,0.05,0.6,0.6,0.757497115109146
"9",1000,40,0.05,0.6,0.6,0.770943667404494
"10",100,10,0.1,0.6,0.6,0.732804289964741
"11",500,20,0.1,0.6,0.6,0.76153596230516
"12",50,30,0.1,0.6,0.6,0.762359816711401
"13",500,30,0.1,0.6,0.6,0.758623062801793
"14",500,10,0.01,0.7,0.6,0.738268777398461
"15",500,40,0.01,0.7,0.6,0.753535091636297
"16",1000,40,0.01,0.7,0.6,0.764871392285938
"17",500,10,0.05,0.7,0.6,0.76429841535066
"18",50,20,0.05,0.7,0.6,0.761605983927837
"19",1000,20,0.05,0.7,0.6,0.769638464357794
"20",100,30,0.05,0.7,0.6,0.757497115109146
"21",1000,30,0.05,0.7,0.6,0.775493072260714
"22",100,40,0.05,0.7,0.6,0.762096535410135
"23",50,10,0.1,0.7,0.6,0.740932800048655
"24",50,20,0.1,0.7,0.6,0.755534909179955
"25",100,20,0.1,0.7,0.6,0.765794877458159
"26",50,30,0.1,0.7,0.6,0.762359816711401
"27",100,30,0.1,0.7,0.6,0.761450335863715
"28",500,30,0.1,0.7,0.6,0.758623062801793
"29",100,40,0.1,0.7,0.6,0.759565753904806
"30",100,10,0.01,0.8,0.6,0.710459789983147
"31",100,20,0.01,0.8,0.6,0.72615183568686
"32",500,30,0.01,0.8,0.6,0.750447738261575
"33",50,40,0.01,0.8,0.6,0.738635690701289
"34",100,40,0.01,0.8,0.6,0.733553321265607
"35",50,10,0.05,0.8,0.6,0.738624887365218
"36",1000,10,0.05,0.8,0.6,0.768162008428203
"37",100,20,0.05,0.8,0.6,0.766048555794029
"38",50,30,0.05,0.8,0.6,0.743805687196206
"39",500,40,0.05,0.8,0.6,0.769645666581841
"40",500,20,0.1,0.8,0.6,0.76153596230516
"41",1000,20,0.1,0.8,0.6,0.763966312797392
"42",50,30,0.1,0.8,0.6,0.762359816711401
"43",50,40,0.1,0.8,0.6,0.752783259470524
"44",500,40,0.1,0.8,0.6,0.762866573197803
"45",500,20,0.01,0.6,0.7,0.761828852749729
"46",50,30,0.01,0.6,0.7,0.747620465199654
"47",100,30,0.01,0.6,0.7,0.739877674225801
"48",100,40,0.01,0.6,0.7,0.745788299426863
"49",500,40,0.01,0.6,0.7,0.764950616750453
"50",1000,40,0.01,0.6,0.7,0.767606636929484
"51",50,20,0.05,0.6,0.7,0.758488221162695
"52",100,20,0.05,0.6,0.7,0.75912241700237
"53",100,40,0.05,0.6,0.7,0.760722911234989
"54",100,10,0.1,0.6,0.7,0.739045817348397
"55",500,10,0.1,0.6,0.7,0.763178069387827
"56",500,10,0.01,0.7,0.7,0.736976778429179
"57",50,20,0.01,0.7,0.7,0.729436449975753
"58",500,20,0.01,0.7,0.7,0.761828852749729
"59",50,10,0.05,0.7,0.7,0.753987231257012
"60",100,10,0.05,0.7,0.7,0.762737533350299
"61",500,10,0.05,0.7,0.7,0.779082180577362
"62",1000,10,0.05,0.7,0.7,0.783438725878551
"63",100,20,0.05,0.7,0.7,0.75912241700237
"64",50,30,0.05,0.7,0.7,0.751325209224609
"65",500,40,0.05,0.7,0.7,0.762097735780809
"66",1000,40,0.05,0.7,0.7,0.763752646817337
"67",50,20,0.1,0.7,0.7,0.752598402386657
"68",1000,20,0.1,0.7,0.7,0.766690353981309
"69",500,30,0.1,0.7,0.7,0.768959854803163
"70",1000,30,0.1,0.7,0.7,0.765398154950249
"71",1000,40,0.1,0.7,0.7,0.771674293021685
"72",500,10,0.01,0.8,0.7,0.736976778429179
"73",1000,10,0.01,0.8,0.7,0.741845081761248
"74",100,40,0.01,0.8,0.7,0.745788299426863
"75",500,40,0.01,0.8,0.7,0.764950616750453
"76",1000,40,0.01,0.8,0.7,0.767606636929484
"77",100,20,0.05,0.8,0.7,0.75912241700237
"78",500,20,0.05,0.8,0.7,0.770251453648887
"79",50,10,0.1,0.8,0.7,0.737098415990858
"80",50,20,0.1,0.8,0.7,0.752598402386657
"81",100,20,0.1,0.8,0.7,0.7612974886645
"82",1000,20,0.1,0.8,0.7,0.766690353981309
"83",100,40,0.1,0.8,0.7,0.758627064037375
"84",100,10,0.01,0.6,0.8,0.721017450188618
