"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"1",1000,4,5,0.827498906334365,"0.819096133751306, 0.827445166726215, 0.826766324260229, 0.833929295191774, 0.830257611742303"
"2",50,6,10,0.828830897287362,"0.821571183332267, 0.828215738869365, 0.829233782325433, 0.829910885703315, 0.835222896206432"
"3",900,3,20,0.827673875182598,"0.818577666176188, 0.826655930205895, 0.828810104320716, 0.834474593626008, 0.829851081584184"
"4",50,5,10,0.827384719800944,"0.820327660844902, 0.824384208870379, 0.827898796914345, 0.832936025427706, 0.831376906947386"
"5",1000,6,20,0.827832929454538,"0.818209807433945, 0.828385051433691, 0.827608350986584, 0.83517588207688, 0.829785555341592"
"6",750,6,20,0.827766948745694,"0.820259686946879, 0.827775792836079, 0.826887565450258, 0.83472657749904, 0.829185120996213"
"7",900,3,17,0.828161111470816,"0.81876159554731, 0.82903297195544, 0.828462368599864, 0.834599918938521, 0.829948702312943"
"8",1000,3,17,0.828282506259608,"0.819050817819291, 0.828409048490052, 0.829025940285383, 0.835157216604804, 0.829769508098509"
"9",1000,5,20,0.827937520564252,"0.819090802465187, 0.82814508087008, 0.827349880757291, 0.835179881820897, 0.829921956907803"
"10",50,4,17,0.828086998951767,"0.816884982833259, 0.827151869370691, 0.829219126796968, 0.834605251930543, 0.832573763827374"
"11",50,5,17,0.827492328316413,"0.817723327575544, 0.823801613668723, 0.830587420227294, 0.834721244507018, 0.830628035603483"
"12",100,5,15,0.82866201448943,"0.819106796323545, 0.829903531833428, 0.828049349161304, 0.834789240155297, 0.831461154973576"
"13",750,6,5,0.828797043249899,"0.820070426289638, 0.828541032300038, 0.829128528984638, 0.836058492256496, 0.830186736418683"
"14",1000,3,5,0.828324221594152,"0.819334708805152, 0.828673016110024, 0.828843412339955, 0.834367933785571, 0.830402036930055"
"15",1000,4,10,0.8280066237546,"0.818328428550103, 0.829008974899079, 0.827356542361139, 0.835411866973847, 0.829927305988831"
"16",100,4,5,0.829030432895114,"0.820131736080012, 0.827829119627992, 0.829585515008593, 0.835429199197918, 0.832176594561054"
"17",900,6,15,0.82772672340699,"0.818297773654917, 0.828330391471979, 0.82797340687744, 0.833842634071419, 0.830189410959197"
"18",50,4,10,0.827489874488108,"0.81756872027808, 0.827057214315044, 0.829012617077688, 0.832260068688937, 0.831550752080793"
"19",50,6,15,0.826922976604509,"0.816523788198665, 0.82784911717496, 0.828748817565317, 0.833646646614617, 0.827846513468986"
"20",500,6,15,0.828287468547253,"0.819124123003433, 0.828283730529055, 0.827661643817366, 0.83575184521524, 0.830616000171171"
"21",500,6,20,0.827846485150944,"0.819388021666347, 0.827129205484127, 0.827429820003464, 0.835069222236444, 0.830216156364337"
"22",750,5,17,0.827986868918,"0.819165440470859, 0.827266521973305, 0.828735494357622, 0.834946563419941, 0.829820324368274"
"23",750,3,20,0.82779626845749,"0.818720278079884, 0.827667806082454, 0.827645655968131, 0.835329205597508, 0.829618396559471"
"24",900,5,15,0.827994215703874,"0.819145448147911, 0.828061091172816, 0.8276776316666, 0.835253210461197, 0.829833697070843"
"25",50,5,5,0.828159397700899,"0.821007399825134, 0.824676173056105, 0.831909082430686, 0.833379997013524, 0.829824336179044"
"26",500,3,10,0.828330206265443,"0.819370694986459, 0.828346389509554, 0.828206563012111, 0.834391932249669, 0.83133545156942"
"27",50,6,17,0.826616669450112,"0.816438487620754, 0.829647563232244, 0.828520990713724, 0.829648235846239, 0.828828069837602"
"28",500,6,17,0.82877022606958,"0.819631928006312, 0.827641142686497, 0.828041355236687, 0.836702451043133, 0.83183425337527"
"29",50,5,20,0.826307645612234,"0.816719712963555, 0.827657140724071, 0.824488055744301, 0.832089412944238, 0.830583905685003"
"30",900,4,20,0.827913493281631,"0.819170771756979, 0.828431712376615, 0.827106066056464, 0.834583919962456, 0.830274996255643"
"31",900,4,10,0.827918892929382,"0.818932196703133, 0.828122416983517, 0.828213224615959, 0.834602585434532, 0.829724040909772"
"32",500,5,15,0.828190844087985,"0.820516921502143, 0.828944982748783, 0.827419161437308, 0.833070683476258, 0.831002471275435"
"33",100,6,5,0.828007503881923,"0.818588328748427, 0.825914687798297, 0.83068734428501, 0.833605315926447, 0.831241842651433"
"34",900,6,5,0.828378953057367,"0.819293391337726, 0.827690469969017, 0.829497581837803, 0.835213213021033, 0.830200109121253"
"35",500,3,15,0.828374756190646,"0.819345371377391, 0.827806455741429, 0.828433057542934, 0.835325205853492, 0.830963690437983"
"36",500,6,10,0.8281189270788,"0.819571951037468, 0.829072967049375, 0.827209987076489, 0.834639916378685, 0.83009981385198"
"37",1000,6,17,0.828289277291088,"0.819268067728659, 0.828181076454622, 0.828594268356049, 0.835097220444558, 0.830305753471554"
"38",1000,5,17,0.828060389034213,"0.818780255048728, 0.827899777627278, 0.827920114046658, 0.835337205085541, 0.83036459336286"
"39",100,6,17,0.828837929127856,"0.82183641481671, 0.827138537672712, 0.828608923884514, 0.834458594649942, 0.832147174615401"
"40",750,4,17,0.828552189690492,"0.818598991320666, 0.828623688827504, 0.828955327284597, 0.834933230939886, 0.831649710079808"
"41",250,4,10,0.82858453912333,"0.820117075043183, 0.828101086266751, 0.827940098858201, 0.835943832928026, 0.830820602520487"
"42",750,3,17,0.828135031514446,"0.819173437400038, 0.828565029356399, 0.827897464593576, 0.835543858526388, 0.82949536769583"
"43",900,3,10,0.828147367181622,"0.817805962510396, 0.829467585309535, 0.828243867993658, 0.834769241435215, 0.830450178659306"
"44",100,4,17,0.829425582406246,"0.82015172840296, 0.829252944972083, 0.82888871124612, 0.837274414437476, 0.831560112972591"
"45",900,4,15,0.82778940119035,"0.818732273473653, 0.82776912698709, 0.827680296308139, 0.835026558300269, 0.829738750882598"
"46",250,5,20,0.828878376921707,"0.820615550295353, 0.828910320334039, 0.828928680869206, 0.834835903835488, 0.831101429274451"
"47",100,6,20,0.830166111495032,"0.822444181434329, 0.827110541106958, 0.833441251315667, 0.83539053500576, 0.832444048612448"
"48",1000,3,15,0.827808827004105,"0.819172104578509, 0.827271854652496, 0.827902793876654, 0.834935897435897, 0.829761484476967"
"49",900,4,5,0.828188140862133,"0.81915477789862, 0.827946438570202, 0.828754146848395, 0.835329205597508, 0.829756135395939"
"50",750,6,15,0.828799306421188,"0.819523969462393, 0.82927960836804, 0.828482353411407, 0.835614520670677, 0.831096080193423"
"51",500,6,5,0.82873919669983,"0.819721227048813, 0.827865115212534, 0.82883008913226, 0.835411866973847, 0.831867685131694"
"52",100,5,17,0.828506467106355,"0.817383458085429, 0.827643809026093, 0.829100550248478, 0.83530520713341, 0.833099311038364"
"53",1000,5,5,0.828301248971717,"0.818829569445333, 0.827881113250108, 0.829224456080046, 0.834774574427237, 0.830796531655862"
"54",100,6,15,0.829047258397087,"0.820442283496471, 0.828265066151885, 0.828906031416124, 0.835074555228465, 0.832548355692492"
"55",750,6,17,0.82804256836528,"0.820496929179195, 0.827419836500056, 0.82835711525907, 0.834111950168523, 0.829827010719558"
"56",750,5,10,0.828369471505407,"0.820283677734417, 0.827643809026093, 0.82847435948679, 0.834738576731089, 0.830706934548645"
"57",100,3,20,0.828275116509072,"0.819234747190412, 0.827398505783291, 0.828485018052946, 0.832053415248091, 0.834203896270621"
"58",100,5,5,0.828153035551852,"0.818043204742712, 0.825750707913163, 0.828547637129115, 0.835619853662699, 0.832803774311573"
"59",900,3,5,0.827838449030571,"0.818187149467938, 0.828545031809431, 0.827657646855057, 0.834694579546909, 0.830107837473522"
"60",500,4,17,0.828365789177273,"0.819032158317873, 0.828844995013945, 0.827982733122827, 0.835401200989803, 0.83056785844192"
"61",500,4,10,0.828569214187898,"0.820684857014906, 0.828482372828933, 0.827852165687411, 0.835167882588848, 0.830658792819394"
"62",250,3,10,0.828732837038967,"0.81906281321306, 0.828125083323112, 0.829485590950877, 0.835413200221853, 0.831577497485932"
"63",900,6,20,0.827962345195499,"0.819413345275414, 0.826881235901729, 0.828498341260642, 0.834334602585435, 0.830684200954276"
"64",1000,4,17,0.82825380189917,"0.819380024737168, 0.828621022487908, 0.828004050255139, 0.834649249114723, 0.830614662900914"
