"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"1",1000,4,5,0.827498906334365,"0.819096133751306, 0.827445166726215, 0.826766324260229, 0.833929295191774, 0.830257611742303"
"2",50,6,10,0.829203384803286,"0.81955062589299, 0.828629021506695, 0.829060580625391, 0.833837301079398, 0.834939394911954"
"3",900,3,20,0.828072658772782,"0.819402682703175, 0.828049092644636, 0.8276776316666, 0.834406597977729, 0.830827288871772"
"4",50,5,10,0.827927557198075,"0.821008732646664, 0.827523823744287, 0.825799059381537, 0.833053351252186, 0.832252818965702"
"5",1000,6,20,0.827827118895145,"0.819378691915638, 0.827790457703855, 0.82826918208828, 0.834439929177866, 0.829257333590089"
"6",750,6,20,0.828188233656848,"0.819825187128143, 0.827653141214678, 0.828489015015255, 0.834615917914587, 0.830357907011575"
"7",900,3,17,0.827635528901488,"0.819138784040262, 0.826918564656069, 0.828205230691341, 0.833610648918469, 0.830304416201297"
"8",1000,3,17,0.827986322325996,"0.819022828567164, 0.82820640668078, 0.828343792051374, 0.833761305943086, 0.830597278387573"
"9",1000,5,20,0.828323798791671,"0.819266734907129, 0.828170411096239, 0.828441051467551, 0.835265209693246, 0.830475586794189"
"10",50,4,17,0.827619609228304,"0.81905614910541, 0.824970803581427, 0.829311056930066, 0.835001226588165, 0.829758809936453"
"11",50,5,17,0.827903656273416,"0.818653637003391, 0.827133204993521, 0.828898037491506, 0.833289336149153, 0.831544065729508"
"12",100,5,15,0.828122473618178,"0.819895826669226, 0.827657140724071, 0.828338462768296, 0.835106553180596, 0.8296143847487"
"13",750,6,5,0.827932193121407,"0.819350702663511, 0.828003764871509, 0.828511664468337, 0.833126679892487, 0.830668153711192"
"14",1000,3,5,0.828065648985274,"0.818936195167722, 0.828141081360686, 0.828662216715296, 0.833709309270873, 0.830879442411794"
"15",1000,4,10,0.828157642567369,"0.819185432793807, 0.828002431701711, 0.827846836404333, 0.834153280856692, 0.8316002310803"
"16",100,4,5,0.828275449595188,"0.820442283496471, 0.82661593511196, 0.82906590990847, 0.834237275481036, 0.831015843978005"
