"","n.trees","max_depth","min_samples_split","ROC_AUC_valid"
"1",1000,4,5,0.725126719130868
"2",50,6,10,0.733107983745381
"3",900,3,20,0.724780612253064
"4",50,5,10,0.715904671362517
"5",1000,6,20,0.72583093659322
"6",750,6,20,0.731696747955769
"7",900,3,17,0.72887547674722
"8",1000,3,17,0.731025740748743
"9",1000,5,20,0.733406876043322
"10",50,4,17,0.6957940612061
"11",50,5,17,0.718863585075071
"12",100,5,15,0.729570091244176
"13",750,6,5,0.731611521637882
"14",1000,3,5,0.727378214392604
"15",1000,4,10,0.725787323125381
"16",100,4,5,0.72264555294675
"17",900,6,15,0.72782795327197
"18",50,4,10,0.738181950586341
"19",50,6,15,0.735964865950606
"20",500,6,15,0.727777537703643
"21",500,6,20,0.738417223238536
"22",750,5,17,0.723264544091215
"23",750,3,20,0.733655352772936
"24",900,5,15,0.731470678145411
"25",50,5,5,0.732384560352237
"26",500,3,10,0.726884061798283
"27",50,6,17,0.727049312827801
"28",500,6,17,0.728384125017805
"29",50,5,20,0.728969505783386
"30",900,4,20,0.731168184735446
"31",900,4,10,0.726622781114808
"32",500,5,15,0.729410441944472
"33",100,6,5,0.707346028453587
"34",900,6,5,0.727282984985764
"35",500,3,15,0.732084867807179
"36",500,6,10,0.726655191123019
"37",1000,6,17,0.726800435974629
"38",1000,5,17,0.726874858956446
"39",100,6,17,0.736521437819999
"40",750,4,17,0.725196340629987
"41",250,4,10,0.727514256402377
"42",750,3,17,0.721820098046277
"43",900,3,10,0.72601739417132
"44",100,4,17,0.727980000224069
"45",900,4,15,0.722535118844699
"46",250,5,20,0.722681163943426
"47",100,6,20,0.726018194418436
"48",1000,3,15,0.722630748375098
"49",900,4,5,0.729489266285429
"50",750,6,15,0.729443652199799
"51",500,6,5,0.723162912707444
"52",100,5,17,0.723785905087491
"53",1000,5,5,0.731400656522734
"54",100,6,15,0.725349187829202
"55",750,6,17,0.722453493638836
"56",750,5,10,0.731261413524496
"57",100,3,20,0.720660539974744
"58",100,5,5,0.717957705339409
"59",900,3,5,0.727938387374021
"60",500,4,17,0.72743783280277
"61",500,4,10,0.723281749404216
"62",250,3,10,0.731964830739732
"63",900,6,20,0.723941153028055
"64",1000,4,17,0.721127484167111
"65",500,3,5,0.726796034615489
"66",750,5,20,0.723988767731475
"67",250,5,17,0.719786270000176
"68",50,6,20,0.72482262522667
"69",250,6,10,0.715234464402608
"70",50,6,5,0.735096197705852
"71",250,3,20,0.718532682892477
"72",250,5,15,0.728050822093863
"73",1000,3,10,0.729377631812704
"74",750,4,10,0.726967287498379
"75",100,3,10,0.734428391487291
"76",750,4,5,0.723172115549282
"77",250,3,17,0.716815352580877
"78",50,3,15,0.701273353211472
"79",500,5,10,0.73819515466376
"80",250,4,15,0.726069010110322
"81",750,4,15,0.72643592341315
"82",250,6,20,0.733911431850155
"83",50,3,10,0.71447943124837
"84",1000,4,15,0.727736725100711
"85",900,5,17,0.723104094544395
"86",250,3,5,0.729602901375945
"87",250,6,17,0.729294005989049
"88",500,3,20,0.731292223038474
"89",500,3,17,0.72925479388035
"90",100,4,10,0.734940549641729
"91",50,4,5,0.724010774527174
"92",250,4,5,0.731272216860567
"93",1000,4,20,0.727542665175006
"94",100,5,10,0.714509840638789
"95",1000,5,15,0.731683143754791
"96",1000,5,10,0.724636967895686
"97",50,5,15,0.715081617203392
"98",100,4,15,0.739408729415644
"99",900,5,5,0.732014846184502
"100",250,5,5,0.716841360612157
"101",1000,6,15,0.729300007842422
"102",750,3,15,0.730131064472709
"103",1000,3,20,0.725918163528898
"104",250,6,5,0.722561126875979
"105",750,6,10,0.723278548415751
"106",1000,6,10,0.731633928557138
"107",100,3,15,0.744432280688276
"108",500,5,20,0.718988423625215
"109",500,4,20,0.722510311184094
"110",100,5,20,0.742938619445685
"111",900,5,20,0.730568799645331
"112",250,3,15,0.733919434321318
"113",500,4,15,0.725636876667515
"114",500,5,17,0.725578458628024
"115",250,5,10,0.735761203059505
"116",750,3,5,0.723975563654056
"117",250,6,15,0.728282893757592
"118",750,4,20,0.727374613280581
"119",100,4,20,0.730425555411511
"120",500,4,5,0.721376361020283
