"","n.trees","max_depth","min_samples_split","ROC_AUC_valid"
"1",1000,4,5,0.726561162086852
"2",50,6,10,0.715102023504858
"3",900,3,20,0.725716901379146
"4",50,5,10,0.73052118494191
"5",1000,6,20,0.72519554038287
"6",750,6,20,0.719116063040267
"7",900,3,17,0.731693546967303
"8",1000,3,17,0.725075103191866
"9",1000,5,20,0.722902032147527
"10",50,4,17,0.708521191343887
"11",50,5,17,0.738778134687992
"12",100,5,15,0.725946172177969
"13",750,6,5,0.719339331985717
"14",1000,3,5,0.726165439887837
"15",1000,4,10,0.724403695861282
"16",100,4,5,0.721468389438659
"17",900,6,15,0.727349005372859
"18",50,4,10,0.723196523086329
"19",50,6,15,0.693334901817681
"20",500,6,15,0.72313770492328
"21",500,6,20,0.732591824355361
"22",750,5,17,0.719344533591973
"23",750,3,20,0.721834902617928
"24",900,5,15,0.727586678766403
"25",50,5,5,0.720182792446307
"26",500,3,10,0.723024870079881
"27",50,6,17,0.708105462966964
"28",500,6,17,0.72548843082744
"29",50,5,20,0.700031769810518
"30",900,4,20,0.725094709246215
"31",900,4,10,0.720495288945226
"32",500,5,15,0.728957502076641
"33",100,6,5,0.736975978182063
"34",900,6,5,0.730996531728998
"35",500,3,15,0.729287604012119
"36",500,6,10,0.717650810570304
"37",1000,6,17,0.717419139030133
"38",1000,5,17,0.719541794506144
"39",100,6,17,0.728987111219945
"40",750,4,17,0.726006990958808
"41",250,4,10,0.715050807689415
"42",750,3,17,0.723668668884952
"43",900,3,10,0.731335036259197
"44",100,4,17,0.721582424652733
"45",900,4,15,0.722862820038828
"46",250,5,20,0.732139284611088
"47",100,6,20,0.724183627904297
"48",1000,3,15,0.717875680009987
"49",900,4,5,0.726194248784024
"50",750,6,15,0.725141123578961
"51",500,6,5,0.724958667236443
"52",100,5,17,0.712934154066776
"53",1000,5,5,0.725786122754707
"54",100,6,15,0.740728336910438
"55",750,6,17,0.72423284310195
"56",750,5,10,0.720209600724704
"57",100,3,20,0.715633787713646
"58",100,5,5,0.704482344147873
"59",900,3,5,0.724350879551605
"60",500,4,17,0.721737272469739
"61",500,4,10,0.722178608754383
"62",250,3,10,0.719272911475064
"63",900,6,20,0.721924130171397
"64",1000,4,17,0.723378579305289
"65",500,3,5,0.725446017730275
"66",750,5,20,0.721300337544234
"67",250,5,17,0.726120626049324
"68",50,6,20,0.69761342302503
"69",250,6,10,0.724627765053849
"70",50,6,5,0.722598738490446
"71",250,3,20,0.729833772669
"72",250,5,15,0.717589991789465
"73",1000,3,10,0.715682202664183
"74",750,4,10,0.724828226956484
"75",100,3,10,0.723310958423961
"76",750,4,5,0.727349405496417
"77",250,3,17,0.733911431850155
"78",50,3,15,0.711610945459958
"79",500,5,10,0.722982456982716
"80",250,4,15,0.735691181436828
"81",750,4,15,0.730144668673686
"82",250,6,20,0.726392710068869
"83",50,3,10,0.737520146221153
"84",1000,4,15,0.731031742602116
"85",900,5,17,0.72330255582924
"86",250,3,5,0.72261074219719
"87",250,6,17,0.734410786050733
"88",500,3,20,0.729524077034988
"89",500,3,17,0.722015758466214
"90",100,4,10,0.723347769791312
"91",50,4,5,0.727575075183217
"92",250,4,5,0.710020454316293
"93",1000,4,20,0.72962770903655
"94",100,5,10,0.722659157147727
"95",1000,5,15,0.728454946887599
"96",1000,5,10,0.722158202452918
"97",50,5,15,0.71380282231153
"98",100,4,15,0.710909528862513
"99",900,5,5,0.72621465508549
"100",250,5,5,0.729664920527459
"101",1000,6,15,0.72795599281058
"102",750,3,15,0.725897357103874
"103",1000,3,20,0.723330164354753
"104",250,6,5,0.7263426946241
"105",750,6,10,0.728039218510676
"106",1000,6,10,0.72691087007668
"107",100,3,15,0.704746025572697
"108",500,5,20,0.729361226746819
"109",500,4,20,0.717647209458281
"110",100,5,20,0.703065106504889
"111",900,5,20,0.731815584652541
"112",250,3,15,0.71308940200734
"113",500,4,15,0.732464585063868
"114",500,5,17,0.722483502905697
"115",250,5,10,0.732304935764164
"116",750,3,5,0.728989511961294
"117",250,6,15,0.726867656732399
"118",750,4,20,0.726807638198676
"119",100,4,20,0.722524315508629
"120",500,4,5,0.73018508115306
