"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"1",1000,4,5,0.804379937416393,"0.80791655532793, 0.782793462109955, 0.73392479642969, 0.888593544543064, 0.808671328671329"
"2",50,6,10,0.801074047287731,"0.803448160684065, 0.787807009876759, 0.729948813811463, 0.882274459648258, 0.801891792418108"
"3",900,3,20,0.803741496036293,"0.807753258513702, 0.779624158727384, 0.732853116191669, 0.886639135437212, 0.811837811311496"
"4",50,5,10,0.800826451060435,"0.804523507318666, 0.772673717332401, 0.732197384904478, 0.893437191814596, 0.801300453932033"
"5",1000,6,20,0.804042743755093,"0.808553041774294, 0.779989511406346, 0.736224749451926, 0.886826614891519, 0.80861980125138"
"6",750,6,20,0.803746733985871,"0.808313663489801, 0.778641727121755, 0.73569135609145, 0.888534475673899, 0.807552447552448"
"7",900,3,17,0.80437605802464,"0.80880077046406, 0.778991346910235, 0.735365937206389, 0.887957912146614, 0.810764323395902"
"8",1000,3,17,0.803365528297257,"0.808857367655355, 0.779853159688838, 0.731977176636392, 0.886174289119001, 0.809965648386701"
"9",1000,5,20,0.805863944996724,"0.810409615213325, 0.784940127611223, 0.735199557626057, 0.887773000904011, 0.810997423629003"
"10",50,4,17,0.801335590686385,"0.803084454143286, 0.784789791102176, 0.731181980112747, 0.87989629561144, 0.807725432462275"
"11",50,5,17,0.805826511266878,"0.8056368946884, 0.781115287125251, 0.745458816160351, 0.892449714414859, 0.804471843945528"
"12",100,5,15,0.803493468384647,"0.807472128202844, 0.772630014858841, 0.739065436110241, 0.885141868014464, 0.813157894736842"
"13",750,6,5,0.804811647480703,"0.808566031293608, 0.780040206275675, 0.737112922799875, 0.889159835223537, 0.809179241810821"
"14",1000,3,5,0.804639950448699,"0.809229424601407, 0.783013722576698, 0.73317853507673, 0.887529020792242, 0.810249049196418"
"15",1000,4,10,0.805263673147394,"0.808308096552953, 0.786134079188882, 0.735106580801754, 0.888106868425378, 0.808662740768004"
"16",100,4,5,0.804089400064899,"0.805396588581099, 0.781873962066253, 0.732400465862825, 0.886390018902038, 0.814385964912281"
