"","n.trees","max_depth","min_samples_split","ROC_AUC_valid"
"1",1000,4,5,0.723006464396206
"2",50,6,10,0.724967069831164
"3",900,3,20,0.721126283796436
"4",50,5,10,0.741295311992343
"5",1000,6,20,0.72049889005725
"6",750,6,20,0.718327419507144
"7",900,3,17,0.716416829516955
"8",1000,3,17,0.717696424655934
"9",1000,5,20,0.723067283177045
"10",50,4,17,0.72895550145885
"11",50,5,17,0.713932062220814
"12",100,5,15,0.714862349493524
"13",750,6,5,0.728688218922003
"14",1000,3,5,0.720224805419914
"15",1000,4,10,0.720918619669754
"16",100,4,5,0.725455620695671
"17",900,6,15,0.720055153031256
"18",50,4,10,0.718242193189257
"19",50,6,15,0.704387914988148
"20",500,6,15,0.723991968719941
"21",500,6,20,0.723783504346142
"22",750,5,17,0.722748784824754
"23",750,3,20,0.718483067571266
"24",900,5,15,0.726571165175806
"25",50,5,5,0.703118723061681
"26",500,3,10,0.716869369261228
"27",50,6,17,0.710633843730944
"28",500,6,17,0.724073994049362
"29",50,5,20,0.711686168688891
"30",900,4,20,0.720811786679727
"31",900,4,10,0.717054226345095
"32",500,5,15,0.723104494667953
"33",100,6,5,0.736867144574245
"34",900,6,5,0.72114709022146
"35",500,3,15,0.718359029268238
"36",500,6,10,0.720718157767118
"37",1000,6,17,0.719047241788264
"38",1000,5,17,0.717135451427401
"39",100,6,17,0.721704862461528
"40",750,4,17,0.718092146854949
"41",250,4,10,0.719455367817582
"42",750,3,17,0.72272797839973
"43",900,3,10,0.720353245082081
"44",100,4,17,0.721041857725666
"45",900,4,15,0.722377870286344
"46",250,5,20,0.722887227575875
"47",100,6,20,0.716195561189295
"48",1000,3,15,0.720161185774167
"49",900,4,5,0.719748258262151
"50",750,6,15,0.723522623786225
"51",500,6,5,0.720575713780415
"52",100,5,17,0.726533953684898
"53",1000,5,5,0.724484520820029
"54",100,6,15,0.731078957181978
"55",750,6,17,0.718329020001376
"56",750,5,10,0.718132959457881
"57",100,3,20,0.703497239947696
"58",100,5,5,0.734128698942233
"59",900,3,5,0.718366631615843
"60",500,4,17,0.722328655088691
"61",500,4,10,0.723105695038628
"62",250,3,10,0.729903394168119
"63",900,6,20,0.717418338783016
"64",1000,4,17,0.719919111021483
"65",500,3,5,0.725343185975829
"66",750,5,20,0.720733762585887
"67",250,5,17,0.718013322513992
"68",50,6,20,0.715985096197706
"69",250,6,10,0.721885718309814
"70",50,6,5,0.714946375440736
"71",250,3,20,0.728816658584171
"72",250,5,15,0.725159929386194
"73",1000,3,10,0.724888645613766
"74",750,4,10,0.721302338162024
"75",100,3,10,0.739762038517494
"76",750,4,5,0.716534865966611
"77",250,3,17,0.714161733143195
"78",50,3,15,0.714847544921872
"79",500,5,10,0.725130720366449
"80",250,4,15,0.719326528031856
"81",750,4,15,0.719724250848662
"82",250,6,20,0.71764520884049
"83",50,3,10,0.712283953284774
"84",1000,4,15,0.721435179183332
"85",900,5,17,0.716129140678642
"86",250,3,5,0.729255594127467
"87",250,6,17,0.730564798409749
"88",500,3,20,0.713472720376052
"89",500,3,17,0.715455732730267
"90",100,4,10,0.716191960077272
"91",50,4,5,0.715026400152367
"92",250,4,5,0.718493470783778
"93",1000,4,20,0.721184301712369
"94",100,5,10,0.711819009710199
"95",1000,5,15,0.724302064477511
"96",1000,5,10,0.726387508462613
"97",50,5,15,0.720762571482074
"98",100,4,15,0.716112735612757
"99",900,5,5,0.721539211308452
"100",250,5,5,0.718829574572628
"101",1000,6,15,0.725472025761555
"102",750,3,15,0.719927513616205
"103",1000,3,20,0.71993071460467
"104",250,6,5,0.722433487460928
"105",750,6,10,0.718685129968134
"106",1000,6,10,0.720327637174359
"107",100,3,15,0.725718901996937
"108",500,5,20,0.719453767323349
"109",500,4,20,0.720114771441421
"110",100,5,20,0.715300884913261
"111",900,5,20,0.722330255582924
"112",250,3,15,0.719947519794112
"113",500,4,15,0.721126283796436
"114",500,5,17,0.719730652825593
"115",250,5,10,0.720059954513954
"116",750,3,5,0.720987040798199
"117",250,6,15,0.711032366794866
"118",750,4,20,0.719617417858635
"119",100,4,20,0.719172480461967
"120",500,4,5,0.711312053162016
