"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"1",1000,4,5,0.799209144521192,"0.849295774647887, 0.858046761066943, 0.752000941619586, 0.793533342216977, 0.743168903054569"
"2",50,6,10,0.79656537070017,"0.87112676056338, 0.856304640444817, 0.743187970809793, 0.789885972092669, 0.722321509590191"
"3",900,3,20,0.796627324472612,"0.843380281690141, 0.857655997948304, 0.749382062146893, 0.792189373893511, 0.74052890668421"
"4",50,5,10,0.79440798068582,"0.865492957746479, 0.857842653729246, 0.703463394538606, 0.801970265176753, 0.743270632238014"
"5",1000,6,20,0.798042310286017,"0.84830985915493, 0.857482241144094, 0.74972634180791, 0.794374750147532, 0.740318359175618"
"6",750,6,20,0.798485189323692,"0.846760563380282, 0.858604452119757, 0.750170668549906, 0.795549294702176, 0.741340967866339"
"7",900,3,17,0.796993003251212,"0.845915492957746, 0.857235643059516, 0.744691619585687, 0.794144409967448, 0.742977850685662"
"8",1000,3,17,0.797466907988429,"0.847605633802817, 0.856174891914163, 0.747587099811676, 0.79553406559936, 0.740432848814128"
"9",1000,5,20,0.798366098396094,"0.847887323943662, 0.855425992500383, 0.752368761770245, 0.79529801450572, 0.740850399260461"
"10",50,4,17,0.79287028419265,"0.866056338028169, 0.858816147090825, 0.732506473634652, 0.78493841731549, 0.722034044894117"
"11",50,5,17,0.800192453081586,"0.86830985915493, 0.856438182792158, 0.738318032015066, 0.787725343130723, 0.750170848315053"
"12",100,5,15,0.796682693095955,"0.860422535211268, 0.856656706633261, 0.73125, 0.792044697416763, 0.743039526218482"
"13",750,6,5,0.800027934002288,"0.855492957746479, 0.857657515474978, 0.754019538606403, 0.791892406388609, 0.741077251794971"
"14",1000,3,5,0.798819847298671,"0.853521126760563, 0.857070232652014, 0.753801789077213, 0.788983647750852, 0.740722440252714"
"15",1000,4,10,0.796574678557821,"0.838028169014085, 0.856244698141182, 0.752368761770245, 0.793567607698311, 0.742664156165285"
"16",100,4,5,0.798536131327971,"0.860281690140845, 0.854920656117833, 0.752612994350282, 0.785753174316118, 0.739112141714778"
"17",900,6,15,0.79662251588867,"0.843380281690141, 0.85580916798565, 0.75226577212806, 0.792014239211132, 0.739643118428366"
"18",50,4,10,0.796612030552939,"0.866619718309859, 0.853786304928775, 0.728104402071563, 0.792014239211132, 0.742535488243367"
"19",50,6,15,0.806091169512822,"0.879295774647887, 0.859454267057379, 0.755723281544256, 0.796592488245036, 0.739390036069553"
"20",500,6,15,0.79672323902212,"0.843380281690141, 0.858294117914858, 0.746448328625235, 0.795242809008014, 0.74025065787235"
"21",500,6,20,0.798662265486035,"0.852957746478873, 0.857094513078804, 0.748461040489642, 0.793301098399041, 0.741496928983814"
"22",750,5,17,0.795964921818106,"0.841971830985915, 0.855571675061118, 0.749699858757062, 0.790300965144391, 0.742280279142044"
"23",750,3,20,0.801186510687293,"0.86112676056338, 0.857008772821704, 0.750473752354049, 0.797709923664122, 0.739613344033211"
"24",900,5,15,0.79799137324231,"0.846478873239437, 0.856126331060584, 0.74967631826742, 0.796190820658278, 0.741484522985833"
"25",50,5,5,0.80106354598214,"0.875633802816901, 0.852024456459883, 0.735616760828625, 0.796068987835754, 0.745973721969534"
"26",500,3,10,0.798796502262515,"0.847887323943662, 0.857974678549912, 0.755867467043315, 0.792690030648569, 0.739563011127117"
"27",50,6,17,0.796884181719658,"0.857183098591549, 0.858785037794002, 0.741028130885122, 0.794447088385905, 0.73297755294171"
"28",500,6,17,0.799595372430029,"0.857183098591549, 0.859043017328637, 0.750191266478343, 0.790405665226247, 0.741153814525368"
"29",50,5,20,0.797877799550617,"0.862535211267606, 0.85759833193468, 0.733327448210923, 0.788338314519046, 0.747589691820832"
"30",900,4,20,0.795893013532055,"0.843380281690141, 0.854170239177379, 0.749764595103578, 0.792459690468485, 0.739690261220693"
"31",900,4,10,0.797942914139428,"0.84943661971831, 0.855206709895943, 0.746224693973635, 0.796150844263387, 0.742695702845865"
"32",500,5,15,0.798681746937244,"0.850422535211268, 0.858630250073221, 0.74714277306968, 0.78973939197807, 0.747473784353981"
"33",100,6,5,0.797401168675549,"0.863943661971831, 0.858580171692968, 0.731873822975518, 0.793521920389865, 0.739086266347561"
"34",900,6,5,0.795197370118655,"0.838591549295775, 0.857544459737741, 0.743132062146893, 0.794384268336792, 0.742334511076075"
"35",500,3,15,0.797820782103306,"0.853521126760563, 0.858327503501693, 0.751806732580038, 0.793527631303421, 0.731920916370813"
"36",500,6,10,0.79815746699121,"0.850140845070423, 0.855636928708114, 0.748349223163842, 0.792771887076203, 0.743888450937468"
"37",1000,6,17,0.796009386702004,"0.839154929577465, 0.855722668965214, 0.749873469868173, 0.794587957586949, 0.740707907512222"
"38",1000,5,17,0.795949879100018,"0.841408450704225, 0.855893390716075, 0.748346280602637, 0.795480763739506, 0.738620509737645"
"39",100,6,17,0.7999398197936,"0.862394366197183, 0.859046052381986, 0.742608286252354, 0.796489691801032, 0.739160702335447"
"40",750,4,17,0.801352263106432,"0.859154929577465, 0.856416937418717, 0.752115701506591, 0.794922997848889, 0.744150749180495"
"41",250,4,10,0.800650739198271,"0.86112676056338, 0.857311519393232, 0.747887241054614, 0.795513125582989, 0.741415049397139"
"42",750,3,17,0.800581895932435,"0.856056338028169, 0.856564137506127, 0.748469868173258, 0.798756924482686, 0.743062211471933"
"43",900,3,10,0.797446250037736,"0.843098591549296, 0.855897184532761, 0.748852401129944, 0.794310026460566, 0.745073046516112"
"44",100,4,17,0.798271668105898,"0.867746478873239, 0.854390280545156, 0.734719279661017, 0.798755020844835, 0.735747280605243"
"45",900,4,15,0.795931619348203,"0.84, 0.858594588196374, 0.745786252354049, 0.793028878186214, 0.742248378004378"
"46",250,5,20,0.801622195733573,"0.855492957746479, 0.857418505023772, 0.747701859698682, 0.802215834459652, 0.745281821739278"
"47",100,6,20,0.798584356910357,"0.865492957746479, 0.858835116174255, 0.739645127118644, 0.789933563038967, 0.739015020473441"
"48",1000,3,15,0.798983845564183,"0.849014084507042, 0.858115049767287, 0.749440913370998, 0.796550608212294, 0.741798571963295"
"49",900,4,5,0.797615500614504,"0.844225352112676, 0.856061836176925, 0.749791078154426, 0.797525270792484, 0.740473965836008"
"50",750,6,15,0.801015088827526,"0.861408450704225, 0.856144541380676, 0.751915607344633, 0.794656488549618, 0.740950356158479"
"51",500,6,5,0.798988503606525,"0.853661971830986, 0.855812203038999, 0.746730814500942, 0.795372256381946, 0.743365272279755"
"52",100,5,17,0.803777278971314,"0.865211267605634, 0.860858737994467, 0.750797434086629, 0.795216158078087, 0.746802797091751"
"53",1000,5,5,0.798158689056184,"0.851267605633803, 0.857534595814358, 0.750020597928437, 0.793421027583712, 0.738549618320611"
"54",100,6,15,0.803138861416852,"0.871830985915493, 0.856055007306891, 0.749938206214689, 0.792278844872552, 0.745591262774633"
"55",750,6,17,0.799135256561894,"0.848732394366197, 0.854636878629734, 0.757444679849341, 0.789522377262949, 0.745339952701247"
