"","n.trees","max_depth","min_samples_split","ROC_AUC_valid"
"1",1000,4,5,0.732540208416359
"2",50,6,10,0.717567984993766
"3",900,3,20,0.728388126253387
"4",50,5,10,0.736840736419406
"5",1000,6,20,0.727878768963856
"6",750,6,20,0.731910814059382
"7",900,3,17,0.733202012781547
"8",1000,3,17,0.732496194824962
"9",1000,5,20,0.729767752281905
"10",50,4,17,0.705402228208071
"11",50,5,17,0.692876360220036
"12",100,5,15,0.720123174036142
"13",750,6,5,0.727665903230918
"14",1000,3,5,0.727518657761517
"15",1000,4,10,0.730689236836335
"16",100,4,5,0.738838953468831
"17",900,6,15,0.725683291000261
"18",50,4,10,0.708201092497363
"19",50,6,15,0.705030113298987
"20",500,6,15,0.726649189269646
"21",500,6,20,0.724387290795398
"22",750,5,17,0.726861254755468
"23",750,3,20,0.727295788939625
"24",900,5,15,0.733961847418483
"25",50,5,5,0.717169461929844
"26",500,3,10,0.727146142728875
"27",50,6,17,0.714766319839567
"28",500,6,17,0.724957466865768
"29",50,5,20,0.737242060348236
"30",900,4,20,0.731815184528983
"31",900,4,10,0.729995022462937
"32",500,5,15,0.725309575596944
"33",100,6,5,0.71879876505865
"34",900,6,5,0.726858453890561
"35",500,3,15,0.717037821279211
"36",500,6,10,0.725002280704281
"37",1000,6,17,0.729738543262159
"38",1000,5,17,0.727923182678811
"39",100,6,17,0.731014937412673
"40",750,4,17,0.726566363693108
"41",250,4,10,0.73051478296498
"42",750,3,17,0.726892464393005
"43",900,3,10,0.726579967894086
"44",100,4,17,0.720161986021283
"45",900,4,15,0.727933585891323
"46",250,5,20,0.727274982514601
"47",100,6,20,0.713059392740478
"48",1000,3,15,0.73211287645625
"49",900,4,5,0.72667879841295
"50",750,6,15,0.730004225304774
"51",500,6,5,0.723832319420237
"52",100,5,17,0.714889557895478
"53",1000,5,5,0.733522511751629
"54",100,6,15,0.726296280291354
"55",750,6,17,0.722986858341856
"56",750,5,10,0.731460274932899
"57",100,3,20,0.718594301920433
"58",100,5,5,0.739751635304982
"59",900,3,5,0.727759132019968
"60",500,4,17,0.722570329717817
"61",500,4,10,0.736759911460659
"62",250,3,10,0.737387305199846
"63",900,6,20,0.727133338775014
"64",1000,4,17,0.726846850307375
"65",500,3,5,0.720888210279334
"66",750,5,20,0.726443125637197
"67",250,5,17,0.724735398290992
"68",50,6,20,0.729616505576922
"69",250,6,10,0.731235805616774
"70",50,6,5,0.721070666621853
"71",250,3,20,0.728963904053572
"72",250,5,15,0.732829497748905
"73",1000,3,10,0.733668956973914
"74",750,4,10,0.724554542442706
"75",100,3,10,0.727741126459851
"76",750,4,5,0.726841648701119
"77",250,3,17,0.718428650767357
"78",50,3,15,0.72593937007748
"79",500,5,10,0.726905668470424
"80",250,4,15,0.721598029471501
"81",750,4,15,0.736182533166242
"82",250,6,20,0.72826608856815
"83",50,3,10,0.738269177522019
"84",1000,4,15,0.728825061178892
"85",900,5,17,0.723670669502742
"86",250,3,5,0.720664141086768
"87",250,6,17,0.721728469751459
"88",500,3,20,0.725374795736924
"89",500,3,17,0.729456856277218
"90",100,4,10,0.72327014582103
"91",50,4,5,0.722844014231595
"92",250,4,5,0.726521149731037
"93",1000,4,20,0.722378270409903
"94",100,5,10,0.727012901584009
"95",1000,5,15,0.727332600306975
"96",1000,5,10,0.726766025348628
"97",50,5,15,0.709474285659412
"98",100,4,15,0.729707333624623
"99",900,5,5,0.7317767726674
"100",250,5,5,0.738253572703251
"101",1000,6,15,0.718842378526489
"102",750,3,15,0.733283237863852
"103",1000,3,20,0.730075847421684
"104",250,6,5,0.729616105453364
"105",750,6,10,0.734079883868138
"106",1000,6,10,0.72573330644503
"107",100,3,15,0.718728343312415
"108",500,5,20,0.72803401690442
"109",500,4,20,0.726196249401815
"110",100,5,20,0.721051060567503
"111",900,5,20,0.729927801705167
"112",250,3,15,0.733051566323681
"113",500,4,15,0.726619580126343
"114",500,5,17,0.72311609825114
"115",250,5,10,0.731671140048047
"116",750,3,5,0.729316012784748
"117",250,6,15,0.729269598452002
"118",750,4,20,0.728481755165995
"119",100,4,20,0.722414681653695
"120",500,4,5,0.724810621519925
