"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"1",250,3,5,0.776265375905549,NA
"2",500,3,5,0.781668812904769,NA
"3",750,3,5,0.780687692468328,NA
"4",900,3,5,0.781611541202441,NA
"5",1000,3,5,0.780760450176842,NA
"6",50,4,5,0.774945542331033,NA
"7",100,4,5,0.777953220291283,NA
"8",250,4,5,0.781054046313046,NA
"9",500,4,5,0.782781830022159,NA
"10",750,4,5,0.781743488178416,NA
"11",900,4,5,0.779537154075728,NA
"12",1000,4,5,0.779422721360634,NA
"13",50,5,5,0.773164255705434,NA
"14",100,5,5,0.778349125942055,NA
"15",250,5,5,0.781920470070751,NA
"16",900,5,5,0.779847079220834,NA
"17",1000,5,5,0.779176568058818,NA
"18",50,6,5,0.776011562479624,NA
"19",100,6,5,0.779299889988898,NA
"20",250,6,5,0.779504856248214,NA
"21",500,6,5,0.780327650169616,NA
"22",750,6,5,0.781474536579929,NA
"23",900,6,5,0.781763051885703,NA
"24",50,3,10,0.772380275069811,NA
"25",100,3,10,0.773533592843,NA
"26",250,3,10,0.779275759303596,NA
"27",500,3,10,0.780923457622373,NA
"28",900,3,10,0.780745522380748,NA
"29",1000,3,10,0.780271135195072,NA
"30",50,4,10,0.779281546230118,NA
"31",100,4,10,0.777469140872993,NA
"32",250,4,10,0.782144950650983,NA
"33",500,4,10,0.781904471986176,NA
"34",750,4,10,0.780140462067197,NA
"35",900,4,10,0.779944433492015,NA
"36",1000,4,10,0.780087272046577,NA
"37",50,5,10,0.77351803273183,NA
"38",100,5,10,0.774078330844799,NA
"39",250,5,10,0.779134969421026,NA
"40",500,5,10,0.779160224925501,NA
"41",750,5,10,0.78209795893317,NA
"42",1000,5,10,0.781581209049478,NA
"43",50,6,10,0.777771530144056,NA
"44",250,6,10,0.777034489702414,NA
"45",500,6,10,0.779880344711834,NA
"46",750,6,10,0.780576269222495,NA
"47",1000,6,10,0.779643675186656,NA
"48",50,3,15,0.77507781588875,NA
"49",100,3,15,0.776489981057411,NA
"50",250,3,15,0.778987837576937,NA
"51",500,3,15,0.781962771629788,NA
"52",750,3,15,0.779701323136534,NA
"53",1000,3,15,0.780668929117728,NA
"54",100,4,15,0.776545016478238,NA
"55",250,4,15,0.782646249615372,NA
"56",500,4,15,0.779584855811545,NA
"57",750,4,15,0.779584908429385,NA
"58",900,4,15,0.780364279945042,NA
"59",1000,4,15,0.780878149196512,NA
"60",50,5,15,0.779501641754648,NA
"61",100,5,15,0.777911953590302,NA
"62",250,5,15,0.776453232560844,NA
"63",500,5,15,0.779816580309275,NA
"64",900,5,15,0.78108364388352,NA
"65",1000,5,15,0.780848259071461,NA
"66",50,6,15,0.771081523156164,NA
"67",100,6,15,0.779920282686285,NA
"68",250,6,15,0.780515063631768,NA
"69",500,6,15,0.779703663988042,NA
"70",750,6,15,0.781557851338966,NA
"71",900,6,15,0.779809306021236,NA
"72",1000,6,15,0.780885526584284,NA
"73",250,3,17,0.779105529058315,NA
"74",500,3,17,0.780182793806895,NA
"75",750,3,17,0.77883475128588,NA
"76",900,3,17,0.780312192290381,NA
"77",1000,3,17,0.780216346731919,NA
"78",50,4,17,0.775261267933868,NA
"79",100,4,17,0.777694858988378,NA
"80",500,4,17,0.777784126584977,NA
"81",750,4,17,0.780725445346281,NA
"82",1000,4,17,0.779663027133396,NA
"83",50,5,17,0.776024232076475,NA
"84",100,5,17,0.78022964638198,NA
"85",250,5,17,0.77874681729161,NA
"86",500,5,17,0.781532453326246,NA
"87",750,5,17,0.780805812021809,NA
"88",900,5,17,0.781189054492243,NA
"89",1000,5,17,0.780795983340638,NA
"90",50,6,17,0.776545822000593,NA
"91",100,6,17,0.774289086305043,NA
"92",250,6,17,0.777529745864457,NA
"93",500,6,17,0.779887355720201,NA
"94",750,6,17,0.781783769765713,NA
"95",1000,6,17,0.781001059422157,NA
"96",100,3,20,0.780235600434778,NA
"97",250,3,20,0.780926040514182,NA
"98",500,3,20,0.780000358021509,NA
"99",750,3,20,0.778731576152632,NA
"100",900,3,20,0.781967284489936,NA
"101",1000,3,20,0.781855267137227,NA
"102",100,4,20,0.780535687653956,NA
"103",500,4,20,0.780979868756859,NA
"104",750,4,20,0.778764312955333,NA
"105",900,4,20,0.781466664999989,NA
"106",1000,4,20,0.779069135735585,NA
"107",50,5,20,0.776145465179655,NA
"108",100,5,20,0.774704118997067,NA
"109",250,5,20,0.778204944326201,NA
"110",500,5,20,0.778380380524877,NA
"111",750,5,20,0.780479928029974,NA
"112",900,5,20,0.780608550284104,NA
"113",1000,5,20,0.779889046019316,NA
"114",50,6,20,0.775750348438992,NA
"115",100,6,20,0.778167208181923,NA
"116",250,6,20,0.776490655200628,NA
"117",500,6,20,0.781246355807826,NA
"118",750,6,20,0.778921205956663,NA
"119",900,6,20,0.778007895604081,NA
"120",1000,6,20,0.779184399378322,NA
