"","n.trees","max_depth","min_samples_split","ROC_AUC_valid"
"1",250,3,5,0.727854261395919
"2",500,3,5,0.727218565092901
"3",750,3,5,0.725050095469481
"4",900,3,5,0.725808529673963
"5",1000,3,5,0.727524659614889
"6",50,4,5,0.714371397887668
"7",100,4,5,0.719862593568894
"8",250,4,5,0.722277139180579
"9",500,4,5,0.72840473138105
"10",750,4,5,0.724426102780539
"11",900,4,5,0.727049312827801
"12",1000,4,5,0.726941279467099
"13",50,5,5,0.712458707248798
"14",100,5,5,0.730000524161861
"15",250,5,5,0.728692920373811
"16",900,5,5,0.728457147567169
"17",1000,5,5,0.724822225103112
"18",50,6,5,0.724880943235271
"19",100,6,5,0.726542556341398
"20",250,6,5,0.72511321496078
"21",500,6,5,0.726427020663981
"22",750,6,5,0.73074455391825
"23",900,6,5,0.725864947095663
"24",50,3,10,0.716587382183618
"25",100,3,10,0.717986914359154
"26",250,3,10,0.724869139590306
"27",500,3,10,0.729002515976934
"28",900,3,10,0.724945363128134
"29",1000,3,10,0.726723012066126
"30",50,4,10,0.710172601299281
"31",100,4,10,0.724428303460108
"32",250,4,10,0.72605640621824
"33",500,4,10,0.727570873885856
"34",750,4,10,0.72548613011698
"35",900,4,10,0.727165748783224
"36",1000,4,10,0.724797017318948
"37",50,5,10,0.723557634597564
"38",100,5,10,0.728060525090148
"39",250,5,10,0.725742609317757
"40",500,5,10,0.722991359731885
"41",750,5,10,0.725921264486473
"42",1000,5,10,0.728478754239309
"43",50,6,10,0.719461469701844
"44",250,6,10,0.727614587384584
"45",500,6,10,0.729201177323558
"46",750,6,10,0.726243163889009
"47",1000,6,10,0.725616870489607
"48",50,3,15,0.714352992203993
"49",100,3,15,0.726153436181093
"50",250,3,15,0.732950335063468
"51",500,3,15,0.726862755218812
"52",750,3,15,0.725671787447964
"53",1000,3,15,0.726900466864168
"54",100,4,15,0.723353771644684
"55",250,4,15,0.725554051090977
"56",500,4,15,0.731411259797025
"57",750,4,15,0.727787940916155
"58",900,4,15,0.728511264278409
"59",1000,4,15,0.726434823073365
"60",50,5,15,0.732661745947149
"61",100,5,15,0.71823709161389
"62",250,5,15,0.731354542282657
"63",500,5,15,0.727424428663571
"64",900,5,15,0.727852660901686
"65",1000,5,15,0.73044966285589
"66",50,6,15,0.722024161060936
"67",100,6,15,0.727992604116151
"68",250,6,15,0.728953900964618
"69",500,6,15,0.727495350564254
"70",750,6,15,0.728201268551729
"71",900,6,15,0.728419736014481
"72",1000,6,15,0.727687309841279
"73",250,3,17,0.728236579455736
"74",500,3,17,0.727389117759564
"75",750,3,17,0.728389226593172
"76",900,3,17,0.726192248166234
"77",1000,3,17,0.727522558966209
"78",50,4,17,0.724005372859139
"79",100,4,17,0.725649680621376
"80",500,4,17,0.729770253054143
"81",750,4,17,0.727643396280772
"82",1000,4,17,0.728892281936662
"83",50,5,17,0.7234846120482
"84",100,5,17,0.733014154770993
"85",250,5,17,0.724515730457565
"86",500,5,17,0.725351088416103
"87",750,5,17,0.728027414865711
"88",900,5,17,0.727641295632091
"89",1000,5,17,0.729212180721407
"90",50,6,17,0.727943588980277
"91",100,6,17,0.722100784722322
"92",250,6,17,0.72504589417212
"93",500,6,17,0.72288612723609
"94",750,6,17,0.729160864875073
"95",1000,6,17,0.725232951935558
"96",100,3,20,0.729319713927661
"97",250,3,20,0.727247173927309
"98",500,3,20,0.729234187517105
"99",750,3,20,0.728971206308508
"100",900,3,20,0.72779774394333
"101",1000,3,20,0.728502061436572
"102",100,4,20,0.724124709710359
"103",500,4,20,0.727899175265322
"104",750,4,20,0.727502452757411
"105",900,4,20,0.728146151531593
"106",1000,4,20,0.727696412652227
"107",50,5,20,0.720058253988832
"108",100,5,20,0.724420401019835
"109",250,5,20,0.7257766198202
"110",500,5,20,0.727597382071584
"111",750,5,20,0.728785248884856
"112",900,5,20,0.726486038888809
"113",1000,5,20,0.730438359365372
"114",50,6,20,0.723420992402454
"115",100,6,20,0.724024378728151
"116",250,6,20,0.724669577965676
"117",500,6,20,0.727496550934929
"118",750,6,20,0.726155936953331
"119",900,6,20,0.727821051140592
"120",1000,6,20,0.730355733850613
