"","n.trees","max_depth","min_samples_split","ROC_AUC_valid"
"1",250,3,5,0.696537390746262
"2",500,3,5,0.685392149095641
"3",750,3,5,0.684329020801623
"4",900,3,5,0.687080070325717
"5",1000,3,5,0.690834129579214
"6",50,4,5,0.686102768534924
"7",100,4,5,0.687394767504205
"8",250,4,5,0.684018825013164
"9",500,4,5,0.690418101109623
"10",750,4,5,0.692154837413793
"11",900,4,5,0.692009592562183
"12",1000,4,5,0.688239528366359
"13",50,5,5,0.674392452389298
"14",100,5,5,0.685223597046768
"15",250,5,5,0.694427539224112
"16",900,5,5,0.691713401098259
"17",1000,5,5,0.691352389617914
"18",50,6,5,0.6890547801161
"19",100,6,5,0.686252014622115
"20",250,6,5,0.686818489549573
"21",500,6,5,0.692260570064036
"22",750,6,5,0.688769291957356
"23",900,6,5,0.687155993770876
"24",50,3,10,0.678404691368695
"25",100,3,10,0.687050961336861
"26",250,3,10,0.690703489237477
"27",500,3,10,0.681591475447618
"28",900,3,10,0.690723195322716
"29",1000,3,10,0.687265927718479
"30",50,4,10,0.709607126680719
"31",100,4,10,0.685277713758008
"32",250,4,10,0.694186264718545
"33",500,4,10,0.685022034804348
"34",750,4,10,0.691976582368635
"35",900,4,10,0.688305948877013
"36",1000,4,10,0.686064856827788
"37",50,5,10,0.683948303236039
"38",100,5,10,0.684693633393992
"39",250,5,10,0.686966735327869
"40",500,5,10,0.683741939510921
"41",750,5,10,0.691113015699248
"42",1000,5,10,0.690129712055083
"43",50,6,10,0.662296917288059
"44",250,6,10,0.690034482648242
"45",500,6,10,0.688392475596464
"46",750,6,10,0.687442682300294
"47",1000,6,10,0.690294162837484
"48",50,3,15,0.665180907864348
"49",100,3,15,0.702325878231198
"50",250,3,15,0.68998716803749
"51",500,3,15,0.689088990680322
"52",750,3,15,0.6889008325771
"53",1000,3,15,0.683279196615915
"54",100,4,15,0.69775216586882
"55",250,4,15,0.688877925503395
"56",500,4,15,0.685967126648709
"57",750,4,15,0.690044185644527
"58",900,4,15,0.687077369491699
"59",1000,4,15,0.687408571766962
"60",50,5,15,0.68332801169001
"61",100,5,15,0.694587788709153
"62",250,5,15,0.687314142607237
"63",500,5,15,0.693357408767827
"64",900,5,15,0.687572722456695
"65",1000,5,15,0.691098411189375
"66",50,6,15,0.686297428645966
"67",100,6,15,0.690740300604827
"68",250,6,15,0.694432640799479
"69",500,6,15,0.690646571661329
"70",750,6,15,0.685713448312839
"71",900,6,15,0.687201707887396
"72",1000,6,15,0.69007399484961
"73",250,3,17,0.687344852090325
"74",500,3,17,0.692832246597749
"75",750,3,17,0.690087298957918
"76",900,3,17,0.688683165361464
"77",1000,3,17,0.689306957988627
"78",50,4,17,0.689270046590387
"79",100,4,17,0.685729153162497
"80",500,4,17,0.689354472661158
"81",750,4,17,0.685233500104832
"82",1000,4,17,0.690997980176278
"83",50,5,17,0.708760565262553
"84",100,5,17,0.688946146570061
"85",250,5,17,0.692090717613599
"86",500,5,17,0.690276657431815
"87",750,5,17,0.692560262609094
"88",900,5,17,0.688118891113576
"89",1000,5,17,0.688096484194319
"90",50,6,17,0.683065930759418
"91",100,6,17,0.685402652339042
"92",250,6,17,0.681708711650158
"93",500,6,17,0.690183128550096
"94",750,6,17,0.688595438271338
"95",1000,6,17,0.686841096530609
"96",100,3,20,0.687915528315144
"97",250,3,20,0.688757188219722
"98",500,3,20,0.688376270592359
"99",750,3,20,0.691521341790345
"100",900,3,20,0.684204882467706
"101",1000,3,20,0.692326390389352
"102",100,4,20,0.681501847770592
"103",500,4,20,0.683747041086287
"104",750,4,20,0.685392949342757
"105",900,4,20,0.684226989294294
"106",1000,4,20,0.690583152077361
"107",50,5,20,0.688947547002514
"108",100,5,20,0.686952430910665
"109",250,5,20,0.69194297198975
"110",500,5,20,0.692959385858353
"111",750,5,20,0.69132077985682
"112",900,5,20,0.68481327033788
"113",1000,5,20,0.688985858833208
"114",50,6,20,0.703729711734984
"115",100,6,20,0.689739691616771
"116",250,6,20,0.680064904042368
"117",500,6,20,0.689860128807776
"118",750,6,20,0.688390875102232
"119",900,6,20,0.688652355847486
"120",1000,6,20,0.686217804057893
