"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"1",250,3,5,0.717715568764511,NA
"2",500,3,5,0.717602391599822,NA
"3",750,3,5,0.717707217786956,NA
"4",900,3,5,0.71896627728205,NA
"5",1000,3,5,0.719122088370413,NA
"6",50,4,5,0.712992977869953,NA
"7",100,4,5,0.712223793662177,NA
"8",250,4,5,0.714234137149594,NA
"9",500,4,5,0.718473407322056,NA
"10",750,4,5,0.721136661177705,NA
"11",900,4,5,0.720311984118978,NA
"12",1000,4,5,0.719495551564108,NA
"13",50,5,5,0.717987245467351,NA
"14",100,5,5,0.718071709364235,NA
"15",250,5,5,0.716075807079784,NA
"16",900,5,5,0.716053325493249,NA
"17",1000,5,5,0.718476995438092,NA
"18",50,6,5,0.713548582752723,NA
"19",100,6,5,0.719069880620002,NA
"20",250,6,5,0.720662284576011,NA
"21",500,6,5,0.718171358149164,NA
"22",750,6,5,0.713022134171712,NA
"23",900,6,5,0.716923921908366,NA
"24",50,3,10,0.707986259997148,NA
"25",100,3,10,0.71752047359866,NA
"26",250,3,10,0.713413816452945,NA
"27",500,3,10,0.719065713740428,NA
"28",900,3,10,0.720624242895617,NA
"29",1000,3,10,0.716527572398237,NA
"30",50,4,10,0.711864284099995,NA
"31",100,4,10,0.709633751802797,NA
"32",250,4,10,0.718305975166613,NA
"33",500,4,10,0.717662963390783,NA
"34",750,4,10,0.718112911055247,NA
"35",900,4,10,0.717154279882241,NA
"36",1000,4,10,0.720546691494979,NA
"37",50,5,10,0.720857168947328,NA
"38",100,5,10,0.713756420118054,NA
"39",250,5,10,0.718361995228952,NA
"40",500,5,10,0.720244445299286,NA
"41",750,5,10,0.718924676151728,NA
"42",1000,5,10,0.719084384704976,NA
"43",50,6,10,0.711852916944861,NA
"44",250,6,10,0.719551774985336,NA
"45",500,6,10,0.715654759477729,NA
"46",750,6,10,0.719182899564228,NA
"47",1000,6,10,0.718148393031699,NA
"48",50,3,15,0.699403807980729,NA
"49",100,3,15,0.716497752248337,NA
"50",250,3,15,0.719545265340853,NA
"51",500,3,15,0.717459921324289,NA
"52",750,3,15,0.72076984012364,NA
"53",1000,3,15,0.72021498875976,NA
"54",100,4,15,0.718814056422553,NA
"55",250,4,15,0.715897530304341,NA
"56",500,4,15,0.721615722874659,NA
"57",750,4,15,0.717225494779097,NA
"58",900,4,15,0.716811448954548,NA
"59",1000,4,15,0.714534536653498,NA
"60",50,5,15,0.709337705951071,NA
"61",100,5,15,0.717102246970638,NA
"62",250,5,15,0.718277903284866,NA
"63",500,5,15,0.717548503402816,NA
"64",900,5,15,0.719242673310802,NA
"65",1000,5,15,0.720294506784815,NA
"66",50,6,15,0.719914924027511,NA
"67",100,6,15,0.715327344894118,NA
"68",250,6,15,0.716878349345278,NA
"69",500,6,15,0.714547061854635,NA
"70",750,6,15,0.718714665950041,NA
"71",900,6,15,0.716639075946316,NA
"72",1000,6,15,0.716635214489416,NA
"73",250,3,17,0.721858568216564,NA
"74",500,3,17,0.716511242097235,NA
"75",750,3,17,0.718942502172844,NA
"76",900,3,17,0.717413965677119,NA
"77",1000,3,17,0.718569630889834,NA
"78",50,4,17,0.709241830635238,NA
"79",100,4,17,0.713918727592208,NA
"80",500,4,17,0.718562521400209,NA
"81",750,4,17,0.718210862930461,NA
"82",1000,4,17,0.720576949797089,NA
"83",50,5,17,0.712899425799677,NA
"84",100,5,17,0.718741878984173,NA
"85",250,5,17,0.71405595589341,NA
"86",500,5,17,0.717457527169858,NA
"87",750,5,17,0.716669828228134,NA
"88",900,5,17,0.718381451163301,NA
"89",1000,5,17,0.718377125172157,NA
"90",50,6,17,0.715920373220078,NA
"91",100,6,17,0.718417002533624,NA
"92",250,6,17,0.716211995820015,NA
"93",500,6,17,0.713475980097417,NA
"94",750,6,17,0.718053713835562,NA
"95",1000,6,17,0.71986937647559,NA
"96",100,3,20,0.713213350138004,NA
"97",250,3,20,0.721223983014214,NA
"98",500,3,20,0.718309911462723,NA
"99",750,3,20,0.718434558993354,NA
"100",900,3,20,0.71600114703891,NA
"101",1000,3,20,0.718136043354908,NA
"102",100,4,20,0.714168138402344,NA
"103",500,4,20,0.717564799615793,NA
"104",750,4,20,0.717910791105346,NA
"105",900,4,20,0.715217470475675,NA
"106",1000,4,20,0.719546064082561,NA
"107",50,5,20,0.721269402186762,NA
"108",100,5,20,0.711700741841034,NA
"109",250,5,20,0.716530248773889,NA
"110",500,5,20,0.719046652337469,NA
"111",750,5,20,0.717836648549812,NA
"112",900,5,20,0.721836564428654,NA
"113",1000,5,20,0.719484417222592,NA
"114",50,6,20,0.706431878799932,NA
"115",100,6,20,0.714772664580022,NA
"116",250,6,20,0.718162474848086,NA
"117",500,6,20,0.715640640447858,NA
"118",750,6,20,0.716843697553778,NA
"119",900,6,20,0.720279916847188,NA
"120",1000,6,20,0.719717915567312,NA
