"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"1",500,5,0.05,0.6,5,1,0.6,0.83779154287411,"0.823107926556202, 0.836132101128928, 0.843083256724889, 0.848079056273732, 0.838555373686801"
"2",500,5,0.05,0.8,5,1,0.6,0.837658226400834,"0.824955217196596, 0.834654948992924, 0.843477623672675, 0.846375165322753, 0.838828176819223"
"3",500,3,0.1,0.8,1,0.1,0.6,0.840527917251946,"0.829356193888214, 0.838510476048271, 0.844817938366841, 0.850260250010666, 0.839694727945739"
"4",100,5,0.1,0.6,5,1,0.6,0.850323891730573,"0.839872155758855, 0.8571161937469, 0.849553006381817, 0.857817099705619, 0.847261003059674"
"5",500,3,0.1,0.7,10,0.1,0.6,0.842938671271941,"0.831933870726974, 0.845130997264336, 0.844777968743755, 0.851473505695636, 0.841377013929007"
"6",100,3,0.05,0.7,10,0.1,0.7,0.857161141635938,"0.848944671912652, 0.861472992646235, 0.856143997228773, 0.863056764367081, 0.856187282024948"
"7",100,3,0.1,0.7,5,1,0.8,0.858349658084427,"0.852897820570234, 0.860266473979192, 0.858175786402334, 0.863255418319894, 0.85715279115048"
"8",100,5,0.05,0.8,1,1,0.7,0.858669957430211,"0.850382786343377, 0.861082373895469, 0.857477650319091, 0.865805921754341, 0.858601054838779"
"9",500,3,0.05,0.8,5,0,0.8,0.850429522598432,"0.840032094342439, 0.853676615668478, 0.851863250596213, 0.857881095609881, 0.848694556775146"
"10",50,5,0.1,0.6,10,0,0.8,0.856613107620715,"0.846800162071098, 0.858025415549026, 0.858580811916277, 0.865091300823414, 0.854567847743758"
"11",1000,3,0.05,0.7,10,0,0.8,0.843138343137299,"0.829758705990233, 0.846730801021741, 0.845747898263986, 0.850804215196894, 0.842650095213642"
"12",100,5,0.1,0.6,10,1,0.7,0.853582284669082,"0.846864137504532, 0.853945915967641, 0.85264132592563, 0.861478198728615, 0.852981845218991"
"13",100,5,0.05,0.8,10,0,0.8,0.858005673015666,"0.850313479623824, 0.860654426390363, 0.857856029417643, 0.865291288024233, 0.855913141622269"
"14",50,3,0.05,0.6,1,0.1,0.7,0.854678529454456,"0.844149180048195, 0.857865435173285, 0.852545398830222, 0.86467532744571, 0.854157305774868"
"15",100,3,0.01,0.8,1,0.1,0.7,0.853085199639138,"0.843877284456102, 0.856424278621822, 0.849116005169405, 0.86153552839285, 0.854472901555513"
"16",500,3,0.1,0.7,5,0.1,0.8,0.84038449892399,"0.828106007293199, 0.838545138463015, 0.845004463274578, 0.850596228508042, 0.839670657081113"
"17",50,5,0.1,0.6,10,0,0.7,0.857558126624737,"0.850718657368904, 0.860741082427222, 0.859052453468697, 0.863883378130466, 0.853395061728395"
"18",500,3,0.1,0.8,5,1,0.7,0.841564454750777,"0.828743095984475, 0.84223001978424, 0.845537391582397, 0.849996266905585, 0.841315499497186"
"19",500,3,0.01,0.7,1,0,0.8,0.85875782107014,"0.85085460516495, 0.862280893543725, 0.855726980827904, 0.865544605145271, 0.859382020668849"
"20",50,3,0.1,0.6,5,0.1,0.7,0.857210012709154,"0.848778069221419, 0.862018259093551, 0.857311110222897, 0.86314209223943, 0.85480053276847"
"21",1000,3,0.01,0.8,5,1,0.6,0.859201867308775,"0.852334037063101, 0.862656847426716, 0.8574510039037, 0.866600537565596, 0.856966910584761"
"22",50,3,0.05,0.6,10,0.1,0.7,0.853695958779641,"0.843814641844199, 0.85741215744202, 0.852574709887152, 0.860503594436623, 0.854174690288208"
"23",50,5,0.1,0.8,1,0,0.6,0.857783194736297,"0.850342801697481, 0.861758290982973, 0.856955380577428, 0.86295410427066, 0.856905396152941"
"24",500,3,0.01,0.6,5,0.1,0.8,0.858112925880771,"0.849852323374491, 0.860953056425079, 0.856678257857362, 0.865611267545544, 0.857469724201382"
"25",1000,5,0.01,0.6,5,0.1,0.7,0.852083716089669,"0.841847397266116, 0.854164555814487, 0.851913878785456, 0.861091556807031, 0.851401191775253"
"26",100,3,0.01,0.8,5,0.1,0.6,0.853732062141813,"0.845278079883991, 0.857524143705039, 0.850188523388891, 0.861270212039763, 0.854399351691379"
"27",500,5,0.1,0.7,10,1,0.6,0.829394842300486,"0.813146418441985, 0.82766380657306, 0.835062685692207, 0.838127693160971, 0.832973607634208"
"28",100,3,0.05,0.6,10,0,0.8,0.856953624844102,"0.850830614377412, 0.85957722519371, 0.855496489334772, 0.862324811212082, 0.856538984102531"
"29",50,3,0.05,0.6,10,1,0.8,0.855699879204057,"0.846769507175911, 0.858096073548311, 0.854514568927615, 0.861427535304407, 0.857691711064039"
"30",100,5,0.05,0.8,1,1,0.8,0.858655546879234,"0.850025590173373, 0.860395791449582, 0.858223749950038, 0.867259162080294, 0.85737344074288"
"31",500,3,0.05,0.8,10,0.1,0.6,0.852934164133449,"0.844446399249355, 0.857777445966628, 0.853152937101136, 0.861078224326976, 0.848215814023151"
"32",1000,3,0.01,0.7,10,0.1,0.7,0.858930115904334,"0.851195807476596, 0.862523530446932, 0.858063871457692, 0.866384551388711, 0.856482818751738"
"33",100,5,0.01,0.7,5,0.1,0.8,0.859591673500334,"0.852680570660866, 0.860758413634594, 0.857812062832248, 0.867056508383463, 0.8596508119905"
"34",50,3,0.1,0.7,1,0.1,0.7,0.856722660885762,"0.848989987844668, 0.859731872890259, 0.852741249983346, 0.864300684756176, 0.857849508954362"
"35",500,3,0.01,0.8,5,1,0.6,0.857768564148489,"0.850140212824942, 0.86103837929214, 0.855279321049336, 0.864957976022868, 0.857426931553159"
"36",500,5,0.05,0.6,10,0,0.6,0.840955444113196,"0.827852771202525, 0.838598465254929, 0.845859813208628, 0.848553692563676, 0.843912478336222"
"37",50,5,0.01,0.6,10,1,0.6,0.856577282858298,"0.848422205872945, 0.856965545559745, 0.854605166739944, 0.866589871581552, 0.856303624537304"
"38",1000,3,0.01,0.6,5,1,0.7,0.858672336446562,"0.851305098842045, 0.861715629549442, 0.857877346549955, 0.865467276760954, 0.856996330530415"
"39",500,5,0.05,0.6,5,1,0.7,0.836809474373441,"0.823491779156804, 0.835356196306586, 0.842422425623193, 0.846561820043517, 0.836215150737103"
"40",1000,5,0.1,0.8,10,1,0.6,0.821926162078099,"0.804877593670697, 0.818560923193422, 0.828934010152284, 0.830901488971373, 0.826356794402722"
"41",100,3,0.1,0.6,10,1,0.6,0.858801086592073,"0.853464269720427, 0.862998138894962, 0.856297214117271, 0.866645867997781, 0.854599942229925"
"42",500,5,0.1,0.8,1,1,0.8,0.823178632288527,"0.804882924956817, 0.820616671021688, 0.828009379538218, 0.834842570075515, 0.827541615850397"
"43",50,3,0.1,0.7,1,0.1,0.7,0.857553976924193,"0.849141929499072, 0.86100771638679, 0.855063485084669, 0.865620600281582, 0.856936153368851"
"44",50,3,0.01,0.7,10,1,0.7,0.851567639807491,"0.84330683684132, 0.855255088709118, 0.846521976631094, 0.85994629677034, 0.852808000085585"
