"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"1",500,5,0.05,0.6,5,1,0.6,0.83779154287411,"0.823107926556202, 0.836132101128928, 0.843083256724889, 0.848079056273732, 0.838555373686801"
"2",500,5,0.05,0.8,5,1,0.6,0.838478494072636,"0.825392382658393, 0.837667912736038, 0.84266757264479, 0.846943128973079, 0.839721473350878"
"3",500,3,0.1,0.8,1,0.1,0.6,0.839804987525479,"0.827668841831403, 0.840446238594732, 0.843856002771227, 0.84735110286275, 0.839702751567281"
"4",100,5,0.1,0.6,5,1,0.6,0.850254330837622,"0.837654340733158, 0.852012819760776, 0.852028458371638, 0.861576859081019, 0.847999176241522"
"5",500,3,0.1,0.7,10,0.1,0.6,0.844454899753687,"0.834181007826328, 0.846778795134464, 0.844663389157574, 0.853158731174538, 0.843492575475533"
"6",100,3,0.05,0.7,10,0.1,0.7,0.856956052162681,"0.849273878830529, 0.859989174661242, 0.856245253607258, 0.864444675540765, 0.85482727817361"
"7",100,3,0.1,0.7,5,1,0.8,0.85833147298225,"0.852398012496535, 0.863478080022184, 0.855050161876973, 0.864823317974316, 0.855907792541241"
"8",100,5,0.05,0.8,1,1,0.7,0.858182384140906,"0.851486362570106, 0.859859857190851, 0.857938633305355, 0.86438467938052, 0.857242388257697"
"9",500,3,0.05,0.8,5,0,0.8,0.850780394290841,"0.841903375770371, 0.85254075500072, 0.848918821695511, 0.860640918981185, 0.849898100006419"
"10",50,5,0.1,0.6,10,0,0.8,0.857756627204853,"0.852072804043247, 0.861354340534228, 0.856848794915864, 0.862618125773284, 0.855889070757644"
"11",1000,3,0.05,0.7,10,0,0.8,0.843702799661151,"0.832008508732647, 0.845181657716653, 0.845249610296175, 0.852068134306071, 0.84400608725421"
"12",100,5,0.1,0.6,10,1,0.7,0.852633314009425,"0.84389994242211, 0.856812231032993, 0.854394660058356, 0.8588623661419, 0.849197370391767"
"13",100,5,0.05,0.8,10,0,0.8,0.857944175134933,"0.849937623952402, 0.861486324344214, 0.857291125411354, 0.864640662997568, 0.856365138969125"
"14",50,3,0.05,0.6,1,0.1,0.7,0.854997483538748,"0.84429312477342, 0.85936125168646, 0.85373382895666, 0.862167487947438, 0.85543172432976"
"15",100,3,0.01,0.8,1,0.1,0.7,0.852745205663717,"0.843734672552407, 0.856494936621108, 0.849002757903993, 0.8596436494731, 0.854850011767978"
"16",500,3,0.1,0.7,5,0.1,0.8,0.840942586833192,"0.8300919113727, 0.842885939324776, 0.843752081751202, 0.847879069072913, 0.840103932644372"
"17",50,5,0.1,0.6,10,0,0.7,0.859112723067905,"0.852168767193398, 0.860671757597735, 0.857411034280613, 0.868992384487393, 0.856319671780388"
"18",500,3,0.1,0.8,5,1,0.7,0.841568938252047,"0.830710340562557, 0.842576643931678, 0.844066509452816, 0.849825611160886, 0.840665586152299"
"19",500,3,0.01,0.7,1,0,0.8,0.858526237728599,"0.850628025504873, 0.861947601094266, 0.857115259069774, 0.865259290072102, 0.857681012901983"
"20",50,3,0.1,0.6,5,0.1,0.7,0.856781367037147,"0.849492461561427, 0.858963967086704, 0.858139813741556, 0.863420741072571, 0.853889851723474"
"21",1000,3,0.01,0.8,5,1,0.6,0.859593116497198,"0.853101742264304, 0.863240775798169, 0.857888005116112, 0.866893852126797, 0.856841207180606"
"22",50,3,0.05,0.6,10,0.1,0.7,0.854000948293968,"0.845721909453437, 0.855640374780694, 0.852709274284877, 0.861211549127523, 0.854721633823309"
"23",50,5,0.1,0.8,1,0,0.6,0.858195344890505,"0.848738084575523, 0.861859611887609, 0.857404372676766, 0.866727196126115, 0.856247459186512"
