"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"1",500,5,0.05,0.6,5,1,0.6,0.773326003069748
"2",500,5,0.05,0.8,5,1,0.6,0.754528198307637
"3",500,3,0.1,0.8,1,0.1,0.6,0.751301601934677
"4",100,5,0.1,0.6,5,1,0.6,0.731329834652941
"5",500,3,0.1,0.7,10,0.1,0.6,0.758443007200624
"6",100,3,0.05,0.7,10,0.1,0.7,0.733273234774898
"7",100,3,0.1,0.7,5,1,0.8,0.760148733929037
"8",100,5,0.05,0.8,1,1,0.7,0.748543150124758
"9",500,3,0.05,0.8,5,0,0.8,0.757069783149036
"10",50,5,0.1,0.6,10,0,0.8,0.746440100703097
"11",1000,3,0.05,0.7,10,0,0.8,0.7438200916443
"12",100,5,0.1,0.6,10,1,0.7,0.75575497713694
"13",100,5,0.05,0.8,10,0,0.8,0.761536362428718
"14",50,3,0.05,0.6,1,0.1,0.7,0.763785857072664
"15",100,3,0.01,0.8,1,0.1,0.7,0.709197400157168
"16",500,3,0.1,0.7,5,0.1,0.8,0.757978863873164
"17",50,5,0.1,0.6,10,0,0.7,0.73469327328279
"18",500,3,0.1,0.8,5,1,0.7,0.763114849865638
"19",500,3,0.01,0.7,1,0,0.8,0.742654131595837
"20",50,3,0.1,0.6,5,0.1,0.7,0.724898648702719
"21",1000,3,0.01,0.8,5,1,0.6,0.752232289330945
"22",50,3,0.05,0.6,10,0.1,0.7,0.727417426501304
"23",50,5,0.1,0.8,1,0,0.6,0.739370317554061
"24",500,3,0.01,0.6,5,0.1,0.8,0.745128895803024
"25",1000,5,0.01,0.6,5,0.1,0.7,0.754789879114671
"26",100,3,0.01,0.8,5,0.1,0.6,0.710885121325465
"27",500,5,0.1,0.7,10,1,0.6,0.75313336758391
"28",100,3,0.05,0.6,10,0,0.8,0.738984198320441
"29",50,3,0.05,0.6,10,1,0.8,0.746995872325374
"30",100,5,0.05,0.8,1,1,0.8,0.757165812802994
"31",500,3,0.05,0.8,10,0.1,0.6,0.740368625831657
"32",1000,3,0.01,0.7,10,0.1,0.7,0.744777987442522
"33",100,5,0.01,0.7,5,0.1,0.8,0.73450681570469
"34",50,3,0.1,0.7,1,0.1,0.7,0.74887245181312
"35",500,3,0.01,0.8,5,1,0.6,0.730988529257835
"36",500,5,0.05,0.6,10,0,0.6,0.746196025332623
"37",50,5,0.01,0.6,10,1,0.6,0.727404222423884
"38",1000,3,0.01,0.6,5,1,0.7,0.754577013381732
"39",500,5,0.05,0.6,5,1,0.7,0.775523481651134
"40",1000,5,0.1,0.8,10,1,0.6,0.759956274497565
"41",100,3,0.1,0.6,10,1,0.6,0.741258900748551
"42",500,5,0.1,0.8,1,1,0.8,0.74702268060377
"43",50,3,0.1,0.7,1,0.1,0.7,0.741949113886368
"44",50,3,0.01,0.7,10,1,0.7,0.713198235615158
"45",100,3,0.05,0.8,5,0,0.6,0.717285897885267
"46",500,5,0.05,0.7,10,0.1,0.7,0.759602565272156
"47",500,3,0.05,0.6,10,1,0.7,0.764436057854666
"48",1000,3,0.01,0.8,10,0.1,0.7,0.743764874593274
"49",50,5,0.05,0.6,5,1,0.6,0.740577890452572
"50",500,5,0.05,0.7,10,1,0.7,0.7586086583537
"51",500,3,0.05,0.7,5,0,0.6,0.754977937187003
"52",1000,5,0.05,0.6,10,0,0.8,0.769325567735317
"53",100,5,0.1,0.6,10,0,0.6,0.76730174277817
"54",50,3,0.01,0.6,1,0.1,0.6,0.715158440926558
"55",100,3,0.1,0.6,1,0,0.8,0.749331393534323
"56",50,5,0.05,0.7,1,0,0.7,0.725848942153337
"57",1000,5,0.1,0.6,10,0.1,0.6,0.76475375595984
"58",1000,3,0.05,0.6,10,1,0.6,0.738872163724158
"59",500,5,0.05,0.6,5,0.1,0.8,0.764464866750853
"60",50,5,0.05,0.8,5,0.1,0.6,0.717119046361516
"61",100,3,0.1,0.8,1,0.1,0.7,0.742844990533077
"62",50,3,0.01,0.8,1,0,0.6,0.714571059543187
"63",50,3,0.05,0.8,10,0,0.6,0.736176131189311
"64",500,3,0.01,0.7,5,0.1,0.7,0.734194319205771
"65",50,3,0.01,0.6,10,0.1,0.6,0.71124843351627
"66",100,5,0.01,0.6,5,0.1,0.6,0.728574583831487
"67",50,5,0.05,0.8,1,0.1,0.6,0.713453514445261
"68",500,5,0.05,0.7,10,0.1,0.8,0.750255678953661
"69",50,3,0.1,0.7,1,0,0.6,0.753112161035328
"70",500,5,0.1,0.6,5,0,0.7,0.759289668649679
"71",100,3,0.1,0.7,10,0.1,0.6,0.737534150545688
"72",1000,3,0.01,0.7,5,0.1,0.6,0.745989561576615
"73",500,5,0.1,0.7,1,0.1,0.8,0.749927577635974
"74",1000,5,0.1,0.7,10,0,0.7,0.761597581333116
"75",1000,3,0.05,0.6,10,0,0.8,0.765946924410258
"76",100,5,0.05,0.6,1,0.1,0.7,0.716672508470616
"77",500,3,0.05,0.8,10,0,0.7,0.744721169897264
"78",1000,5,0.01,0.8,5,1,0.6,0.740284599884444
"79",100,5,0.1,0.7,1,0.1,0.7,0.755271627878689
"80",100,5,0.05,0.7,1,0,0.6,0.744074570227286
"81",500,5,0.01,0.6,5,0,0.8,0.749615481260613
"82",500,5,0.01,0.7,5,1,0.7,0.744159396421615
"83",1000,5,0.01,0.7,5,0,0.7,0.754847496907045
"84",50,3,0.1,0.7,1,0,0.8,0.74013815466216
"85",100,5,0.05,0.6,10,0.1,0.6,0.75328301379466
"86",100,3,0.1,0.8,10,1,0.8,0.756252330719726
"87",50,3,0.05,0.6,5,0.1,0.6,0.716906980875694
"88",100,3,0.1,0.8,5,0,0.6,0.752531981876003
"89",1000,3,0.01,0.6,5,0,0.7,0.751648108936039
"90",50,5,0.01,0.6,1,0.1,0.6,0.724150017525412
"91",50,5,0.01,0.7,10,0,0.6,0.711049972231425
"92",100,5,0.05,0.6,5,0.1,0.6,0.725483229221183
"93",500,5,0.05,0.7,10,0,0.6,0.767125688412582
"94",500,3,0.05,0.7,5,0,0.7,0.751428040979054
"95",50,3,0.01,0.6,5,0,0.7,0.707966219968726
"96",1000,3,0.01,0.7,1,0.1,0.8,0.75093668924964
"97",100,5,0.01,0.7,5,0.1,0.8,0.729196775964418
"98",50,3,0.01,0.7,1,0,0.8,0.726459930826639
"99",1000,5,0.05,0.6,10,1,0.7,0.761275081745243
"100",100,5,0.1,0.8,5,0.1,0.7,0.741153668252756
"101",50,3,0.1,0.8,10,1,0.6,0.728232878312823
"102",500,5,0.1,0.8,10,1,0.7,0.76717370323956
"103",500,3,0.05,0.7,10,0.1,0.6,0.768422088741003
"104",1000,5,0.01,0.6,10,0,0.8,0.753779967253888
"105",1000,5,0.05,0.8,1,0,0.6,0.74099681981796
"106",100,5,0.1,0.7,5,0,0.8,0.762328206950306
"107",1000,3,0.1,0.6,5,0,0.6,0.736216143545127
"108",500,5,0.05,0.6,1,0.1,0.7,0.763976716009904
"109",50,3,0.01,0.6,1,1,0.6,0.707079146040297
"110",100,5,0.01,0.8,1,1,0.7,0.732595425467384
"111",100,5,0.05,0.8,10,1,0.7,0.734888933702727
"112",1000,5,0.1,0.8,10,1,0.7,0.747990979614505
"113",500,3,0.05,0.8,10,0.1,0.8,0.755989449542019
"114",100,5,0.05,0.8,10,1,0.8,0.742049945023023
"115",50,5,0.05,0.8,10,0,0.8,0.737554956970713
"116",1000,5,0.05,0.7,1,0,0.7,0.762644304561249
"117",500,5,0.05,0.7,5,1,0.8,0.774107844502382
"118",500,3,0.1,0.6,10,0.1,0.6,0.755695758850333
"119",100,5,0.01,0.7,1,0,0.8,0.741670627889892
"120",100,3,0.1,0.7,10,1,0.8,0.760094317125128
