"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"1",500,5,0.05,0.6,5,1,0.6,0.759308074333354
"2",500,5,0.05,0.8,5,1,0.6,0.749227361409203
"3",500,3,0.1,0.8,1,0.1,0.6,0.71603631201315
"4",100,5,0.1,0.6,5,1,0.6,0.732009244454688
"5",500,3,0.1,0.7,10,0.1,0.6,0.753178181422423
"6",100,3,0.05,0.7,10,0.1,0.7,0.731068954093024
"7",100,3,0.1,0.7,5,1,0.8,0.738948187200207
"8",100,5,0.05,0.8,1,1,0.7,0.720518496111599
"9",500,3,0.05,0.8,5,0,0.8,0.747374789334947
"10",50,5,0.1,0.6,10,0,0.8,0.737642984153507
"11",1000,3,0.05,0.7,10,0,0.8,0.754365748143027
"12",100,5,0.1,0.6,10,1,0.7,0.729212380783186
"13",100,5,0.05,0.8,10,0,0.8,0.746630159393221
"14",50,3,0.05,0.6,1,0.1,0.7,0.728062425677049
"15",100,3,0.01,0.8,1,0.1,0.7,0.704886468941609
"16",500,3,0.1,0.7,5,0.1,0.8,0.763973515021439
"17",50,5,0.1,0.6,10,0,0.7,0.738249571467669
"18",500,3,0.1,0.8,5,1,0.7,0.735972868421769
"19",500,3,0.01,0.7,1,0,0.8,0.731092961506513
"20",50,3,0.1,0.6,5,0.1,0.7,0.739732829497749
"21",1000,3,0.01,0.8,5,1,0.6,0.732398164553214
"22",50,3,0.05,0.6,10,0.1,0.7,0.718817170742325
"23",50,5,0.1,0.8,1,0,0.6,0.723555033794436
"24",500,3,0.01,0.6,5,0.1,0.8,0.733680160433542
"25",1000,5,0.01,0.6,5,0.1,0.7,0.745495809105852
"26",100,3,0.01,0.8,5,0.1,0.6,0.704064615153159
"27",500,5,0.1,0.7,10,1,0.6,0.744202609765896
"28",100,3,0.05,0.6,10,0,0.8,0.743554409601685
"29",50,3,0.05,0.6,10,1,0.8,0.735496721387565
"30",100,5,0.05,0.8,1,1,0.8,0.75433453850549
"31",500,3,0.05,0.8,10,0.1,0.6,0.730080648904382
"32",1000,3,0.01,0.7,10,0.1,0.7,0.743905718085745
"33",100,5,0.01,0.7,5,0.1,0.8,0.722384272263275
"34",50,3,0.1,0.7,1,0.1,0.7,0.744685558900589
"35",500,3,0.01,0.8,5,1,0.6,0.732156890047647
"36",500,5,0.05,0.6,10,0,0.6,0.769260747718896
"37",50,5,0.01,0.6,10,1,0.6,0.701763104446653
