"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"1",500,5,0.05,0.6,5,1,0.6,0.807680995256089,"0.769714379026751, 0.792219211607377, 0.7585758886627, 0.897370408037475, 0.820525088946142"
"2",500,5,0.05,0.8,5,1,0.6,0.8053134947165,"0.767142454202666, 0.792530373219124, 0.760166281709991, 0.893674751397107, 0.813053613053613"
"3",500,3,0.1,0.8,1,0.1,0.6,0.801880602055779,"0.770384267094207, 0.782943798619002, 0.753237061540871, 0.896119688938199, 0.806718194086615"
"4",100,5,0.1,0.6,5,1,0.6,0.809394743647306,"0.77874951753214, 0.784475133292544, 0.755238510021923, 0.90843940047666, 0.820071156913262"
"5",500,3,0.1,0.7,10,0.1,0.6,0.805206655263367,"0.773282785546747, 0.788076217113889, 0.767433154556843, 0.887207994329389, 0.810033124769967"
"6",100,3,0.05,0.7,10,0.1,0.7,0.814448359841862,"0.779694041150797, 0.787936369198497, 0.764541085969308, 0.913015953731098, 0.827054349159612"
"7",100,3,0.1,0.7,5,1,0.8,0.813609045676437,"0.782985956473976, 0.780564635958395, 0.767614214688381, 0.912078556459566, 0.824801864801865"
"8",100,5,0.05,0.8,1,1,0.7,0.812758446499057,"0.789728444820522, 0.790631937767678, 0.74741866974632, 0.910761063856016, 0.825252116304748"
"9",500,3,0.05,0.8,5,0,0.8,0.80915189240646,"0.7758509990796, 0.787915392011188, 0.760366915909803, 0.900475375986193, 0.821150779045516"
"10",50,5,0.1,0.6,10,0,0.8,0.814392025823942,"0.782148132478252, 0.789062144917402, 0.772331565142499, 0.908983861357659, 0.819434425223899"
"11",1000,3,0.05,0.7,10,0,0.8,0.80519673602611,"0.768441406134022, 0.792142295253911, 0.773178143595365, 0.886404144066404, 0.805817691080849"
"12",100,5,0.1,0.6,10,1,0.7,0.810921725902364,"0.777871797155666, 0.785041517349882, 0.766518066865017, 0.907311955539119, 0.817865292602135"
"13",100,5,0.05,0.8,10,0,0.8,0.812188974255685,"0.779786823431608, 0.782363429770125, 0.760831800031318, 0.913406321909928, 0.824556496135443"
"14",50,3,0.05,0.6,1,0.1,0.7,0.810766309208923,"0.781339998812387, 0.776211869591819, 0.755336380363295, 0.913719643737673, 0.827223653539443"
"15",100,3,0.01,0.8,1,0.1,0.7,0.808324948844718,"0.78519510258009, 0.767985315968884, 0.752126233166301, 0.908739881245891, 0.827578211262422"
"16",500,3,0.1,0.7,5,0.1,0.8,0.803500878157127,"0.770773952673614, 0.793670133729569, 0.764521511901034, 0.878699508957922, 0.809839283523494"
"17",50,5,0.1,0.6,10,0,0.7,0.81652301582353,"0.782768845936878, 0.788181103050433, 0.769879913091137, 0.908719335552268, 0.833065881486934"
"18",500,3,0.1,0.8,5,1,0.7,0.799949352435752,"0.765823090169532, 0.787048334935757, 0.756726139210774, 0.876791327662722, 0.813357870199976"
"19",500,3,0.01,0.7,1,0,0.8,0.812859709451851,"0.780375063091951, 0.788268507997553, 0.757100493266521, 0.913303593441815, 0.825250889461416"
