"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"1",500,5,0.05,0.6,5,1,0.6,0.734447597418083
"2",500,5,0.05,0.8,5,1,0.6,0.739206667018775
"3",500,3,0.1,0.8,1,0.1,0.6,0.733486500631395
"4",100,5,0.1,0.6,5,1,0.6,0.738120731681943
"5",500,3,0.1,0.7,10,0.1,0.6,0.756346359755893
"6",100,3,0.05,0.7,10,0.1,0.7,0.735269451206533
"7",100,3,0.1,0.7,5,1,0.8,0.735678777606525
"8",100,5,0.05,0.8,1,1,0.7,0.719337731491485
"9",500,3,0.05,0.8,5,0,0.8,0.759032789325344
"10",50,5,0.1,0.6,10,0,0.8,0.752031027181194
"11",1000,3,0.05,0.7,10,0,0.8,0.7534910780449
"12",100,5,0.1,0.6,10,1,0.7,0.768622950767197
"13",100,5,0.05,0.8,10,0,0.8,0.731134574356561
"14",50,3,0.05,0.6,1,0.1,0.7,0.732230112658789
"15",100,3,0.01,0.8,1,0.1,0.7,0.725876150555291
"16",500,3,0.1,0.7,5,0.1,0.8,0.75326780909945
"17",50,5,0.1,0.6,10,0,0.7,0.75944131547822
"18",500,3,0.1,0.8,5,1,0.7,0.765489983306845
"19",500,3,0.01,0.7,1,0,0.8,0.755309239493155
"20",50,3,0.1,0.6,5,0.1,0.7,0.740389832380239
"21",1000,3,0.01,0.8,5,1,0.6,0.728451345775575
"22",50,3,0.05,0.6,10,0.1,0.7,0.740401035839867
"23",50,5,0.1,0.8,1,0,0.6,0.739289892718872
"24",500,3,0.01,0.6,5,0.1,0.8,0.755294034797946
"25",1000,5,0.01,0.6,5,0.1,0.7,0.738155942555061
"26",100,3,0.01,0.8,5,0.1,0.6,0.721680054800923
"27",500,5,0.1,0.7,10,1,0.6,0.746087191724805
"28",100,3,0.05,0.6,10,0,0.8,0.756334756172706
"29",50,3,0.05,0.6,10,1,0.8,0.752990923597207
"30",100,5,0.05,0.8,1,1,0.8,0.728581385931976
"31",500,3,0.05,0.8,10,0.1,0.6,0.763845475482829
"32",1000,3,0.01,0.7,10,0.1,0.7,0.745502211082782
"33",100,5,0.01,0.7,5,0.1,0.8,0.723683073333045
"34",50,3,0.1,0.7,1,0.1,0.7,0.740378628920611
"35",500,3,0.01,0.8,5,1,0.6,0.731700349067792
"36",500,5,0.05,0.6,10,0,0.6,0.74576949361963
