"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"1",500,5,0.05,0.6,5,1,0.6,0.735630155191835,"0.764585473220836, 0.521769404165854, 0.873608907095086, 0.595864444037369, 0.922322547440029"
"2",500,5,0.05,0.8,5,1,0.6,0.732258875146865,"0.760983125458547, 0.526824999458136, 0.87242283893666, 0.590578494229712, 0.910484917651271"
"3",500,3,0.1,0.8,1,0.1,0.6,0.733191203882542,"0.778077769625825, 0.51964529553287, 0.872631964178076, 0.587432130426818, 0.908168859649123"
"4",100,5,0.1,0.6,5,1,0.6,0.73198429087804,"0.736199559794571, 0.523302880551401, 0.866173684663739, 0.602938267081883, 0.931307062298604"
"5",500,3,0.1,0.7,10,0.1,0.6,0.741168061561266,"0.781863536316948, 0.521260051585495, 0.874520242093221, 0.593163583073823, 0.935032894736842"
"6",100,3,0.05,0.7,10,0.1,0.7,0.72225607539896,"0.734981658107117, 0.502942323948241, 0.863767719263715, 0.589984978933871, 0.919603696741855"
"7",100,3,0.1,0.7,5,1,0.8,0.732866029274031,"0.757131327953045, 0.506992760690986, 0.86819932915903, 0.606719179336875, 0.925287549230218"
"8",100,5,0.05,0.8,1,1,0.7,0.733685319595889,"0.735201760821717, 0.519580271799207, 0.864440200432192, 0.623648287232094, 0.925556077694236"
"9",500,3,0.05,0.8,5,0,0.8,0.738872076160158,"0.757622890682318, 0.516432039361033, 0.872461793638492, 0.612251328082066, 0.935592329036878"
"10",50,5,0.1,0.6,10,0,0.8,0.718835354593121,"0.699060895084373, 0.516795088540651, 0.868957920721031, 0.586033339439458, 0.923329529180093"
"11",1000,3,0.05,0.7,10,0,0.8,0.731150436119989,"0.757035950110051, 0.527431887638988, 0.872866204950938, 0.577818648104048, 0.920599489795918"
"12",100,5,0.1,0.6,10,1,0.7,0.732525802320136,"0.749141599413059, 0.522208314368078, 0.87105019825893, 0.592983330280271, 0.927245569280344"
"13",100,5,0.05,0.8,10,0,0.8,0.727655206839396,"0.713888481291269, 0.516264061382405, 0.867289019284628, 0.612906393112292, 0.927928079126387"
"14",50,3,0.05,0.6,1,0.1,0.7,0.706929650889632,"0.661364636830521, 0.507201378503154, 0.85964518417373, 0.586861329913904, 0.919575725026853"
"15",100,3,0.01,0.8,1,0.1,0.7,0.696961783690225,"0.593954512105649, 0.501422394173873, 0.857264334305151, 0.609694083165415, 0.922473594701038"
"16",500,3,0.1,0.7,5,0.1,0.8,0.736096028046057,"0.776669112252384, 0.526201855343867, 0.870585817208137, 0.578088294559443, 0.928935060866452"
"17",50,5,0.1,0.6,10,0,0.7,0.732465713407562,"0.751283932501834, 0.517331534343369, 0.867150115018883, 0.601331379373512, 0.925231605800215"
"18",500,3,0.1,0.8,5,1,0.7,0.73511561666198,"0.778107116654439, 0.520913258339294, 0.871355685131195, 0.578907492214691, 0.926294530970283"
"19",500,3,0.01,0.7,1,0,0.8,0.720378930878582,"0.712927366104182, 0.502181004399939, 0.862890213348751, 0.602300787690053, 0.921595282849982"
"20",50,3,0.1,0.6,5,0.1,0.7,0.724358710600434,"0.728635363169479, 0.513002037410321, 0.868483288432914, 0.589792269646455, 0.921880594343"
"21",1000,3,0.01,0.8,5,1,0.6,0.734370582429411,"0.747468818782098, 0.512579383141513, 0.867164979313003, 0.615167613115955, 0.929472117794486"
