"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"1",500,5,0.05,0.6,5,1,0.6,0.763279700771598
"2",500,5,0.05,0.8,5,1,0.6,0.727402221806094
"3",500,3,0.1,0.8,1,0.1,0.6,0.764800970539703
"4",100,5,0.1,0.6,5,1,0.6,0.755417272853857
"5",500,3,0.1,0.7,10,0.1,0.6,0.752678827221846
"6",100,3,0.05,0.7,10,0.1,0.7,0.74378528089474
"7",100,3,0.1,0.7,5,1,0.8,0.75472065773911
"8",100,5,0.05,0.8,1,1,0.7,0.757213427506414
"9",500,3,0.05,0.8,5,0,0.8,0.764867391050356
"10",50,5,0.1,0.6,10,0,0.8,0.753156574750283
"11",1000,3,0.05,0.7,10,0,0.8,0.74888325514919
"12",100,5,0.1,0.6,10,1,0.7,0.758438605841484
"13",100,5,0.05,0.8,10,0,0.8,0.746899042424301
"14",50,3,0.05,0.6,1,0.1,0.7,0.753022933481859
"15",100,3,0.01,0.8,1,0.1,0.7,0.707425653041659
"16",500,3,0.1,0.7,5,0.1,0.8,0.777403262127345
"17",50,5,0.1,0.6,10,0,0.7,0.736743906518333
"18",500,3,0.1,0.8,5,1,0.7,0.776656631567828
"19",500,3,0.01,0.7,1,0,0.8,0.735343874188349
"20",50,3,0.1,0.6,5,0.1,0.7,0.732707460063668
"21",1000,3,0.01,0.8,5,1,0.6,0.742626122946766
"22",50,3,0.05,0.6,10,0.1,0.7,0.728671813856119
"23",50,5,0.1,0.8,1,0,0.6,0.728298098452802
"24",500,3,0.01,0.6,5,0.1,0.8,0.747328375002201
"25",1000,5,0.01,0.6,5,0.1,0.7,0.748016587522227
"26",100,3,0.01,0.8,5,0.1,0.6,0.710656650773759
"27",500,5,0.1,0.7,10,1,0.6,0.747393195018622
"28",100,3,0.05,0.6,10,0,0.8,0.733013554585656
"29",50,3,0.05,0.6,10,1,0.8,0.730197084859805
"30",100,5,0.05,0.8,1,1,0.8,0.753696741553792
"31",500,3,0.05,0.8,10,0.1,0.6,0.736837135307383
"32",1000,3,0.01,0.7,10,0.1,0.7,0.752113052510615
"33",100,5,0.01,0.7,5,0.1,0.8,0.732044855451363
"34",50,3,0.1,0.7,1,0.1,0.7,0.739292693583779
"35",500,3,0.01,0.8,5,1,0.6,0.73843362830442
"36",500,5,0.05,0.6,10,0,0.6,0.76777869005949
"37",50,5,0.01,0.6,10,1,0.6,0.725273964600269
"38",1000,3,0.01,0.6,5,1,0.7,0.743947330935793
"39",500,5,0.05,0.6,5,1,0.7,0.747446011328298
"40",1000,5,0.1,0.8,10,1,0.6,0.752629211900635
"41",100,3,0.1,0.6,10,1,0.6,0.739046217471955
"42",500,5,0.1,0.8,1,1,0.8,0.757949254729861
"43",50,3,0.1,0.7,1,0.1,0.7,0.75646399608199
"44",50,3,0.01,0.7,10,1,0.7,0.710890723055279
"45",100,3,0.05,0.8,5,0,0.6,0.726681999401415
"46",500,5,0.05,0.7,10,0.1,0.7,0.754035246083991
"47",500,3,0.05,0.6,10,1,0.7,0.76322288322634
"48",1000,3,0.01,0.8,10,0.1,0.7,0.742063549224
"49",50,5,0.05,0.6,5,1,0.6,0.736869545315593
"50",500,5,0.05,0.7,10,1,0.7,0.757249838750206
"51",500,3,0.05,0.7,5,0,0.6,0.749169743616829
"52",1000,5,0.05,0.6,10,0,0.8,0.759945071037937
"53",100,5,0.1,0.6,10,0,0.6,0.739492355239298
"54",50,3,0.01,0.6,1,0.1,0.6,0.707192381007255
"55",100,3,0.1,0.6,1,0,0.8,0.748541549630526
"56",50,5,0.05,0.7,1,0,0.7,0.741297712733692
"57",1000,5,0.1,0.6,10,0.1,0.6,0.789644642265532
"58",1000,3,0.05,0.6,10,1,0.6,0.738789738271178
"59",500,5,0.05,0.6,5,0.1,0.8,0.762425837098496
"60",50,5,0.05,0.8,5,0.1,0.6,0.722103785649008
"61",100,3,0.1,0.8,1,0.1,0.7,0.745468600703897
"62",50,3,0.01,0.8,1,0,0.6,0.701670275781161
"63",50,3,0.05,0.8,10,0,0.6,0.711985861233949
"64",500,3,0.01,0.7,5,0.1,0.7,0.740274196671932
"65",50,3,0.01,0.6,10,0.1,0.6,0.717027418066699
"66",100,5,0.01,0.6,5,0.1,0.6,0.713898851965487
"67",50,5,0.05,0.8,1,0.1,0.6,0.721099075394482
"68",500,5,0.05,0.7,10,0.1,0.8,0.76379105867892
"69",50,3,0.1,0.7,1,0,0.6,0.736780317762125
"70",500,5,0.1,0.6,5,0,0.7,0.757506718074541
"71",100,3,0.1,0.7,10,0.1,0.6,0.750880671951499
"72",1000,3,0.01,0.7,5,0.1,0.6,0.742806178547936
"73",500,5,0.1,0.7,1,0.1,0.8,0.750695814867631
"74",1000,5,0.1,0.7,10,0,0.7,0.744549917014374
"75",1000,3,0.05,0.6,10,0,0.8,0.749631486202939
"76",100,5,0.05,0.6,1,0.1,0.7,0.736077700794005
"77",500,3,0.05,0.8,10,0,0.7,0.757862027794183
"78",1000,5,0.01,0.8,5,1,0.6,0.744510704905675
"79",100,5,0.1,0.7,1,0.1,0.7,0.742916612649986
"80",100,5,0.05,0.7,1,0,0.6,0.729170767933138
"81",500,5,0.01,0.6,5,0,0.8,0.747917356879804
"82",500,5,0.01,0.7,5,1,0.7,0.735226237862252
"83",1000,5,0.01,0.7,5,0,0.7,0.743263919898465
"84",50,3,0.1,0.7,1,0,0.8,0.734479207179177
"85",100,5,0.05,0.6,10,0.1,0.6,0.736678686378354
"86",100,3,0.1,0.8,10,1,0.8,0.735024575588942
"87",50,3,0.05,0.6,5,0.1,0.6,0.724599756404778
"88",100,3,0.1,0.8,5,0,0.6,0.75961897033804
"89",1000,3,0.01,0.6,5,0,0.7,0.743143882831018
"90",50,5,0.01,0.6,1,0.1,0.6,0.726835246724188
"91",50,5,0.01,0.7,10,0,0.6,0.726326289558216
"92",100,5,0.05,0.6,5,0.1,0.6,0.739045017101281
"93",500,5,0.05,0.7,10,0,0.6,0.758717491961518
"94",500,3,0.05,0.7,5,0,0.7,0.740971211910238
"95",50,3,0.01,0.6,5,0,0.7,0.721490796357915
"96",1000,3,0.01,0.7,1,0.1,0.8,0.75701696683936
"97",100,5,0.01,0.7,5,0.1,0.8,0.732096871513923
"98",50,3,0.01,0.7,1,0,0.8,0.72834851402113
"99",1000,5,0.05,0.6,10,1,0.7,0.770577954472341
"100",100,5,0.1,0.8,5,0.1,0.7,0.754755468488669
"101",50,3,0.1,0.8,10,1,0.6,0.746861430809834
"102",500,5,0.1,0.8,10,1,0.7,0.763319713127414
"103",500,3,0.05,0.7,10,0.1,0.6,0.753599911652718
"104",1000,5,0.01,0.6,10,0,0.8,0.746158413718156
"105",1000,5,0.05,0.8,1,0,0.6,0.768856622925159
"106",100,5,0.1,0.7,5,0,0.8,0.724278857311138
"107",1000,3,0.1,0.6,5,0,0.6,0.750703817338794
"108",500,5,0.05,0.6,1,0.1,0.7,0.748982485791612
"109",50,3,0.01,0.6,1,1,0.6,0.699031060791572
"110",100,5,0.01,0.8,1,1,0.7,0.736289366156269
"111",100,5,0.05,0.8,10,1,0.7,0.743575216026709
"112",1000,5,0.1,0.8,10,1,0.7,0.726163439270047
"113",500,3,0.05,0.8,10,0.1,0.8,0.759962676474495
"114",100,5,0.05,0.8,10,1,0.8,0.733252428349874
"115",50,5,0.05,0.8,10,0,0.8,0.735261448735369
"116",1000,5,0.05,0.7,1,0,0.7,0.7667487720208
"117",500,5,0.05,0.7,5,1,0.8,0.765137074328553
"118",500,3,0.1,0.6,10,0.1,0.6,0.734538825589342
"119",100,5,0.01,0.7,1,0,0.8,0.734859324559424
"120",100,3,0.1,0.7,10,1,0.8,0.740273796548374
