"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"1",100,5,0.05,0.7,1,0,0.6,0.788988282579352,NA
"2",50,3,0.1,0.7,1,0,0.6,0.790315829329508,NA
"3",50,3,0.01,0.8,1,0,0.6,0.787298289475599,NA
"4",1000,5,0.05,0.8,1,0,0.6,0.771672269639604,NA
"5",50,5,0.1,0.8,1,0,0.6,0.786597784167829,NA
"6",1000,3,0.1,0.6,5,0,0.6,0.763673902399667,NA
"7",500,3,0.05,0.7,5,0,0.6,0.783924963195161,NA
"8",100,3,0.05,0.8,5,0,0.6,0.78933581705541,NA
"9",100,3,0.1,0.8,5,0,0.6,0.789850917135775,NA
"10",500,5,0.05,0.6,10,0,0.6,0.78412834556665,NA
"11",100,5,0.1,0.6,10,0,0.6,0.787577320685441,NA
"12",50,5,0.01,0.7,10,0,0.6,0.781360434877613,NA
"13",500,5,0.05,0.7,10,0,0.6,0.781000713946275,NA
"14",50,3,0.05,0.8,10,0,0.6,0.790864915687004,NA
"15",50,3,0.01,0.6,1,0.1,0.6,0.786464424600577,NA
"16",50,5,0.01,0.6,1,0.1,0.6,0.787072606732385,NA
"17",50,5,0.05,0.8,1,0.1,0.6,0.782788866018555,NA
"18",500,3,0.1,0.8,1,0.1,0.6,0.772822750160846,NA
"19",100,5,0.01,0.6,5,0.1,0.6,0.788807415062694,NA
"20",50,3,0.05,0.6,5,0.1,0.6,0.789986536099011,NA
"21",100,5,0.05,0.6,5,0.1,0.6,0.790150385268804,NA
"22",1000,3,0.01,0.7,5,0.1,0.6,0.790471733574886,NA
"23",100,3,0.01,0.8,5,0.1,0.6,0.785644781274868,NA
"24",50,5,0.05,0.8,5,0.1,0.6,0.785328417571366,NA
"25",50,3,0.01,0.6,10,0.1,0.6,0.787854273071116,NA
"26",100,5,0.05,0.6,10,0.1,0.6,0.786478781032502,NA
"27",500,3,0.1,0.6,10,0.1,0.6,0.780393044396878,NA
"28",1000,5,0.1,0.6,10,0.1,0.6,0.761384372972724,NA
"29",500,3,0.05,0.7,10,0.1,0.6,0.783758821558951,NA
"30",100,3,0.1,0.7,10,0.1,0.6,0.787352122729646,NA
"31",500,3,0.1,0.7,10,0.1,0.6,0.776941895606797,NA
"32",500,3,0.05,0.8,10,0.1,0.6,0.783070926938422,NA
"33",50,3,0.01,0.6,1,1,0.6,0.787689668282146,NA
"34",50,5,0.05,0.6,5,1,0.6,0.784950169778978,NA
"35",500,5,0.05,0.6,5,1,0.6,0.779186826668,NA
"36",100,5,0.1,0.6,5,1,0.6,0.784134723736193,NA
"37",500,3,0.01,0.8,5,1,0.6,0.792087783281266,NA
"38",1000,3,0.01,0.8,5,1,0.6,0.789845113339842,NA
"39",1000,5,0.01,0.8,5,1,0.6,0.784959565390412,NA
"40",500,5,0.05,0.8,5,1,0.6,0.776653961394294,NA
"41",50,5,0.01,0.6,10,1,0.6,0.783783003914444,NA
"42",1000,3,0.05,0.6,10,1,0.6,0.775170624063878,NA
"43",100,3,0.1,0.6,10,1,0.6,0.790363186251505,NA
"44",500,5,0.1,0.7,10,1,0.6,0.774998254978419,NA
"45",50,3,0.1,0.8,10,1,0.6,0.788961619910545,NA
"46",1000,5,0.1,0.8,10,1,0.6,0.765648172731718,NA
"47",50,5,0.05,0.7,1,0,0.7,0.783936828142116,NA
"48",1000,5,0.05,0.7,1,0,0.7,0.775929137798756,NA
"49",50,3,0.01,0.6,5,0,0.7,0.783464980529521,NA
"50",1000,3,0.01,0.6,5,0,0.7,0.792234503002212,NA
"51",500,5,0.1,0.6,5,0,0.7,0.760984122329368,NA
"52",1000,5,0.01,0.7,5,0,0.7,0.784680017948344,NA
"53",500,3,0.05,0.7,5,0,0.7,0.784057755300966,NA
"54",50,5,0.1,0.6,10,0,0.7,0.790657209972333,NA
"55",1000,5,0.1,0.7,10,0,0.7,0.767371652734977,NA
"56",500,3,0.05,0.8,10,0,0.7,0.784105472565925,NA
"57",50,3,0.05,0.6,1,0.1,0.7,0.790129336520053,NA
"58",100,5,0.05,0.6,1,0.1,0.7,0.787100893804475,NA
"59",500,5,0.05,0.6,1,0.1,0.7,0.778940662213086,NA
"60",50,3,0.1,0.7,1,0.1,0.7,0.791844617149099,NA
"61",100,5,0.1,0.7,1,0.1,0.7,0.774646307814835,NA
"62",100,3,0.01,0.8,1,0.1,0.7,0.783295582928586,NA
"63",100,3,0.1,0.8,1,0.1,0.7,0.787452587033905,NA
"64",1000,5,0.01,0.6,5,0.1,0.7,0.787596676586636,NA
"65",50,3,0.1,0.6,5,0.1,0.7,0.791189134738176,NA
"66",500,3,0.01,0.7,5,0.1,0.7,0.790440524448653,NA
"67",100,5,0.1,0.8,5,0.1,0.7,0.784351920696849,NA
