"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"1",100,5,0.05,0.7,1,0,0.6,0.751430741813072
"2",50,3,0.1,0.7,1,0,0.6,0.738376410635604
"3",50,3,0.01,0.8,1,0,0.6,0.703413514093152
"4",1000,5,0.05,0.8,1,0,0.6,0.757018567333593
"5",50,5,0.1,0.8,1,0,0.6,0.733452590159841
"6",1000,3,0.1,0.6,5,0,0.6,0.755969843487669
"7",500,3,0.05,0.7,5,0,0.6,0.756726277074361
"8",100,3,0.05,0.8,5,0,0.6,0.731613122132114
"9",100,3,0.1,0.8,5,0,0.6,0.742843490069734
"10",500,5,0.05,0.6,10,0,0.6,0.759511137039118
"11",100,5,0.1,0.6,10,0,0.6,0.755291634056597
"12",50,5,0.01,0.7,10,0,0.6,0.722568129038247
"13",500,5,0.05,0.7,10,0,0.6,0.754242109963557
"14",50,3,0.05,0.8,10,0,0.6,0.727279783997298
"15",50,3,0.01,0.6,1,0.1,0.6,0.704380712764102
"16",50,5,0.01,0.6,1,0.1,0.6,0.724615061130877
"17",50,5,0.05,0.8,1,0.1,0.6,0.730246099995679
"18",500,3,0.1,0.8,1,0.1,0.6,0.748655384782821
"19",100,5,0.01,0.6,5,0.1,0.6,0.72703010689701
"20",50,3,0.05,0.6,5,0.1,0.6,0.723161412244101
"21",100,5,0.05,0.6,5,0.1,0.6,0.740260992594513
"22",1000,3,0.01,0.7,5,0.1,0.6,0.742032339586464
"23",100,3,0.01,0.8,5,0.1,0.6,0.708725554451215
"24",50,5,0.05,0.8,5,0.1,0.6,0.726506545221164
"25",50,3,0.01,0.6,10,0.1,0.6,0.708604016920425
"26",100,5,0.05,0.6,10,0.1,0.6,0.73484071881397
"27",500,3,0.1,0.6,10,0.1,0.6,0.759787222294244
"28",1000,5,0.1,0.6,10,0.1,0.6,0.751880780785106
"29",500,3,0.05,0.7,10,0.1,0.6,0.749617681940183
"30",100,3,0.1,0.7,10,0.1,0.6,0.73740811162487
"31",500,3,0.1,0.7,10,0.1,0.6,0.737935474474518
"32",500,3,0.05,0.8,10,0.1,0.6,0.746995872325374
"33",50,3,0.01,0.6,1,1,0.6,0.707486371791609
"34",50,5,0.05,0.6,5,1,0.6,0.734298051238222
"35",500,5,0.05,0.6,5,1,0.6,0.759537345132177
"36",100,5,0.1,0.6,5,1,0.6,0.740893888032624
"37",500,3,0.01,0.8,5,1,0.6,0.731041945752849
"38",1000,3,0.01,0.8,5,1,0.6,0.744161997224743
"39",1000,5,0.01,0.8,5,1,0.6,0.745954750827055
"40",500,5,0.05,0.8,5,1,0.6,0.755251221577223
"41",50,5,0.01,0.6,10,1,0.6,0.717685121165416
"42",1000,3,0.05,0.6,10,1,0.6,0.752892893325459
"43",100,3,0.1,0.6,10,1,0.6,0.74738269177522
"44",500,5,0.1,0.7,10,1,0.6,0.748802030066885
"45",50,3,0.1,0.8,10,1,0.6,0.73745352564872
"46",1000,5,0.1,0.8,10,1,0.6,0.759684590601578
"47",50,5,0.05,0.7,1,0,0.7,0.72913775773959
"48",1000,5,0.05,0.7,1,0,0.7,0.756183109344166
"49",50,3,0.01,0.6,5,0,0.7,0.712589547652315
"50",1000,3,0.01,0.6,5,0,0.7,0.747296665210217
"51",500,5,0.1,0.6,5,0,0.7,0.761861062696161
"52",1000,5,0.01,0.7,5,0,0.7,0.750122637870574
"53",500,3,0.05,0.7,5,0,0.7,0.75733346457386
"54",50,5,0.1,0.6,10,0,0.7,0.732020547945206
"55",1000,5,0.1,0.7,10,0,0.7,0.752711437291836
"56",500,3,0.05,0.8,10,0,0.7,0.757332264203186
"57",50,3,0.05,0.6,1,0.1,0.7,0.724582050937329
"58",100,5,0.05,0.6,1,0.1,0.7,0.743722861619668
"59",500,5,0.05,0.6,1,0.1,0.7,0.766986245352565
"60",50,3,0.1,0.7,1,0.1,0.7,0.744269180322884
"61",100,5,0.1,0.7,1,0.1,0.7,0.757088288863601
"62",100,3,0.01,0.8,1,0.1,0.7,0.713258654272439
"63",100,3,0.1,0.8,1,0.1,0.7,0.736252154665361
"64",1000,5,0.01,0.6,5,0.1,0.7,0.744581926899026
"65",50,3,0.1,0.6,5,0.1,0.7,0.733480498778023
"66",500,3,0.01,0.7,5,0.1,0.7,0.733957145966674
"67",100,5,0.1,0.8,5,0.1,0.7,0.737732811892312
"68",50,3,0.05,0.6,10,0.1,0.7,0.737226555560357
"69",1000,3,0.01,0.7,10,0.1,0.7,0.745501810959224
"70",100,3,0.05,0.7,10,0.1,0.7,0.7379891910622
"71",500,5,0.05,0.7,10,0.1,0.7,0.750690013076038
