"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"1",100,5,0.05,0.7,1,0,0.6,0.745235276771912,NA
"2",50,3,0.1,0.7,1,0,0.6,0.74531770077044,NA
"3",50,3,0.01,0.8,1,0,0.6,0.739135473630797,NA
"4",1000,5,0.05,0.8,1,0,0.6,0.737365412845209,NA
"5",50,5,0.1,0.8,1,0,0.6,0.742316204279257,NA
"6",1000,3,0.1,0.6,5,0,0.6,0.732292658581643,NA
"7",500,3,0.05,0.7,5,0,0.6,0.741987987971895,NA
"8",100,3,0.05,0.8,5,0,0.6,0.744502364780112,NA
"9",100,3,0.1,0.8,5,0,0.6,0.747412866573403,NA
"10",500,5,0.05,0.6,10,0,0.6,0.743766264659042,NA
"11",100,5,0.1,0.6,10,0,0.6,0.748285274420003,NA
"12",50,5,0.01,0.7,10,0,0.6,0.742953448301798,NA
"13",500,5,0.05,0.7,10,0,0.6,0.744062612774968,NA
"14",50,3,0.05,0.8,10,0,0.6,0.744897889486927,NA
"15",50,3,0.01,0.6,1,0.1,0.6,0.742109875326169,NA
"16",50,5,0.01,0.6,1,0.1,0.6,0.741142098674521,NA
"17",50,5,0.05,0.8,1,0.1,0.6,0.74396623568188,NA
"18",500,3,0.1,0.8,1,0.1,0.6,0.734561050462574,NA
"19",100,5,0.01,0.6,5,0.1,0.6,0.740787013554909,NA
"20",50,3,0.05,0.6,5,0.1,0.6,0.748051897556901,NA
"21",100,5,0.05,0.6,5,0.1,0.6,0.748191364675972,NA
"22",1000,3,0.01,0.7,5,0.1,0.6,0.746536267262468,NA
"23",100,3,0.01,0.8,5,0.1,0.6,0.742930789127863,NA
"24",50,5,0.05,0.8,5,0.1,0.6,0.742763860864232,NA
"25",50,3,0.01,0.6,10,0.1,0.6,0.744207271138817,NA
"26",100,5,0.05,0.6,10,0.1,0.6,0.748024153340822,NA
"27",500,3,0.1,0.6,10,0.1,0.6,0.742154798736044,NA
"28",1000,5,0.1,0.6,10,0.1,0.6,0.726582702612498,NA
"29",500,3,0.05,0.7,10,0.1,0.6,0.746426822616776,NA
"30",100,3,0.1,0.7,10,0.1,0.6,0.749264431129217,NA
"31",500,3,0.1,0.7,10,0.1,0.6,0.736554236233463,NA
"32",500,3,0.05,0.8,10,0.1,0.6,0.742787123889696,NA
"33",50,3,0.01,0.6,1,1,0.6,0.743727316621281,NA
"34",50,5,0.05,0.6,5,1,0.6,0.745310311543634,NA
"35",500,5,0.05,0.6,5,1,0.6,0.746002528787145,NA
"36",100,5,0.1,0.6,5,1,0.6,0.745951025430514,NA
"37",500,3,0.01,0.8,5,1,0.6,0.745496243665485,NA
"38",1000,3,0.01,0.8,5,1,0.6,0.746207747567192,NA
"39",1000,5,0.01,0.8,5,1,0.6,0.746925927037073,NA
"40",500,5,0.05,0.8,5,1,0.6,0.737974267099688,NA
"41",50,5,0.01,0.6,10,1,0.6,0.74122011191226,NA
"42",1000,3,0.05,0.6,10,1,0.6,0.742688238622387,NA
"43",100,3,0.1,0.6,10,1,0.6,0.749341656120928,NA
"44",500,5,0.1,0.7,10,1,0.6,0.737846084995607,NA
"45",50,3,0.1,0.8,10,1,0.6,0.746859682332157,NA
"46",1000,5,0.1,0.8,10,1,0.6,0.731045376345935,NA
"47",50,5,0.05,0.7,1,0,0.7,0.746769782738786,NA
"48",1000,5,0.05,0.7,1,0,0.7,0.731730991277729,NA
"49",50,3,0.01,0.6,5,0,0.7,0.738692320974335,NA
"50",1000,3,0.01,0.6,5,0,0.7,0.746760476387309,NA
"51",500,5,0.1,0.6,5,0,0.7,0.725662340796511,NA
"52",1000,5,0.01,0.7,5,0,0.7,0.74232319363938,NA
"53",500,3,0.05,0.7,5,0,0.7,0.739759255146076,NA
"54",50,5,0.1,0.6,10,0,0.7,0.745938281326149,NA
"55",1000,5,0.1,0.7,10,0,0.7,0.726499250888964,NA
"56",500,3,0.05,0.8,10,0,0.7,0.743341307146534,NA
"57",50,3,0.05,0.6,1,0.1,0.7,0.747604290170124,NA
