"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"1",100,5,0.05,0.7,1,0,0.6,0.692457530885537
"2",50,3,0.1,0.7,1,0,0.6,0.684809669225857
"3",50,3,0.01,0.8,1,0,0.6,0.684504274920095
"4",1000,5,0.05,0.8,1,0,0.6,0.683562784187757
"5",50,5,0.1,0.8,1,0,0.6,0.675718161768354
"6",1000,3,0.1,0.6,5,0,0.6,0.685368041651262
"7",500,3,0.05,0.7,5,0,0.6,0.711233829006397
"8",100,3,0.05,0.8,5,0,0.6,0.704180851046803
"9",100,3,0.1,0.8,5,0,0.6,0.700953554457617
"10",500,5,0.05,0.6,10,0,0.6,0.698980045037908
"11",100,5,0.1,0.6,10,0,0.6,0.684247995781097
"12",50,5,0.01,0.7,10,0,0.6,0.692349797617504
"13",500,5,0.05,0.7,10,0,0.6,0.696454065015277
"14",50,3,0.05,0.8,10,0,0.6,0.687756279138998
"15",50,3,0.01,0.6,1,0.1,0.6,0.703615176366462
"16",50,5,0.01,0.6,1,0.1,0.6,0.693434432552772
"17",50,5,0.05,0.8,1,0.1,0.6,0.683567085516007
"18",500,3,0.1,0.8,1,0.1,0.6,0.699444788550704
"19",100,5,0.01,0.6,5,0.1,0.6,0.689881435387248
"20",50,3,0.05,0.6,5,0.1,0.6,0.695540582932009
"21",100,5,0.05,0.6,5,0.1,0.6,0.693166249737919
"22",1000,3,0.01,0.7,5,0.1,0.6,0.704624988196355
"23",100,3,0.01,0.8,5,0.1,0.6,0.696575702576956
"24",50,5,0.05,0.8,5,0.1,0.6,0.68237171638602
"25",50,3,0.01,0.6,10,0.1,0.6,0.686955031713793
"26",100,5,0.05,0.6,10,0.1,0.6,0.700856524494764
"27",500,3,0.1,0.6,10,0.1,0.6,0.70064265845293
"28",1000,5,0.1,0.6,10,0.1,0.6,0.686371551535114
"29",500,3,0.05,0.7,10,0.1,0.6,0.706261893672766
"30",100,3,0.1,0.7,10,0.1,0.6,0.704516454681206
"31",500,3,0.1,0.7,10,0.1,0.6,0.692855153671454
"32",500,3,0.05,0.8,10,0.1,0.6,0.703486636673405
"33",50,3,0.01,0.6,1,1,0.6,0.694810857592825
"34",50,5,0.05,0.6,5,1,0.6,0.685531892248326
